LOCAL MAGNETIC FIELD X,LOCAL MAGNETIC FIELD Y,LOCAL MAGNETIC FIELD Z,ORIENTATION X,ORIENTATION Y,ORIENTATION Z,GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
-16.04499817,3.324127197,-19.27433014,-0.981748873,-0.257331486,77.09937343,-1.70E-07,16.37150742,-19.28640286,1
-15.51418304,2.960777283,-19.36531067,-0.938199907,-0.27066164,77.99821266,6.11E-07,15.76718295,-19.38729679,1
-15.7793045,2.597427368,-19.27452087,-0.963724324,-0.297042392,79.44117209,4.00E-07,15.94923061,-19.30964208,1
-15.95611572,2.143096924,-19.27452087,-0.922791747,-0.287932628,81.20206999,-7.07E-07,16.04787366,-19.3174377,1
-16.13330841,2.960777283,-19.18354034,-0.929947331,-0.272061616,78.46849851,-6.25E-07,16.37251636,-19.20934071,1
-16.48731232,3.142356873,-19.36511993,-0.957239486,-0.267897442,78.06180855,1.05E-06,16.75906374,-19.38678743,1
-15.69080353,2.688217163,-19.72885132,-0.9736059,-0.224893824,79.03821141,-6.35E-07,15.9034145,-19.74175292,1
-15.7793045,2.960968018,-19.3655014,-1.001287696,-0.293804269,78.1136975,-9.08E-07,16.02336275,-19.39144845,1
-16.22161865,2.960968018,-18.54801178,-0.94438539,-0.269581964,78.55118478,3.39E-08,16.46171769,-18.57279825,1
-16.39862061,3.142547607,-19.18373108,-0.956966919,-0.276616151,78.00700311,-7.38E-07,16.66966189,-19.20750566,1
-15.7793045,2.415657043,-19.18373108,-0.984014255,-0.278754801,80.07002077,4.28E-08,15.92434457,-19.21594749,1
-15.1599884,2.597427368,-19.27433014,-0.958812031,-0.284716275,79.02675719,7.27E-07,15.34458054,-19.30325174,1
-15.24868011,2.779197693,-19.00196075,-0.960281268,-0.273927431,78.44692877,2.43E-07,15.47110971,-19.02538993,1
-15.77949524,2.779197693,-19.27433014,-0.929872626,-0.28292255,78.84448676,5.99E-07,15.98617614,-19.3043618,1
-16.57562256,2.870178223,-19.63768005,-0.977601027,-0.270052286,78.99266088,-4.20E-08,16.79180374,-19.66374815,1
-15.69099426,3.233337402,-18.7297821,-0.977874128,-0.283300452,77.16503204,-2.77E-07,15.99791748,-18.7492172,1
-15.69080353,3.233337402,-18.18466187,-0.950277602,-0.249456278,77.23920789,1.21E-06,16.00683954,-18.19667006,1
-16.22161865,3.324127197,-18.82019043,-0.99092043,-0.288007413,77.24531408,4.86E-07,16.53481998,-18.84117908,1
-16.04480743,3.233337402,-19.63787079,-0.9390143,-0.253093834,77.43804836,7.85E-07,16.34928338,-19.65291882,1
-15.69099426,2.597808838,-19.63787079,-0.963726779,-0.285851554,79.36119057,3.36E-07,15.86554553,-19.66942667,1
-15.7793045,2.143478394,-19.18373108,-0.947756729,-0.295206832,81.07726194,3.36E-07,15.87233542,-19.22668606,1
-16.22180939,2.597427368,-19.09275055,-0.976105856,-0.255291687,79.73087456,4.29E-07,16.39927347,-19.1178106,1
-16.0446167,3.324127197,-18.91098022,-0.941263994,-0.305710116,77.15398762,7.76E-07,16.35277833,-18.93914889,1
-15.7793045,3.324127197,-19.09275055,-0.94240122,-0.269213,76.9420127,-1.57E-07,16.10588807,-19.10941562,1
-15.60249329,2.688217163,-19.27433014,-0.98428298,-0.265219874,78.98322839,-5.96E-07,15.80436023,-19.2973135,1
-16.22180939,2.960777283,-19.4562912,-0.955092139,-0.315410052,78.47392851,7.45E-07,16.4461127,-19.49322821,1
-15.60268402,3.505706787,-18.91117096,-0.926691999,-0.274857431,76.19216721,-4.23E-07,15.9733891,-18.92662032,1
-15.86780548,2.960586548,-18.72940063,-0.948577526,-0.275436957,78.28563385,-5.22E-07,16.11319149,-18.75387511,1
-15.86761475,2.506446838,-19.09255981,-0.951415363,-0.281375352,79.84826502,9.29E-07,16.02453499,-19.12599258,1
-15.69080353,2.415847778,-19.4562912,-0.923522364,-0.277055898,80.07036228,-1.13E-08,15.83372389,-19.49046153,1
-16.31011963,2.597427368,-19.4562912,-0.966854898,-0.290113432,79.76624128,-9.94E-08,16.4734701,-19.49201583,1
-16.13311768,3.233146667,-19.00196075,-0.944392968,-0.282016563,77.52943629,-1.27E-07,16.42695255,-19.02525863,1
