@relation RFKON_BT_Train

@attribute 00:1A:7D:DA:71:09 numeric
@attribute 00:1A:7D:DA:71:0C numeric
@attribute 00:1A:7D:DA:71:0A numeric
@attribute 00:1A:7D:DA:71:0E numeric
@attribute 00:1A:7D:DA:71:06 numeric
@attribute 00:1A:7D:DA:71:10 numeric
@attribute 00:1A:7D:DA:71:05 numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
100,100,100,-80,-78,100,100,3
100,-73,100,-57,100,100,100,3
100,100,100,-58,100,100,100,3
-63,-72,100,-58,100,100,100,3
-66,100,-88,100,-69,100,100,3
-67,100,100,-68,100,-86,100,3
100,-70,100,-59,100,100,100,3
100,-78,100,100,100,100,100,3
-77,100,100,-60,-78,100,100,3
-67,-71,100,-57,-73,100,100,3
-74,100,100,-62,100,100,100,3
-71,-76,100,100,100,100,100,3
-72,-83,100,-60,100,100,100,3
-66,100,100,-63,-71,-87,100,3
-65,100,100,-58,-70,100,100,3
-69,100,100,-61,-68,-89,100,3
-68,100,100,-60,-78,-92,100,3
100,-81,100,-67,100,100,100,3
-64,100,100,-59,-72,100,100,3
100,-72,100,-62,-69,100,100,3
-66,100,100,-56,100,100,100,3
100,100,100,-68,100,100,100,3
-77,-81,100,100,100,100,100,3
-77,-69,100,-60,100,-86,100,3
-68,-72,-88,-56,-79,100,100,3
-72,-78,100,-59,100,-85,100,3
-64,-70,100,-57,100,100,100,3
-67,-72,100,-62,100,100,100,3
-64,100,100,-66,100,100,100,3
-64,100,100,-57,100,100,100,3
-64,-70,100,-64,100,100,100,3
100,-87,100,-55,100,100,100,3
-68,-72,100,-59,-71,100,100,3
-65,100,100,-69,100,100,100,3
-64,-70,100,-57,-86,100,100,3
-64,100,-85,100,-78,100,100,3
100,100,100,-58,-77,100,100,3
100,-79,100,-57,100,100,100,3
100,100,100,-56,-73,100,100,3
-72,100,100,-57,-77,-88,100,3
-65,-70,-86,100,-76,100,100,3
-71,-72,100,-57,-80,100,100,3
-74,-72,100,-56,100,100,100,3
100,100,100,-55,-86,100,100,3
100,100,100,-65,100,100,100,3
-68,100,100,100,-73,100,100,3
-65,-74,100,-55,-71,100,100,3
-72,-71,100,-56,-80,100,100,3
100,-73,100,-56,100,100,100,3
100,-75,100,-57,100,100,100,3
-64,100,100,-57,-69,-91,100,3
-70,-72,100,-57,-73,100,100,3
-71,100,100,-63,100,100,100,3
-64,-71,-88,-63,100,100,100,3
-64,-77,100,-58,100,-88,100,3
100,-88,100,-56,100,100,100,4
-60,100,100,-49,100,100,100,4
-59,100,100,100,100,100,100,4
-66,100,100,-52,100,100,100,4
-61,100,100,-51,100,100,100,4
100,100,100,-53,100,100,100,4
-62,100,100,100,100,100,100,4
-66,100,100,-49,-67,100,100,4
-66,100,100,-62,100,100,100,4
100,100,100,-53,100,100,100,4
100,100,100,-66,100,100,100,4
100,-77,100,-63,100,100,100,4
-60,-86,-85,-58,-65,100,100,4
-63,-77,100,100,100,100,100,4
100,100,100,-55,100,100,100,4
-66,100,100,-59,-68,100,100,4
100,100,100,-51,-67,100,100,4
-62,100,100,-49,-64,100,100,4
-67,100,100,100,100,100,100,4
-63,100,100,-60,-67,100,100,4
-67,100,-82,-57,100,100,100,4
100,100,100,-62,100,100,100,4
-66,100,100,-73,100,100,100,4
-68,100,100,100,-69,100,100,4
-62,100,100,-49,100,100,100,4
-64,100,100,-56,100,100,100,4
100,100,100,100,100,100,100,4
100,-82,-85,-63,-64,100,100,4
-60,-83,100,-55,100,100,100,4
100,100,100,100,-68,100,100,4
-64,100,100,-55,-72,100,100,4
100,100,100,-56,100,-86,100,4
-67,-78,100,-73,-74,100,100,4
-62,-78,100,-57,100,100,100,4
100,100,100,-49,100,100,100,4
100,-80,100,-55,100,100,100,4
-69,-75,100,-67,100,100,100,4
-70,-80,100,-55,-67,100,100,4
-64,100,100,-56,100,100,100,4
-63,100,100,-59,100,100,100,4
100,-79,100,-49,100,100,100,4
-63,100,100,-49,100,100,100,4
-63,100,100,-59,100,100,100,4
-68,100,100,100,100,100,100,4
-72,100,100,-59,-65,100,100,4
-60,-80,100,-56,-75,100,100,4
-69,-80,100,-50,-68,100,100,4
-62,100,100,-49,-64,100,100,4
100,-78,100,-72,100,100,100,4
-71,-79,100,100,-74,100,100,4
-64,-79,-87,-50,-68,100,100,4
-67,-77,100,-55,-69,100,100,4
-73,100,100,100,100,100,100,4
-66,100,100,100,-65,100,100,4
-69,-77,100,-69,100,100,100,4
-81,100,100,-52,100,100,100,13
-70,-78,100,-62,100,100,100,13
100,100,100,100,100,100,100,13
-61,100,-86,-57,-79,100,100,13
-61,-79,-79,-52,-73,100,100,13
100,-79,-78,100,-72,100,100,13
-72,100,100,-63,100,100,100,13
100,-76,100,-52,-73,100,100,13
-63,100,100,-53,-73,100,100,13
-70,100,100,-59,-77,100,100,13
-61,-80,100,-60,-77,100,100,13
100,100,100,-63,-74,100,100,13
-64,100,100,-57,100,100,100,13
100,100,100,-66,100,100,100,13
-63,100,100,100,-73,100,100,13
100,-76,-81,-67,-77,100,100,13
-64,-83,100,-53,100,100,100,13
100,100,100,-54,100,100,100,13
-63,100,100,-53,100,100,100,13
-72,-80,100,-64,100,100,100,13
100,100,100,100,-73,100,100,13
-74,-84,100,100,-70,100,100,13
-65,100,100,100,-75,100,100,13
100,100,100,-69,-76,100,100,13
-63,100,100,-59,100,100,100,13
-61,100,100,100,100,100,100,13
-63,100,100,-57,100,100,100,13
100,100,100,100,-74,100,100,13
-63,-75,-85,-56,-73,100,100,13
100,-81,100,-56,100,100,100,13
100,100,100,-57,100,100,100,13
-61,-81,100,100,100,100,100,13
100,100,100,100,-74,100,100,13
100,-84,100,-56,100,100,100,13
100,-79,100,-52,100,100,100,13
-60,100,100,-58,100,100,100,13
-66,-81,-80,-57,100,100,100,13
-61,-77,100,-52,100,100,100,13
100,-79,100,100,-75,100,100,13
-66,100,100,-54,-76,100,100,13
100,-82,100,-55,100,100,100,13
-61,-81,100,100,-74,100,100,13
-67,100,100,-59,-74,100,100,13
-66,-74,100,-65,-72,100,100,13
-60,100,-81,100,-73,100,100,13
-65,100,100,-56,-75,100,100,13
-70,-79,100,100,-73,100,100,13
-60,100,100,-58,100,100,100,13
-62,100,100,-59,100,100,100,13
100,100,100,-58,100,100,100,13
100,100,100,-52,-76,100,100,13
-64,100,100,100,-70,100,100,13
100,100,100,-58,100,100,100,13
100,-72,-87,-59,-70,-90,100,13
100,100,100,-57,100,100,100,13
100,100,100,-54,-71,100,100,2
-73,-70,100,100,100,100,100,2
100,-69,100,-76,-78,100,100,2
100,100,100,-55,-71,100,100,2
100,-79,100,100,100,100,100,2
100,100,100,-54,-70,100,100,2
-63,-70,100,-53,-71,100,100,2
100,-84,100,-54,100,100,100,2
-70,-71,100,-52,-70,100,100,2
-64,-81,100,100,-71,100,100,2
-56,100,100,-52,100,100,100,2
-68,-73,-86,-57,-72,100,100,2
-65,-81,-86,-57,100,100,100,2
-63,-73,100,-77,100,100,100,2
-71,-76,100,-53,-79,100,100,2
-72,-75,100,-57,-76,100,100,2
-57,100,-88,-53,-72,100,100,2
-61,-70,-86,-53,100,100,100,2
100,-73,100,-53,100,-90,100,2
100,-75,100,-53,-80,100,100,2
-69,-75,100,-54,-75,100,100,2
-64,-77,100,-55,-76,100,100,2
-71,-79,100,-53,100,100,100,2
-57,-76,100,100,100,100,100,2
-67,-72,100,-57,100,100,100,2
-56,100,-85,-58,-76,100,100,2
100,100,-86,-58,100,100,100,2
-63,100,-85,-54,-70,100,100,2
-70,-81,100,-57,100,100,100,2
-66,-77,100,-52,100,100,100,2
-57,-80,-85,-55,100,100,100,2
-59,100,100,-55,100,100,100,2
-62,-75,-84,100,-85,100,100,2
-64,100,-83,-58,100,100,100,2
-63,-79,-87,-55,100,100,100,2
100,-72,100,-57,100,100,100,2
-56,100,-89,-55,-88,100,100,2
-61,100,100,100,-85,100,100,2
-58,-77,-85,-65,100,100,100,2
-63,-73,100,-52,-72,100,100,2
-70,-77,100,-62,-74,100,100,2
-57,-73,100,-63,-76,100,100,2
-70,-80,-84,-58,100,100,100,2
-65,100,100,-52,100,100,100,2
-70,100,100,-54,100,100,100,2
-64,100,100,-56,100,100,100,2
-67,100,100,-53,100,100,100,2
-64,100,100,-58,-73,100,100,2
100,-78,-84,-54,-85,100,100,2
-57,-73,-84,-55,-75,100,100,2
100,100,100,-62,-77,100,100,2
-68,-79,100,-58,100,100,100,2
100,100,100,-58,100,100,100,2
100,-78,100,-55,-70,100,100,2
-79,100,100,100,100,100,100,2
100,-78,100,-55,100,100,100,5
100,100,100,-54,100,100,100,5
-60,-77,100,-51,100,100,100,5
100,100,100,-51,100,100,100,5
-63,100,100,-63,-76,100,100,5
-62,-76,100,-56,100,100,100,5
100,-75,100,-54,100,100,100,5
100,-82,100,-60,100,100,100,5
-63,-76,100,-54,100,100,100,5
100,100,100,-51,100,100,100,5
-67,100,100,-52,100,100,100,5
