X,Y,Z,REF_POINT
2.939999819,-26.15999985,-23.34000015,1
2.159999847,-27.18000031,-23.39999962,1
2.399999857,-26.76000023,-22.8599987,1
2.639999866,-27,-22.68000031,1
2.279999971,-27.18000031,-22.8599987,1
2.460000038,-27.05999947,-23.03999901,1
2.220000029,-27.42000008,-22.79999924,1
2.339999914,-27.84000015,-22.8599987,1
2.639999866,-27,-22.79999924,1
2.939999819,-26.51999855,-22.97999954,1
2.519999981,-26.15999985,-22.8599987,1
2.460000038,-27,-23.57999992,1
2.279999971,-27.29999924,-23.93999863,1
2.099999905,-27.95999908,-23.81999969,1
2.279999971,-27.89999962,-23.39999962,1
2.159999847,-28.5,-22.92000008,1
2.159999847,-28.55999947,-22.79999924,1
2.099999905,-28.01999855,-23.03999901,1
1.9799999,-28.13999939,-22.8599987,1
1.799999952,-28.01999855,-23.03999901,1
2.159999847,-27.89999962,-22.8599987,1
2.519999981,-27.84000015,-22.8599987,1
2.519999981,-27.77999878,-23.15999985,1
2.039999962,-27.95999908,-23.27999878,1
1.5,-27.84000015,-22.8599987,1
2.159999847,-27.95999908,-22.73999977,1
2.039999962,-27.65999985,-22.07999992,1
2.519999981,-27.23999977,-22.68000031,1
3.119999886,-27.05999947,-22.97999954,1
2.519999981,-26.63999939,-23.63999939,1
2.399999857,-26.34000015,-23.45999908,1
2.159999847,-26.81999969,-23.10000038,1
1.799999952,-27.23999977,-23.15999985,1
2.339999914,-27.59999847,-23.10000038,1
1.919999957,-28.07999992,-22.92000008,1
2.339999914,-27.47999954,-22.92000008,1
2.039999962,-27.59999847,-23.10000038,1
1.74000001,-27.53999901,-23.10000038,1
1.9799999,-27.3599987,-23.21999931,1
1.799999952,-27.65999985,-23.34000015,1
1.799999952,-27.71999931,-23.10000038,2
1.019999981,-30.11999893,-22.79999924,2
1.199999928,-29.69999886,-22.92000008,2
1.5,-28.43999863,-23.15999985,2
1.25999999,-28.55999947,-22.92000008,2
0.959999979,-29.34000015,-22.79999924,2
1.139999986,-29.57999992,-22.37999916,2
1.019999981,-29.76000023,-22.43999863,2
1.079999924,-29.93999863,-22.79999924,2
0.899999976,-29.76000023,-22.26000023,2
0.599999964,-29.27999878,-22.43999863,2
0.419999987,-29.15999985,-22.07999992,2
0.419999987,-28.97999954,-21.60000038,2
1.199999928,-28.5,-21.77999878,2
0.719999969,-29.09999847,-21.89999962,2
0.359999985,-29.45999908,-22.02000046,2
0.779999971,-28.97999954,-22.31999969,2
1.319999933,-28.73999977,-22.13999939,2
1.019999981,-29.03999901,-22.37999916,2
0.959999979,-28.97999954,-22.31999969,2
0.899999976,-28.97999954,-21.60000038,2
1.25999999,-29.09999847,-21.53999901,2
1.139999986,-28.8599987,-22.19999886,2
1.319999933,-28.55999947,-22.43999863,2
1.139999986,-28.61999893,-22.37999916,2
0.719999969,-28.92000008,-22.43999863,2
1.079999924,-28.97999954,-22.02000046,2
0.359999985,-29.57999992,-22.31999969,2
1.199999928,-28.31999969,-21.95999908,2
0.779999971,-28.92000008,-22.19999886,2
0.719999969,-29.81999969,-22.5,2
1.25999999,-29.81999969,-22.02000046,2
1.319999933,-28.73999977,-22.13999939,2
0.779999971,-28.97999954,-22.5,2
0.839999974,-29.87999916,-22.31999969,2
0.779999971,-29.45999908,-22.37999916,2
0.899999976,-28.79999924,-22.55999947,2
0.599999964,-29.34000015,-21.95999908,2
0.899999976,-29.39999962,-22.68000031,2
0.899999976,-29.45999908,-22.19999886,2
-4.259999752,-26.93999863,-25.13999939,3
-5.039999962,-27.77999878,-25.55999947,3
-5.159999847,-27.89999962,-25.5,3
-4.619999886,-28.13999939,-25.37999916,3
-4.679999828,-28.19999886,-25.79999924,3
-4.980000019,-28.31999969,-25.37999916,3
-5.639999866,-27.89999962,-25.26000023,3
-5.639999866,-28.55999947,-25.55999947,3
-5.099999905,-29.21999931,-25.5,3
-4.980000019,-28.55999947,-25.26000023,3
-5.159999847,-28.19999886,-24.77999878,3
-5.159999847,-28.43999863,-25.13999939,3
-5.460000038,-28.55999947,-25.13999939,3
-5.279999733,-27.95999908,-25.55999947,3
-5.279999733,-27.89999962,-25.31999969,3
-4.679999828,-28.43999863,-25.5,3
-5.159999847,-28.73999977,-25.73999977,3
-5.639999866,-28.73999977,-25.61999893,3
-4.679999828,-28.19999886,-25.01999855,3
-4.920000076,-28.07999992,-24.65999985,3
-5.21999979,-27.95999908,-25.13999939,3
-5.099999905,-28.13999939,-25.73999977,3
-5.039999962,-27.47999954,-25.92000008,3
-5.159999847,-27.95999908,-25.79999924,3
-4.679999828,-28.8599987,-25.13999939,3
-4.380000114,-27.89999962,-25.07999992,3
-4.619999886,-28.07999992,-25.5,3
-4.799999714,-27.65999985,-24.77999878,3
-4.739999771,-28.13999939,-25.5,3
-5.099999905,-28.26000023,-25.37999916,3
-4.920000076,-28.26000023,-25.5,3
-5.279999733,-28.43999863,-25.19999886,3
-5.400000095,-28.37999916,-25.19999886,3
-4.980000019,-28.8599987,-25.5,3
-4.859999657,-28.61999893,-25.26000023,3
-5.099999905,-28.19999886,-25.19999886,3
-5.21999979,-28.43999863,-24.89999962,3
-5.400000095,-28.37999916,-25.26000023,3
-5.099999905,-28.79999924,-25.19999886,3
-4.980000019,-28.68000031,-25.43999863,3
6,-23.69999886,-27.65999985,4
6.239999771,-23.45999908,-27.3599987,4
6.359999657,-24.18000031,-27.11999893,4
6.119999886,-24.29999924,-27.23999977,4
6.899999619,-21.84000015,-27.89999962,4
6.839999676,-22.73999977,-27.59999847,4
5.579999924,-25.55999947,-26.63999939,4
6.059999943,-24.71999931,-26.76000023,4
5.940000057,-24.11999893,-27.3599987,4
5.519999981,-24.53999901,-26.87999916,4
6.179999828,-23.51999855,-27.11999893,4
6.659999847,-23.45999908,-27.18000031,4
5.940000057,-25.5,-26.81999969,4
5.819999695,-25.13999939,-27.42000008,4
6,-24.29999924,-27.53999901,4
5.699999809,-25.26000023,-27.53999901,4
6.119999886,-25.37999916,-26.34000015,4
5.819999695,-25.31999969,-26.45999908,4
5.819999695,-25.97999954,-26.87999916,4
5.699999809,-25.79999924,-26.76000023,4
5.699999809,-25.61999893,-26.76000023,4
5.699999809,-25.37999916,-26.76000023,4
5.639999866,-25.43999863,-26.93999863,4
5.819999695,-25.37999916,-27.18000031,4
6.059999943,-24.65999985,-27.29999924,4
5.879999638,-24.89999962,-26.87999916,4
6,-24.77999878,-26.57999992,4
6.239999771,-24.42000008,-27.23999977,4
6,-25.01999855,-27.29999924,4
6.779999733,-24.05999947,-27.18000031,4
6.059999943,-24.77999878,-26.81999969,4
5.940000057,-25.37999916,-26.76000023,4
5.819999695,-25.37999916,-26.69999886,4
