04:18:d6:c1:98:24_inonet,e8:37:7a:6c:7f:55_PYR,18:28:61:1c:0b:69_EVOSOFT,18:28:61:9e:ab:5c_MMD,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:67:ab:cf_evarobot,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,00:26:5a:52:0b:8c_RFKON_115,REF_POINT
-50,-64,-51,-69,-27,-36,-49,-57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-64,-54,NaN,-26,-34,-50,-52,-61,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-58,-56,NaN,-35,-35,-50,-54,-62,-66,-58,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-59,-53,NaN,-34,-36,-51,-55,-62,-66,-60,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-60,-58,-74,-37,-35,-51,-56,-65,NaN,-62,-72,-74,-77,NaN,NaN,NaN,NaN,NaN,1
-51,-60,-55,-75,-34,-38,-51,-50,-64,-66,-63,-75,-74,-77,-66,NaN,NaN,NaN,NaN,1
-52,-66,-53,-70,-27,-26,-55,-50,-67,-66,-60,-75,-74,-77,-67,NaN,NaN,NaN,NaN,1
-52,-60,-54,-76,-26,-34,-53,-52,-66,-66,-59,-75,-74,-77,-67,-76,NaN,NaN,NaN,1
-51,-70,-61,-73,-35,-36,-50,-52,-62,-67,-60,-75,-74,NaN,-67,-76,NaN,NaN,NaN,1
-54,-62,-56,-78,-34,-35,-53,-52,-64,-67,-60,-78,NaN,NaN,-67,-76,NaN,NaN,NaN,1
-55,-58,-64,-65,-26,-25,-52,-54,-64,-70,-60,-78,NaN,NaN,-64,-76,-85,NaN,NaN,1
-53,-59,-64,-65,-35,-20,-54,-54,-64,-70,-62,-78,NaN,NaN,-64,NaN,-85,NaN,NaN,1
-54,-60,-62,-74,-36,-20,-54,-54,-64,-66,-59,-78,NaN,NaN,-64,NaN,-83,NaN,NaN,1
-54,-59,-61,-76,-35,-20,-54,-54,-64,-67,-59,NaN,NaN,NaN,-64,NaN,-83,NaN,NaN,1
-53,-64,-58,-77,-36,-26,NaN,-54,-64,-67,-59,-79,NaN,NaN,-66,-72,-83,NaN,NaN,1
-53,-68,-58,-77,-38,-25,-54,-54,-68,-65,NaN,-79,NaN,-76,-66,-72,-83,NaN,NaN,1
-52,-63,-56,-69,-44,-26,-53,-55,-61,-65,-58,-79,-68,-76,-71,-72,-83,NaN,NaN,1
-53,-59,-61,-69,-80,-37,-52,-55,-65,-64,-58,-84,-75,-76,-67,-72,NaN,-77,NaN,1
-52,-61,-59,-69,-36,-24,-52,-55,-64,-64,-59,-84,-69,-77,-67,NaN,NaN,-77,NaN,1
-52,-62,-68,-68,-36,-27,-51,-56,-64,-64,-59,-84,-69,-77,-71,-76,NaN,-77,NaN,1
-53,-62,-57,-68,-34,-27,-54,-55,-64,-63,-59,NaN,-69,-78,-66,-76,NaN,NaN,NaN,1
-54,-62,-57,-68,-34,-27,-54,-55,-64,-63,-59,NaN,-69,-78,-66,-76,NaN,NaN,NaN,1
-53,-61,-63,-68,-35,-25,-54,-55,-75,-63,-63,NaN,NaN,-76,-66,-76,NaN,-73,NaN,1
-51,-56,-56,-67,-34,-34,-53,-53,-75,-70,-61,NaN,NaN,-76,-73,NaN,NaN,-73,NaN,1
-53,-60,-55,-67,-34,-36,-55,-54,-69,-70,-61,-76,NaN,-76,-63,NaN,NaN,-73,NaN,1
-51,-65,-55,-67,-36,-26,-52,-54,-61,-70,-64,-76,NaN,-76,-63,NaN,NaN,-73,NaN,1
-52,-66,-58,-67,-35,-27,-53,-55,-62,-70,-63,-76,-72,NaN,-66,-77,NaN,-75,NaN,1
-51,-60,-56,-66,-36,-27,-57,-53,-65,-66,-65,NaN,-72,-77,-66,-77,NaN,-75,NaN,1
-52,-65,-55,-74,-34,-26,-51,-54,-64,-74,-61,-73,-70,-77,-66,-77,NaN,-72,NaN,1
-52,-60,-60,-77,-38,-27,-57,-53,-67,-74,-62,-73,-70,-77,-66,-77,NaN,-72,-89,1
-52,-60,-58,-70,-41,-27,-52,-52,-64,-74,-67,-79,-70,NaN,-66,NaN,NaN,-72,-89,1
-51,-64,-62,-70,-37,-27,-53,-54,-67,-66,-61,-71,NaN,NaN,-65,NaN,NaN,NaN,-89,1
-51,-59,-62,-80,-36,-25,-56,-54,-68,-68,-61,-71,NaN,NaN,-65,NaN,NaN,NaN,-89,1
-51,-58,-53,-67,-36,-24,-51,-53,-70,-66,-61,-71,-76,NaN,-65,NaN,NaN,-72,NaN,1
-54,-61,-55,-68,-34,-26,-51,-62,-67,-66,-65,-71,-69,NaN,-65,NaN,NaN,-72,NaN,1
-52,-69,-64,-68,-34,-26,-51,-62,-67,-66,-65,-71,-69,NaN,-65,NaN,NaN,-72,NaN,1
-53,-60,-60,-66,-24,-19,-58,-54,-64,-66,-59,-75,-75,NaN,-68,NaN,NaN,-72,NaN,1
-53,-57,-60,-75,-36,-25,-62,-54,-64,-69,-60,-75,-71,NaN,-67,NaN,NaN,-72,NaN,1
-51,-58,-57,-75,-35,-35,-56,-54,-64,-67,-66,-75,-71,NaN,-67,NaN,NaN,NaN,NaN,1
-51,-58,-57,-75,-26,-34,-56,-52,-61,-69,-66,-75,-71,NaN,-67,NaN,NaN,NaN,NaN,1
-54,-58,-57,-75,-35,-35,-61,-55,-67,-75,-64,-75,-71,NaN,-67,NaN,NaN,NaN,NaN,1
-51,-58,-57,NaN,-38,-36,-51,-52,-64,-75,-65,NaN,NaN,NaN,-67,NaN,NaN,NaN,NaN,1
-52,-58,-57,NaN,-26,-23,-51,-53,-67,-67,-60,-74,-73,NaN,-71,NaN,NaN,NaN,NaN,1
-55,-61,-55,NaN,-26,-35,-56,-54,-64,-65,-67,-74,-77,NaN,-71,NaN,NaN,NaN,NaN,1
-55,-61,-54,NaN,-36,-20,-50,-55,-64,-65,-67,-74,-77,NaN,-71,NaN,NaN,NaN,NaN,1
-52,-61,-59,NaN,-35,-22,-51,-55,-72,-65,-59,-74,-77,NaN,-71,NaN,NaN,NaN,NaN,1
-52,-63,-55,-77,-27,-27,-51,-55,-65,-68,-63,-74,-77,-78,-67,-74,NaN,NaN,NaN,1
-52,-62,-57,-77,-23,-27,-52,-54,-63,-65,-59,-74,-71,-78,-67,-74,NaN,-71,NaN,1
-54,-65,-56,-77,-34,-26,-54,-54,-63,-65,-59,-86,-71,-78,-64,-74,NaN,-71,NaN,1
