X,Y,Z,REF_POINT
-17.6361084,0.352088928,-17.75455475,1
-17.19360352,0.806037903,-17.39120483,1
-17.19360352,0.806037903,-17.84534454,1
-17.54760742,0.533477783,-17.57297516,1
-17.72460938,0.442687988,-17.84534454,1
-17.19360352,0.079528809,-17.66376495,1
-17.19360352,0.261108398,-17.75474548,1
-17.45910645,0.806228638,-17.93613434,1
-17.37060547,1.260368347,-17.66376495,1
-17.37060547,0.715248108,-18.02711487,1
-17.45910645,0.261299133,-17.66376495,1
-17.72460938,0.533477783,-17.57297516,1
-17.90161133,0.715057373,-17.57297516,1
-17.90161133,0.533668518,-17.84534454,1
-18.25561523,0.533477783,-18.20850372,1
-17.6361084,0.351707458,-17.66376495,1
-17.01660156,0.260917664,-17.84553528,1
-17.37060547,0.442687988,-18.02711487,1
-17.6361084,0.624267578,-17.84534454,1
-17.6361084,0.896446228,-17.75436401,1
-17.6361084,1.078216553,-17.57297516,1
-17.6361084,0.987617493,-17.66376495,1
-17.81311035,0.170318604,-18.02692413,1
-17.28210449,0.442878723,-17.75436401,1
-17.28210449,1.441757202,-17.75436401,1
-17.90161133,1.078407288,-17.48199463,1
-17.90161133,0.896827698,-17.75436401,1
-17.54760742,0.533477783,-17.75474548,1
-17.28210449,0.624458313,-17.39139557,1
-17.72460938,0.806228638,-17.39139557,1
-17.90161133,0.533477783,-17.84553528,1
-17.6361084,0.260917664,-17.57297516,1
-17.54760742,0.351898193,-17.30041504,1
-17.10510254,0.624458313,-17.30041504,1
-17.01660156,0.806228638,-17.84534454,1
-17.45910645,0.715248108,-17.66357422,1
-17.45910645,0.533287048,-17.84534454,1
-17.19360352,0.442687988,-17.57278442,1
-16.83959961,0.624267578,-17.48199463,1
-17.45910645,0.260917664,-17.02823639,1
-19.31152344,0.027076721,-18.26782227,2
-19.27051544,0.464241028,-18.29948425,2
-19.30847168,0.25252533,-18.12725067,2
-19.46353912,0.164787292,-17.97409058,2
-18.89247894,0.408355713,-18.26858521,2
-18.87512207,0.624076843,-18.48106384,2
-19.67144012,0.624267578,-18.20850372,2
-19.40612793,0.261108398,-18.20869446,2
-19.49443817,-0.102241516,-18.29948425,2
-19.14043427,0.624076843,-18.20869446,2
-19.14043427,0.624267578,-18.11790466,2
-19.22912598,0.624267578,-18.57204437,2
-18.60961914,0.442687988,-18.11790466,2
-19.14043427,0.260917664,-18.20869446,2
-19.40593719,-0.011451721,-18.1180954,2
-19.40612793,-0.011451721,-17.84534454,2
-19.14043427,0.079338074,-17.93613434,2
-18.69812012,-0.283821106,-17.84515381,2
-18.96343231,0.351707458,-17.93613434,2
-18.96343231,0.351707458,-17.93613434,2
-19.31743622,0.624267578,-18.29948425,2
-19.31743622,-0.011260986,-18.20850372,2
-18.96362305,-0.283630371,-18.20869446,2
-19.58274841,0.533287048,-18.48106384,2
-19.14043427,0.079338074,-18.11771393,2
-19.67163086,0.351898193,-18.20869446,2
-19.49462891,0.624267578,-18.29967499,2
-18.96362305,0.624267578,-18.39046478,2
-19.05193329,0.624267578,-18.48106384,2
-18.96362305,0.351898193,-18.39008331,2
-18.78643036,0.715248108,-18.11790466,2
-18.69812012,0.987617493,-18.02692413,2
-19.05212402,0.442687988,-18.29948425,2
-18.96362305,0.533477783,-17.84515381,2
-19.40593719,0.442878723,-18.02711487,2
-19.58293915,0.351707458,-18.29967499,2
-19.140625,0.351898193,-18.48125458,2
-19.58293915,0.079338074,-18.39027405,2
-19.49424744,0.351898193,-18.39027405,2
-18.96362305,0.533477783,-18.20850372,2
-15.95497131,6.164543152,-21.47827148,3
-15.51246643,6.255523682,-21.47846222,3
-15.95458984,5.891983032,-21.38748169,3
-15.77796936,5.437843323,-21.1151123,3
-15.95497131,5.801193237,-21.56906128,3
-15.86647034,6.073944092,-21.65985107,3
-15.60077667,5.983154297,-21.1151123,3
-16.04309082,6.255905151,-21.47827148,3
-16.39709473,5.983154297,-21.2059021,3
-15.77758789,5.801193237,-21.1151123,3
-15.77758789,5.982772827,-21.84143066,3
-16.39709473,6.255523682,-21.84143066,3
-15.86608887,6.528274536,-21.29669189,3
-16.30859375,6.346504211,-21.75064087,3
-16.22009277,5.438034058,-21.75064087,3
-16.39728546,5.165473938,-21.47827148,3
-16.48578644,6.619064331,-21.29669189,3
-16.57409668,6.437294006,-21.56906128,3
-16.1315918,5.619613647,-21.93241119,3
-15.86608887,5.801193237,-22.02320099,3
-15.42377472,5.801193237,-21.29669189,3
-15.68908691,5.801383972,-21.75064087,3
-16.04309082,5.801574707,-21.75064087,3
-16.1315918,6.255714417,-21.47846222,3
-16.04309082,6.073753357,-21.56906128,3
-15.86608887,6.164543152,-21.1151123,3
-16.22009277,6.346313477,-21.29688263,3
-16.57428741,6.255714417,-21.93241119,3
-16.22028351,6.073944092,-21.02432251,3
-15.95478058,6.437484741,-21.2059021,3
-15.60096741,6.437484741,-21.56906128,3
-15.68946838,5.892173767,-21.56906128,3
-15.42396545,6.255523682,-21.93222046,3
-15.77796936,6.800643921,-21.47827148,3
-15.77758789,6.255714417,-21.56906128,3
-16.22009277,6.073944092,-21.84143066,3
-15.95478058,6.437103271,-22.02301025,3
-15.95458984,6.073753357,-21.47827148,3
-16.22028351,6.073753357,-21.66004181,3
-16.13197327,6.073753357,-21.93241119,3
-14.89334106,-5.641944885,-22.4773407,4
-15.33546448,-5.55115509,-22.3865509,4
-15.51208496,-5.460365295,-21.93241119,4
-15.5122757,-5.3695755,-22.20478058,4
-15.77758789,-5.278785706,-22.56793976,4
-14.98146057,-5.460365295,-22.74990082,4
-14.98165131,-6.09589386,-22.3865509,4
-15.07034302,-6.09589386,-22.29557037,4
-14.80522156,-5.91431427,-22.29557037,4
-14.80503082,-5.91431427,-22.20478058,4
-15.33546448,-6.0052948,-22.11380005,4
-15.15846252,-6.277664185,-22.65892029,4
-15.77758789,-5.91431427,-22.65892029,4
-15.15827179,-5.91431427,-23.11325073,4
