X,Y,Z
-15.2633667,0.818641663,-18.29528809
-15.35186768,1.454170227,-17.56877899
-14.73236084,1.544960022,-17.02404022
-14.64385986,1.363380432,-17.29621887
-14.46685791,1.091011047,-17.02384949
-14.90936279,1.181800842,-17.29640961
-15.2633667,1.454360962,-17.29640961
-15.2633667,1.545150757,-17.84133911
-14.73236084,1.000221252,-18.02272797
-14.99786377,1.635940552,-17.20542908
-14.73236084,1.454360962,-17.20523834
-14.20135498,1.181800842,-16.84207916
-14.64385986,1.454170227,-17.20561981
-14.99786377,1.363380432,-17.02384949
-14.82086182,1.363380432,-17.20542908
-15.08636475,1.272590637,-17.38700867
-14.64385986,1.091011047,-17.4779892
-14.55535889,1.091011047,-16.93305969
-14.64385986,0.818641663,-17.75054932
-14.55535889,1.000221252,-17.47779846
-14.46685791,1.000221252,-16.75128937
-14.73236084,1.181800842,-17.38700867
-14.55535889,1.181800842,-17.65956879
-14.82086182,1.000221252,-17.75035858
-14.64385986,1.544960022,-17.29640961
-14.90936279,1.545150757,-17.65956879
-14.64385986,1.454360962,-17.4779892
-15.17486572,1.272590637,-17.56896973
-15.08636475,0.818832397,-17.65975952
-14.73236084,0.546272278,-17.4779892
-14.46685791,1.000221252,-17.93212891
-15.17486572,1.000221252,-17.47779846
-14.99786377,0.727851868,-17.65937805
-14.82086182,1.363380432,-17.84133911
-14.55535889,1.272590637,-16.75109863
-14.64385986,1.091011047,-16.75109863
-14.55535889,1.544960022,-17.29621887
-14.46685791,1.544960022,-17.20542908
-14.73236084,1.181800842,-17.11444855
-14.55535889,0.909431458,-17.56877899
-17.03281403,-0.543205261,-18.29528809
-17.3866272,-0.815574646,-18.65844727
-17.20962524,-0.906555176,-18.65844727
-16.94431305,-1.179115295,-18.74923706
-17.20981598,-1.270095825,-19.11239624
-17.29812622,-1.178924561,-18.65844727
-17.3866272,-0.815574646,-18.11351776
-17.38681793,-0.634185791,-17.93193817
-17.47531891,-1.17930603,-17.93212891
-17.03281403,-1.088516235,-18.29528809
-17.12112427,-0.815956116,-18.47686768
-17.47512817,-0.724975586,-18.38607788
-17.56381989,-0.906936646,-19.02179718
-17.82875061,-0.815956116,-18.93100739
-18.0059433,-0.543205261,-18.65844727
-17.74044037,-0.724975586,-18.20449829
-18.00575256,-0.361625671,-18.20449829
-17.3866272,-0.906555176,-18.38607788
-17.56362915,-0.997535706,-18.65844727
-17.3866272,-0.906555176,-18.38607788
-17.47493744,-0.724784851,-18.02272797
-17.47493744,-0.906745911,-18.02253723
-17.3866272,-0.725166321,-17.65956879
-17.56343842,-0.361816406,-18.38607788
-17.47512817,-0.361816406,-18.47686768
-17.12169647,-0.634185791,-18.84002686
-16.94469452,-0.997344971,-18.84002686
-16.67919159,-0.997344971,-18.11351776
-17.74024963,-0.452415466,-18.65825653
-17.65193939,-0.724975586,-18.56765747
-17.47512817,-1.7240448,-18.47686768
-17.91725159,-1.360694885,-18.47686768
-17.74044037,-0.724784851,-18.38607788
-17.20962524,-0.634185791,-18.38588715
-16.85619354,-0.724975586,-18.38588715
-17.03300476,-0.452606201,-18.93081665
-17.121315,-0.543395996,-18.65844727
-17.3866272,-0.543205261,-18.74923706
-17.38681793,-0.724975586,-18.56765747
-18.0059433,-0.452415466,-18.56765747
-14.64385986,7.35798645,-20.74737549
-14.90936279,6.994445801,-20.38402557
-15.08636475,6.903656006,-20.47481537
-14.64385986,6.994445801,-20.38383484
-14.82086182,6.903656006,-20.20206451
-14.64385986,7.085426331,-20.83778381
-14.55535889,7.176216125,-20.65620422
-14.46685791,7.35798645,-20.29266357
-14.28985596,7.721336365,-20.20187378
-14.64385986,7.17640686,-20.65620422
-14.112854,7.26738739,-20.65639496
-14.46685791,7.44896698,-20.56541443
-14.64385986,6.812675476,-20.56522369
-14.37835693,6.903846741,-20.11108398
-13.84754181,7.085426331,-20.56560516
-13.4935379,6.812675476,-20.47481537
-14.55535889,7.085426331,-20.3836441
-14.46685791,7.267196655,-20.20206451
-14.90936279,7.53956604,-20.38383484
-14.82086182,7.35798645,-20.38345337
-14.28985596,7.63054657,-20.29285431
-14.55535889,7.721336365,-20.56560516
-14.90936279,7.35798645,-20.56541443
-14.99786377,6.994827271,-20.47481537
-14.55535889,6.722076416,-20.83816528
-14.02435303,7.085426331,-21.29230499
-14.20135498,6.903656006,-21.11053467
-14.64385986,6.903656006,-20.47462463
-14.64385986,7.358177185,-20.3836441
-14.55535889,7.085617065,-20.38383484
-14.37835693,6.813056946,-20.29285431
-14.28985596,7.085235596,-20.11108398
-14.112854,7.26700592,-20.11108398
-14.112854,7.35798645,-20.47462463
-14.37835693,6.994827271,-20.65639496
-14.28985596,7.7215271,-21.20132446
-14.37835693,7.44896698,-20.56560516
-14.37835693,7.17640686,-20.20206451
-14.37835693,7.53994751,-20.4744339
-14.82086182,7.993896484,-21.11053467
-12.96253204,-5.538551331,-22.10979462
-12.78572083,-5.357162476,-22.56374359
