GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
-7.67E-07,15.01874399,-20.00526071,1
4.59E-07,14.90620009,-19.73086359,1
5.91E-07,14.67271881,-19.80957111,1
-7.90E-07,14.38962265,-19.90044654,1
-1.07E-06,14.55699763,-19.98380741,1
9.10E-07,14.52014438,-20.18180749,1
-2.49E-07,14.42630844,-19.72423246,1
1.68E-07,14.84144703,-19.27518797,1
7.33E-07,15.2273006,-20.01406072,1
-9.49E-07,14.5058808,-19.91085653,1
-2.62E-07,14.32913386,-19.62208329,1
-5.94E-07,14.75760076,-19.28159865,1
5.70E-07,14.82693409,-18.83664174,1
3.89E-09,14.9402186,-18.91775399,1
-7.00E-07,14.84487232,-19.46531693,1
-1.70E-07,14.68288499,-19.54421504,1
-6.87E-07,14.66485514,-19.64406716,1
9.23E-08,14.5406905,-19.00773324,1
-3.21E-07,14.43868207,-19.54596443,1
-2.99E-07,14.33375702,-19.63683163,1
5.34E-07,14.35290519,-19.36396125,1
3.96E-07,14.58574082,-19.35790793,1
1.21E-07,14.34733988,-19.45455797,1
5.57E-07,14.07615961,-19.09084077,1
9.10E-09,14.7266171,-19.74433869,1
1.05E-07,14.19602107,-19.81082742,1
-2.87E-07,14.00536615,-19.7171511,1
-1.38E-07,14.21101954,-20.2617838,1
-7.50E-07,14.84691384,-19.5508508,1
-9.15E-07,14.6377971,-19.28458321,1
8.41E-07,14.86277249,-19.20063339,1
-8.21E-07,15.06839987,-19.0104178,1
7.68E-07,15.02516154,-19.74079949,1
6.94E-07,14.47911913,-19.73994248,1
5.68E-08,14.72718642,-19.73219955,1
3.37E-08,14.96466148,-19.37052927,1
8.39E-07,14.13285605,-18.98175234,1
-1.14E-06,14.35411368,-19.00315144,1
1.21E-07,14.39394944,-19.18719149,1
-5.30E-09,15.17747987,-19.65988874,1
-1.26E-07,17.04152523,-21.17871699,2
-1.05E-06,17.60694262,-20.95360169,2
8.10E-07,17.43844601,-20.99542427,2
-8.46E-07,17.32856866,-21.00764708,2
2.56E-07,16.96718381,-21.1878895,2
8.75E-08,16.79629673,-20.82078186,2
-1.04E-06,16.89012236,-21.17739172,2
1.05E-07,17.51636871,-20.64655509,2
-5.27E-08,17.34197433,-20.63827164,2
2.27E-07,16.89923037,-20.90186205,2
-8.95E-07,16.89561824,-20.81408107,2
4.69E-07,16.88270333,-21.09568234,2
4.99E-07,17.05542607,-21.19086023,2
9.60E-07,17.15840863,-20.90996575,2
-1.57E-07,17.02041773,-20.88994039,2
