X,Y,Z,REF_POINT
11.46000004,-47.21999741,-3.419999838,47
11.03999996,-48.18000031,-3.599999905,47
11.34000015,-48.59999847,-3.720000029,47
10.97999954,-48.71999741,-3.539999962,47
11.03999996,-48.84000015,-3.779999971,47
11.15999985,-48.89999771,-3.9599998,47
10.67999935,-49.37999725,-3.779999971,47
10.67999935,-49.37999725,-3.779999971,47
10.85999966,-49.13999939,-3.779999971,47
10.97999954,-49.31999969,-3.659999847,47
11.09999943,-49.97999954,-3.179999828,47
10.85999966,-49.07999802,-3.539999962,47
10.92000008,-48.5399971,-3.839999914,47
11.21999931,-48.84000015,-3.9599998,47
10.67999935,-49.31999969,-4.319999695,47
10.73999977,-49.5,-3.839999914,47
10.97999954,-49.37999725,-3.720000029,47
10.80000019,-48.84000015,-3.659999847,47
10.92000008,-48.89999771,-3.779999971,47
10.31999969,-49.31999969,-3.9599998,47
10.61999989,-49.20000076,-4.139999866,47
10.61999989,-49.43999863,-3.720000029,47
11.03999996,-49.25999832,-3.539999962,47
11.15999985,-49.02000046,-3.419999838,47
11.09999943,-49.02000046,-3.720000029,47
10.97999954,-49.25999832,-3.839999914,47
11.46000004,-49.13999939,-4.019999981,47
10.80000019,-49.25999832,-3.839999914,47
11.34000015,-49.25999832,-3.659999847,47
11.27999973,-49.61999893,-3.419999838,47
10.73999977,-49.25999832,-3.359999895,47
11.15999985,-49.55999756,-3.539999962,47
10.97999954,-49.43999863,-3.599999905,47
10.67999935,-49.31999969,-3.659999847,47
10.43999958,-48.71999741,-3.779999971,47
11.15999985,-49.02000046,-3.839999914,47
11.21999931,-49.13999939,-3.899999857,47
10.73999977,-49.37999725,-4.319999695,47
11.34000015,-49.20000076,-3.779999971,47
11.21999931,-48.84000015,-3.779999971,47
-5.460000038,-16.13999939,-20.87999916,12
-5.639999866,-17.63999939,-20.87999916,12
-5.699999809,-17.69999886,-20.39999962,12
-5.579999924,-17.15999985,-19.97999954,12
-6,-17.21999931,-20.34000015,12
-6.059999943,-17.10000038,-20.45999908,12
-5.699999809,-17.21999931,-20.81999969,12
-5.639999866,-17.03999901,-20.87999916,12
-6,-17.45999908,-20.69999886,12
-5.639999866,-17.21999931,-20.63999939,12
-5.519999981,-17.21999931,-20.21999931,12
-5.579999924,-17.10000038,-19.79999924,12
-5.639999866,-17.21999931,-20.39999962,12
-5.400000095,-17.21999931,-20.87999916,12
-5.579999924,-17.27999878,-20.63999939,12
-5.579999924,-17.52000046,-20.10000038,12
-5.940000057,-17.15999985,-20.21999931,12
-6.059999943,-17.57999992,-20.15999985,12
-5.699999809,-17.39999962,-20.87999916,12
-5.460000038,-16.73999977,-20.93999863,12
-5.579999924,-16.37999916,-20.81999969,12
-5.639999866,-17.21999931,-20.76000023,12
-5.639999866,-17.81999969,-20.45999908,12
-5.759999752,-17.27999878,-20.27999878,12
-5.279999733,-17.15999985,-20.34000015,12
-5.579999924,-17.21999931,-20.76000023,12
-5.639999866,-17.03999901,-20.45999908,12
-5.759999752,-17.57999992,-20.52000046,12
-5.699999809,-17.52000046,-20.45999908,12
-5.699999809,-17.87999916,-20.45999908,12
-5.400000095,-16.79999924,-20.39999962,12
-4.859999657,-17.21999931,-19.73999977,12
-5.279999733,-17.10000038,-19.61999893,12
-5.579999924,-16.97999954,-19.97999954,12
-5.940000057,-17.03999901,-20.52000046,12
-6.359999657,-17.39999962,-20.15999985,12
-5.940000057,-17.52000046,-20.34000015,12
-5.039999962,-17.10000038,-20.45999908,12
-4.679999828,-16.55999947,-20.27999878,12
-5.460000038,-16.44000053,-20.21999931,12
-11.63999939,-22.37999916,-17.10000038,52
-10.97999954,-22.26000023,-16.97999954,52
-11.15999985,-22.61999893,-16.79999924,52
-11.21999931,-22.61999893,-16.68000031,52
-11.39999962,-22.07999992,-16.61999893,52
-12.05999947,-22.19999886,-16.02000046,52
-11.75999928,-22.79999924,-16.61999893,52
-11.34000015,-22.43999863,-16.31999969,52
-11.34000015,-21.95999908,-16.79999924,52
-11.34000015,-22.07999992,-16.92000008,52
-11.88000011,-22.55999947,-16.19999886,52
-11.93999958,-22.37999916,-16.8599987,52
-11.46000004,-22.31999969,-16.55999947,52
-11.5199995,-22.26000023,-16.68000031,52
-11.81999969,-22.43999863,-16.55999947,52
-11.88000011,-22.73999977,-16.55999947,52
-12.17999935,-23.03999901,-16.37999916,52
-11.93999958,-23.15999985,-16.5,52
-12.23999977,-22.31999969,-16.44000053,52
-11.75999928,-22.68000031,-15.89999962,52
-11.69999981,-22.92000008,-16.02000046,52
-12,-22.68000031,-16.5,52
-12.05999947,-22.26000023,-15.89999962,52
-11.63999939,-22.68000031,-16.19999886,52
-11.27999973,-22.61999893,-16.07999992,52
-11.34000015,-22.31999969,-15.89999962,52
-11.81999969,-22.31999969,-16.37999916,52
-11.93999958,-22.13999939,-16.5,52
-11.69999981,-22.13999939,-16.44000053,52
-11.46000004,-22.43999863,-16.31999969,52
-11.46000004,-22.61999893,-16.07999992,52
-11.93999958,-22.79999924,-16.19999886,52
-11.57999992,-22.26000023,-16.5,52
-10.85999966,-21.89999962,-16.44000053,52
-11.93999958,-22.26000023,-16.68000031,52
-11.81999969,-22.43999863,-16.61999893,52
-11.81999969,-23.03999901,-16.07999992,52
-11.93999958,-22.97999954,-15.96000004,52
-11.88000011,-22.97999954,-16.37999916,52
-11.69999981,-22.31999969,-16.31999969,52
1.25999999,-22.19999886,-25.31999969,6
1.139999986,-23.10000038,-24.84000015,6
0.719999969,-23.76000023,-24.95999908,6
0.899999976,-23.69999886,-25.13999939,6
1.079999924,-23.63999939,-25.13999939,6
0.659999967,-23.69999886,-24.84000015,6
0.599999964,-23.34000015,-25.01999855,6
0.239999995,-22.97999954,-24.89999962,6
0.359999985,-22.97999954,-25.01999855,6
0.719999969,-23.45999908,-25.07999992,6
0.299999982,-23.34000015,-25.01999855,6
0.179999992,-23.45999908,-24.84000015,6
0.239999995,-23.87999916,-25.13999939,6
0.719999969,-23.15999985,-25.13999939,6
0.599999964,-22.92000008,-24.84000015,6
0.599999964,-23.15999985,-24.71999931,6
0.299999982,-23.21999931,-24.60000038,6
0.359999985,-23.39999962,-24.47999954,6
0.779999971,-22.79999924,-25.13999939,6
0.719999969,-23.27999878,-25.19999886,6
0.959999979,-23.45999908,-25.19999886,6
1.379999995,-22.61999893,-25.61999893,6
1.5,-22.02000046,-25.31999969,6
1.679999948,-22.61999893,-24.65999985,6
0.899999976,-23.87999916,-24.60000038,6
0.659999967,-24.18000031,-25.13999939,6
0.779999971,-23.45999908,-24.53999901,6
0.779999971,-23.57999992,-24.60000038,6
0.839999974,-23.39999962,-25.07999992,6
1.559999943,-23.15999985,-24.65999985,6
1.25999999,-22.8599987,-24.84000015,6
0.359999985,-24.05999947,-25.01999855,6
0.599999964,-24.11999893,-24.47999954,6
0.959999979,-23.03999901,-24.53999901,6
0.479999989,-23.63999939,-24.95999908,6
0.659999967,-23.21999931,-24.47999954,6
1.079999924,-22.79999924,-24.65999985,6
1.079999924,-22.8599987,-24.42000008,6
0.539999962,-23.21999931,-24.65999985,6
0.779999971,-22.92000008,-24.77999878,6
-0.599999964,-22.02000046,-21,53
-0.599999964,-21.95999908,-21.05999947,53
-0.899999976,-21.84000015,-20.76000023,53
-0.719999969,-21.60000038,-20.57999992,53
-0.359999985,-21.71999931,-20.93999863,53
-0.719999969,-22.5,-21,53
-1.199999928,-22.73999977,-21,53
-0.659999967,-22.5,-20.93999863,53
-0.059999999,-22.07999992,-21.47999954,53
-0.299999982,-21.65999985,-21.53999901,53
-0.419999987,-21.77999878,-20.87999916,53
-0.539999962,-22.02000046,-21,53
-0.419999987,-21.65999985,-21.65999985,53
-0.599999964,-21.84000015,-22.02000046,53
-0.599999964,-22.13999939,-21.65999985,53
-0.059999999,-21.71999931,-21.23999977,53
-0.659999967,-21.95999908,-21.05999947,53
-0.899999976,-22.19999886,-21,53
-0.539999962,-22.79999924,-20.76000023,53
-1.079999924,-22.68000031,-20.69999886,53
-0.779999971,-22.79999924,-21.65999985,53
-0.839999974,-22.5,-20.93999863,53
-0.299999982,-22.31999969,-20.93999863,53
-0.479999989,-22.13999939,-21.3599987,53
-1.079999924,-22.19999886,-21.05999947,53
-0.779999971,-22.19999886,-21.18000031,53
-0.719999969,-21.89999962,-20.93999863,53
-0.119999997,-22.19999886,-21.29999924,53
-0.419999987,-22.55999947,-21.05999947,53
-0.659999967,-22.37999916,-20.63999939,53
-0.659999967,-22.26000023,-20.57999992,53
-0.719999969,-22.02000046,-20.81999969,53
-0.899999976,-22.31999969,-20.76000023,53
-0.719999969,-22.31999969,-20.63999939,53
-1.319999933,-21.84000015,-20.63999939,53
-0.899999976,-22.37999916,-20.63999939,53
-0.599999964,-22.73999977,-20.93999863,53
-0.659999967,-21.65999985,-21.18000031,53
-0.359999985,-21.53999901,-21.18000031,53
-0.899999976,-21.53999901,-21.05999947,53
-9.479999542,-19.68000031,-16.61999893,1
-9.899999619,-20.57999992,-16.37999916,1
-9.779999733,-20.87999916,-15.47999954,1
-9.719999313,-20.03999901,-15.71999931,1
-9.359999657,-20.45999908,-15.53999996,1
-9.659999847,-20.39999962,-15.71999931,1
-9.659999847,-20.27999878,-15.71999931,1
-8.93999958,-20.27999878,-15.71999931,1
-9.479999542,-20.27999878,-15.23999977,1
-9.359999657,-20.27999878,-15.65999985,1
-9.719999313,-19.97999954,-16.07999992,1
-9.840000153,-20.39999962,-16.19999886,1
-10.19999981,-20.34000015,-15.53999996,1
-9.719999313,-19.79999924,-15.71999931,1
-9.719999313,-20.63999939,-15.11999989,1
-10.07999992,-21.05999947,-15.47999954,1
-9.719999313,-21,-15.65999985,1
-10.0199995,-21.05999947,-15.8399992,1
-9.960000038,-20.39999962,-15.71999931,1
-9.659999847,-20.15999985,-15.11999989,1
-9.659999847,-20.87999916,-15.53999996,1
-9.899999619,-21.11999893,-15.89999962,1
-9.899999619,-20.87999916,-16.13999939,1
-9.539999962,-20.87999916,-16.02000046,1
-9.659999847,-20.87999916,-15.59999943,1
-9.719999313,-20.57999992,-15.89999962,1
-9.659999847,-19.8599987,-15.11999989,1
-9.719999313,-20.03999901,-15.23999977,1
-10.26000023,-20.63999939,-15.47999954,1
-10.73999977,-20.45999908,-16.02000046,1
-9.719999313,-19.97999954,-15.77999973,1
-9.539999962,-20.10000038,-15.47999954,1
-10.0199995,-20.21999931,-15.65999985,1
-9.479999542,-19.97999954,-15.29999924,1
-9.539999962,-20.10000038,-15.47999954,1
-9.779999733,-20.34000015,-16.13999939,1
-9.359999657,-20.57999992,-15.65999985,1
-9.420000076,-20.27999878,-16.02000046,1
-9.599999428,-20.76000023,-15.96000004,1
-10.19999981,-21.05999947,-15.59999943,1
-0.959999979,-19.07999992,-19.5,7
-1.019999981,-19.73999977,-19.73999977,7
-1.379999995,-19.8599987,-19.97999954,7
2.339999914,-14.93999958,-20.21999931,7
0.959999979,-18.89999962,-16.97999954,7
-0.359999985,-19.61999893,-18.84000015,7
-1.679999948,-19.19999886,-19.5,7
-1.799999952,-19.73999977,-20.10000038,7
-1.5,-18.84000015,-20.63999939,7
-0.899999976,-18.89999962,-20.21999931,7
-1.199999928,-19.61999893,-19.79999924,7
-1.799999952,-20.03999901,-20.10000038,7
-1.379999995,-19.31999969,-20.15999985,7
-1.019999981,-20.39999962,-19.61999893,7
-1.679999948,-20.52000046,-19.5,7
-1.9799999,-20.03999901,-19.92000008,7
-1.799999952,-19.68000031,-20.15999985,7
-1.379999995,-20.21999931,-19.61999893,7
-2.039999962,-19.92000008,-19.61999893,7
-1.679999948,-19.68000031,-19.61999893,7
-1.620000005,-19.97999954,-19.68000031,7
-1.559999943,-19.8599987,-19.68000031,7
-1.559999943,-19.02000046,-19.43999863,7
-1.620000005,-19.61999893,-19.5,7
-1.559999943,-20.10000038,-19.55999947,7
-1.74000001,-19.68000031,-19.19999886,7
-1.620000005,-19.92000008,-19.61999893,7
-1.379999995,-19.5,-19.55999947,7
-1.620000005,-19.37999916,-20.10000038,7
-1.439999938,-19.26000023,-19.8599987,7
-1.019999981,-18.89999962,-19.73999977,7
-1.199999928,-19.07999992,-19.92000008,7
-1.439999938,-19.19999886,-19.68000031,7
-1.799999952,-19.07999992,-19.92000008,7
-2.159999847,-19.92000008,-19.61999893,7
-1.919999957,-20.34000015,-19.31999969,7
-1.559999943,-19.8599987,-19.43999863,7
-1.620000005,-19.73999977,-19.61999893,7
-1.319999933,-19.68000031,-19.68000031,7
-1.559999943,-20.21999931,-19.37999916,7
6.539999962,-11.57999992,-22.68000031,11
5.819999695,-12.65999985,-22.5,11
5.639999866,-12.42000008,-22.31999969,11
5.400000095,-12.65999985,-22.68000031,11
5.339999676,-13.13999939,-22.61999893,11
4.920000076,-12.89999962,-22.02000046,11
5.699999809,-12.35999966,-22.26000023,11
5.279999733,-12.96000004,-22.5,11
5.460000038,-13.19999981,-22.13999939,11
5.879999638,-13.0199995,-22.19999886,11
5.879999638,-12.84000015,-22.26000023,11
5.339999676,-13.25999928,-22.19999886,11
5.579999924,-13.07999992,-22.43999863,11
5.639999866,-12.96000004,-22.02000046,11
5.699999809,-12.65999985,-22.26000023,11
5.519999981,-12.71999931,-22.26000023,11
5.759999752,-12.65999985,-22.43999863,11
5.759999752,-12.65999985,-22.61999893,11
6,-12.42000008,-22.61999893,11
5.639999866,-12.42000008,-22.26000023,11
5.339999676,-12.42000008,-22.43999863,11
5.460000038,-12.11999989,-22.55999947,11
