X;Y;Z;REF_POINT
-2,879999876;-19,19999886;-21,11999893;1
-3,059999943;-19,55999947;-21,3599987;1
-3,24000001;-19,43999863;-21,60000038;1
-4,259999752;-20,15999985;-21,65999985;1
-3,839999914;-20,03999901;-21,47999954;1
-3,419999838;-19,8599987;-21,84000015;1
-3,179999828;-19,73999977;-21,42000008;1
-3,899999857;-20,03999901;-20,87999916;1
-3,779999971;-19,8599987;-21,53999901;1
-3,9599998;-19,5;-21,3599987;1
-4,019999981;-19,92000008;-21,18000031;1
-3,539999962;-20,15999985;-21,47999954;1
-3,599999905;-20,39999962;-21,60000038;1
-3,419999838;-20,39999962;-21,23999977;1
-3,659999847;-20,10000038;-21,47999954;1
-3,720000029;-19,8599987;-21,23999977;1
-4,199999809;-20,03999901;-21,47999954;1
-4,199999809;-20,34000015;-21,3599987;1
-3,659999847;-20,69999886;-21,53999901;1
-3,419999838;-20,27999878;-21,23999977;1
-3,539999962;-19,97999954;-21,29999924;1
-3,539999962;-20,21999931;-21,53999901;1
-3,119999886;-20,21999931;-21,60000038;1
-3,419999838;-19,8599987;-21,42000008;1
-3,539999962;-20,03999901;-21,3599987;1
-3,659999847;-20,10000038;-21,18000031;1
-3,299999952;-19,92000008;-21,23999977;1
-3,899999857;-19,97999954;-21,18000031;1
-3,419999838;-19,97999954;-21,18000031;1
-3;-19,68000031;-20,87999916;1
-3,24000001;-19,68000031;-21,23999977;1
-3,659999847;-20,03999901;-21,11999893;1
-3,599999905;-20,03999901;-21,05999947;1
-3,539999962;-19,79999924;-21;1
-3,599999905;-20,03999901;-21,29999924;1
-2,819999933;-19,79999924;-21,18000031;1
-3,24000001;-19,61999893;-21,23999977;1
-3,179999828;-19,68000031;-21,71999931;1
-3,539999962;-19,26000023;-21,23999977;1
-3,839999914;-19,61999893;-20,93999863;1
0,239999995;-17,21999931;-25,26000023;2
0;-18,05999947;-24,95999908;2
-0,299999982;-18,3599987;-24,89999962;2
-0,599999964;-18,60000038;-24,71999931;2
-0,419999987;-18,77999878;-24,77999878;2
-0,959999979;-18,60000038;-25,01999855;2
-0,659999967;-19,02000046;-25,13999939;2
-0,659999967;-19,26000023;-25,13999939;2
-0,719999969;-18,77999878;-25,01999855;2
-0,659999967;-19,55999947;-24,65999985;2
-1,079999924;-19,43999863;-24,71999931;2
-0,899999976;-19,13999939;-24,60000038;2
-0,479999989;-19,13999939;-24,77999878;2
-0,599999964;-19,07999992;-25,01999855;2
-0,479999989;-19,07999992;-25,07999992;2
-0,419999987;-19,13999939;-25,07999992;2
-0,239999995;-18,95999908;-24,47999954;2
-0,419999987;-19,07999992;-24,71999931;2
-0,359999985;-19,02000046;-24,89999962;2
-0,059999999;-19,19999886;-24,95999908;2
-0,359999985;-18,89999962;-24,53999901;2
-0,239999995;-18,18000031;-24,77999878;2
0,119999997;-18,42000008;-24,71999931;2
-0,359999985;-18,29999924;-24,77999878;2
-0,659999967;-18,29999924;-24,84000015;2
0,419999987;-17,57999992;-25,13999939;2
-0,119999997;-17,76000023;-24,95999908;2
-0,359999985;-18,23999977;-24,89999962;2
-0,839999974;-19,07999992;-25,19999886;2
-1,079999924;-19,31999969;-25,19999886;2
-0,299999982;-18,89999962;-24,77999878;2
-0,359999985;-18,47999954;-24,84000015;2
-0,119999997;-17,87999916;-25,07999992;2
-0,239999995;-18,65999985;-25,13999939;2
-0,359999985;-18,65999985;-24,60000038;2
-0,419999987;-18,71999931;-24,77999878;2
-0,059999999;-19,43999863;-25,01999855;2
-0,479999989;-19,02000046;-24,95999908;2
-0,659999967;-18,71999931;-25,26000023;2
-0,239999995;-18,89999962;-25,43999863;2
2,579999924;-22,26000023;-24,11999893;3
2,639999866;-22,26000023;-24,29999924;3
2,099999905;-22,5;-24,65999985;3
1,199999928;-23,39999962;-24,42000008;3
1,799999952;-22,5;-24,11999893;3
2,039999962;-22,37999916;-24,05999947;3
2,159999847;-23,51999855;-24,3599987;3
1,860000014;-23,39999962;-24,65999985;3
1,439999938;-24,23999977;-24,29999924;3
1,079999924;-24,29999924;-24,18000031;3
0,899999976;-23,93999863;-24,84000015;3
0,899999976;-24,05999947;-24,77999878;3
1,799999952;-23,45999908;-24,65999985;3
1,919999957;-23,63999939;-24,3599987;3
1,679999948;-24;-24,3599987;3
1,439999938;-24;-24,42000008;3
1,439999938;-24,3599987;-24,18000031;3
1,25999999;-23,87999916;-24,47999954;3
1,5;-24;-24,47999954;3
1,74000001;-23,93999863;-24,47999954;3
1,74000001;-23,81999969;-24,18000031;3
1,799999952;-23,63999939;-24,23999977;3
1,379999995;-23,69999886;-24;3
1,679999948;-23,57999992;-24,47999954;3
1,74000001;-23,69999886;-24,47999954;3
1,559999943;-23,69999886;-24,3599987;3
1,799999952;-23,39999962;-24,77999878;3
1,679999948;-23,10000038;-25,26000023;3
1,74000001;-22,73999977;-24,77999878;3
1,9799999;-22,97999954;-24,60000038;3
1,199999928;-23,63999939;-24,42000008;3
1,439999938;-23,76000023;-24,53999901;3
1,139999986;-23,63999939;-24,29999924;3
1,25999999;-24;-24,23999977;3
1,079999924;-24,60000038;-24,53999901;3
1,079999924;-24,05999947;-24,84000015;3
1,799999952;-24,05999947;-24,89999962;3
1,5;-23,45999908;-24,53999901;3
1,319999933;-23,45999908;-24,18000031;3
1,079999924;-24,05999947;-24,11999893;3
-0,959999979;-22,61999893;-21,23999977;4
-1,379999995;-23,21999931;-21,11999893;4
-1,5;-23,10000038;-21,29999924;4
-1,019999981;-23,27999878;-21,18000031;4
-1,079999924;-23,69999886;-21,89999962;4
-1,5;-23,69999886;-22,13999939;4
-1,379999995;-23,45999908;-21,18000031;4
-1,799999952;-23,03999901;-21,42000008;4
-2,279999971;-23,03999901;-21,71999931;4
-1,860000014;-23,03999901;-21,42000008;4
-1,860000014;-22,68000031;-21,65999985;4
-1,9799999;-23,51999855;-22,07999992;4
-1,319999933;-23,39999962;-21,95999908;4
-1,439999938;-22,92000008;-21,65999985;4
-1,620000005;-22,92000008;-21,23999977;4
-0,839999974;-22,8599987;-21,60000038;4
-1,139999986;-22,97999954;-21,77999878;4
-1,079999924;-22,92000008;-21,47999954;4
-1,139999986;-23,27999878;-21,3599987;4
-1,139999986;-23,21999931;-21,77999878;4
-2,099999905;-23,69999886;-21,77999878;4
-1,319999933;-23,63999939;-21,53999901;4
-1,079999924;-23,51999855;-21,53999901;4
-0,899999976;-23,21999931;-21,65999985;4
-1,199999928;-23,45999908;-21,3599987;4
-1,139999986;-23,21999931;-21,23999977;4
-1,25999999;-22,79999924;-21,77999878;4
-1,319999933;-22,8599987;-21,65999985;4
-1,559999943;-23,27999878;-21,77999878;4
-1,25999999;-22,97999954;-21,47999954;4
-1,25999999;-22,92000008;-21,71999931;4
-1,5;-23,21999931;-21,47999954;4
-1,74000001;-23,03999901;-21,3599987;4
-1,439999938;-23,21999931;-22,02000046;4
-0,959999979;-23,45999908;-22,02000046;4
-1,439999938;-23,51999855;-21,3599987;4
-1,25999999;-23,51999855;-21;4
-1,559999943;-23,15999985;-21,42000008;4
-1,319999933;-22,55999947;-21,65999985;4
-1,620000005;-22,5;-21,65999985;4
-0,179999992;-20,39999962;-23,45999908;5
-0,479999989;-21,3599987;-22,73999977;5
-1,019999981;-21,53999901;-22,26000023;5
-1,079999924;-21,3599987;-22,97999954;5
-0,779999971;-21,47999954;-22,8599987;5
-0,539999962;-21;-23,15999985;5
-0,959999979;-20,87999916;-23,21999931;5
-0,539999962;-21,18000031;-23,34000015;5
-0,719999969;-21,53999901;-23,51999855;5
-1,079999924;-20,93999863;-23,45999908;5
-1,199999928;-21,42000008;-23,15999985;5
-1,019999981;-21,60000038;-23,10000038;5
-1,139999986;-21,65999985;-22,8599987;5
-1,319999933;-22,07999992;-22,61999893;5
-0,839999974;-21,77999878;-22,73999977;5
-0,479999989;-21,18000031;-22,68000031;5
-0,479999989;-21,60000038;-23,21999931;5
-0,539999962;-21,60000038;-23,15999985;5
-0,539999962;-21,3599987;-22,61999893;5
-0,119999997;-21,77999878;-22,73999977;5
-0,779999971;-22,07999992;-23,34000015;5
-0,899999976;-21,89999962;-23,57999992;5
-1,139999986;-21,47999954;-22,73999977;5
-1,25999999;-21,89999962;-22,97999954;5
-0,779999971;-21,89999962;-23,34000015;5
-0,599999964;-21,18000031;-23,45999908;5
-0,599999964;-21,05999947;-23,10000038;5
-0,419999987;-20,76000023;-23,21999931;5
-0,299999982;-21,18000031;-23,45999908;5
-0,899999976;-21,18000031;-22,8599987;5
-0,839999974;-21,11999893;-22,8599987;5
-0,659999967;-20,93999863;-23,21999931;5
-0,299999982;-21,05999947;-23,10000038;5
-0,419999987;-20,87999916;-22,92000008;5
-0,959999979;-21,65999985;-23,03999901;5
-0,599999964;-21,47999954;-23,45999908;5
-0,359999985;-20,87999916;-23,39999962;5
-1,25999999;-21,84000015;-23,15999985;5
-0,839999974;-21,3599987;-23,15999985;5
-1,019999981;-22,19999886;-23,39999962;5
0,299999982;-19,02000046;-21,3599987;6
0,299999982;-19,61999893;-22,02000046;6
