06:18:d6:c2:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,18:28:61:9e:ab:5c_MMD,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,c8:d7:19:bc:98:31_,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,REF_POINT
-68,-33,-38,-54,-68,-61,-35,-53,-83,-59,-70,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-68,-36,-38,-54,NaN,-60,-43,-52,NaN,-67,NaN,NaN,-63,-63,-71,-75,NaN,NaN,NaN,1
-69,-36,-38,-57,NaN,-63,-39,-52,NaN,NaN,NaN,-67,-62,-63,-81,NaN,-71,NaN,NaN,1
-68,-36,-38,-56,-74,-64,-55,NaN,-56,-64,NaN,-89,-60,NaN,NaN,NaN,NaN,NaN,NaN,1
-69,-35,-36,-54,NaN,NaN,-36,-52,NaN,-59,NaN,NaN,-60,-65,-78,NaN,-72,NaN,NaN,1
-68,-37,-38,-53,NaN,-62,-36,NaN,-75,-64,NaN,NaN,-62,-64,NaN,NaN,NaN,NaN,NaN,1
-68,-37,-38,-55,NaN,-62,NaN,-52,-80,-63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-68,-36,-38,-54,-71,-64,-36,-56,NaN,-63,NaN,-67,-63,-65,-71,-73,-76,NaN,NaN,1
-69,-36,-38,-55,NaN,-60,-36,-50,NaN,-57,-70,NaN,-59,NaN,NaN,-73,NaN,NaN,NaN,1
-68,-36,-37,-54,NaN,-64,-36,-51,NaN,NaN,NaN,-67,-62,-62,-74,NaN,NaN,-81,NaN,1
-69,-37,-38,-56,-73,-64,-36,-51,NaN,NaN,-70,NaN,-62,-63,-70,NaN,-71,NaN,NaN,1
-68,-37,-38,-54,-74,-64,-38,-57,NaN,-61,NaN,-67,-61,-63,-74,-72,-71,NaN,NaN,1
-68,-37,-38,-54,NaN,NaN,-36,-51,NaN,NaN,-70,NaN,-63,-60,-70,NaN,NaN,NaN,NaN,1
-69,-36,-38,-57,-74,NaN,-37,NaN,NaN,NaN,NaN,-67,-63,-63,NaN,-72,NaN,NaN,NaN,1
-69,-37,-36,-57,NaN,-65,-36,-51,-82,NaN,NaN,-67,-63,-60,NaN,NaN,-76,NaN,NaN,1
-69,-37,-38,-53,-74,-64,-36,-52,NaN,-59,NaN,-67,-62,-62,-72,NaN,-73,NaN,NaN,1
-69,-37,-38,-54,NaN,-66,-37,-52,NaN,-63,NaN,NaN,-63,-68,NaN,NaN,NaN,NaN,NaN,1
-69,NaN,-38,-54,NaN,-64,-37,-51,-81,-56,NaN,-68,-62,-63,-70,NaN,NaN,NaN,NaN,1
-70,-37,-36,-55,-74,-63,-37,-58,-81,-60,NaN,NaN,-62,-63,-71,NaN,NaN,-80,NaN,1
-69,-37,-38,-54,NaN,NaN,-37,-52,NaN,-64,-70,-67,-62,-63,NaN,NaN,-74,-81,-78,1
-69,-37,-38,-54,NaN,-64,-38,-52,NaN,-57,NaN,-67,-63,-63,-70,NaN,NaN,NaN,NaN,1
-67,-37,-38,-53,NaN,-63,-36,-51,NaN,-59,-73,NaN,-63,NaN,NaN,-71,-73,NaN,NaN,1
-68,-36,-42,-53,NaN,-64,-36,-51,NaN,NaN,NaN,NaN,-62,-63,NaN,-70,NaN,NaN,NaN,1
-68,NaN,NaN,-54,NaN,-64,-37,-52,NaN,-57,NaN,NaN,NaN,-63,NaN,NaN,NaN,NaN,NaN,1
-68,-36,-38,-56,NaN,NaN,-38,-62,NaN,NaN,NaN,NaN,-63,-60,NaN,NaN,NaN,NaN,NaN,1
-67,-36,-37,-53,-72,-67,-36,-55,NaN,-69,NaN,NaN,-63,-62,NaN,-74,NaN,NaN,NaN,1
-66,NaN,-38,-53,NaN,-63,-37,-52,NaN,-61,NaN,NaN,-57,-62,NaN,NaN,-72,NaN,-77,1
-68,-36,-37,-57,NaN,-62,-36,-53,NaN,NaN,NaN,-67,-63,-62,-72,NaN,-75,NaN,NaN,1
-68,-36,-37,-54,-71,-64,-36,-53,NaN,NaN,NaN,-68,-60,-63,NaN,NaN,-74,NaN,NaN,1
