04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,06:18:d6:c2:98:24_inonet,18:28:61:9e:ab:5c_MMD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:69:1c:51_evarobot,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:67:ab:cf_evarobot,e8:50:8b:6e:ec:95_Aksins,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:2e_evarobot,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,00:66:4b:1f:08:23_TeknoTAM,18:28:61:58:78:6a_Dlink_DAP-1360,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:13:0d:9d_EROGLU,1c:87:2c:7e:23:9d_EROGLU-PUB,1c:87:2c:7e:23:9c_EROGLU-PRI,66:9a:be:03:d1:e8_iPhone,08:62:66:03:0f:1a_My ASUS,REF_POINT
-53,-29,-35,-45,-50,-54,-55,-56,-61,-62,-68,-70,-71,-71,-76,-77,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-29,-36,-40,-47,-45,-58,-55,-59,-64,-68,-71,NaN,-77,-78,NaN,NaN,-65,-71,-73,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-30,-36,-40,NaN,-55,-61,-56,-59,-63,-66,NaN,-73,-73,NaN,NaN,NaN,-66,NaN,NaN,NaN,-70,-84,-87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-29,-36,-38,-48,NaN,-63,-55,-59,-65,-67,NaN,NaN,-74,NaN,NaN,NaN,NaN,-72,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-38,-39,-53,-58,-58,-53,-59,-65,-67,NaN,NaN,-69,NaN,NaN,NaN,-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-36,-40,-49,-56,-58,-55,-60,-69,-66,-69,NaN,-70,NaN,NaN,NaN,NaN,NaN,-75,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-29,-38,-39,-49,-62,-60,-54,-61,-63,-66,NaN,NaN,-72,-75,NaN,NaN,-66,-71,-78,NaN,-70,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-36,-39,-51,-54,-60,-51,-60,-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-64,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-38,-38,-49,-60,-60,-52,-60,-65,-67,NaN,-54,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-70,NaN,-88,-78,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-29,-36,-38,-52,-54,-59,-54,-60,-64,-66,NaN,NaN,-72,-74,NaN,NaN,NaN,-72,NaN,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-36,-38,-53,-55,-60,-53,-60,-64,-65,-71,-73,-76,NaN,NaN,NaN,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-30,-38,-38,-53,-56,-61,-53,-63,-65,NaN,NaN,NaN,-72,NaN,NaN,NaN,-65,NaN,NaN,-59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-57,-28,-38,-38,-53,-56,-62,-52,-60,-64,-67,NaN,NaN,-70,NaN,NaN,-76,-65,-72,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-28,-36,-39,-53,-59,-61,-54,-57,-65,NaN,-70,NaN,-70,NaN,NaN,NaN,NaN,-71,NaN,NaN,-70,NaN,NaN,NaN,-92,NaN,NaN,NaN,NaN,NaN,1
-52,-29,-36,-38,-53,-54,-62,-53,-60,-64,-67,-72,-68,-71,NaN,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-81,NaN,NaN,NaN,NaN,1
-51,-30,-36,-39,-52,-59,NaN,-53,-60,NaN,-67,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-29,-36,-38,-66,-58,-61,-54,-60,NaN,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-30,-38,-39,-51,-55,-60,-54,-60,-63,-66,-70,-70,-73,-60,NaN,-58,NaN,-72,NaN,-74,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-38,-38,-52,-58,-59,-53,-54,-65,-66,NaN,-74,-76,NaN,NaN,-76,NaN,-76,-72,NaN,-69,-85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-28,-38,-38,-49,-56,-60,-53,-60,-65,-66,-71,NaN,-72,NaN,NaN,-78,NaN,-71,-72,NaN,NaN,-86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-36,-42,-52,-54,-59,-53,-60,-64,-70,-70,NaN,-73,NaN,NaN,NaN,-65,-55,NaN,-72,NaN,-86,-85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-51,-29,-36,-38,-51,-55,-61,-52,-60,-63,-68,NaN,NaN,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-50,-29,-40,NaN,-51,-60,-60,-52,-61,-65,NaN,NaN,NaN,-73,NaN,NaN,NaN,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
