4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,04:18:d6:c1:98:24_inonet,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,18:28:61:9e:ab:5c_MMD,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:23:44:33_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,18:28:61:58:78:6a_Dlink_DAP-1360,18:28:61:13:0d:9d_EROGLU,4c:5e:0c:67:ab:cf_evarobot,18:28:61:1c:0b:69_EVOSOFT,00:66:4b:1f:08:23_TeknoTAM,1c:87:2c:7e:23:9c_EROGLU-PRI,1c:87:2c:7e:23:9d_EROGLU-PUB,4e:0b:3a:ce:61:92_coskun,e4:8d:8c:95:5c:60_evarobot,4c:5e:0c:69:1c:51_evarobot,4c:5e:0c:69:1c:4b_evarobot,4c:5e:0c:70:53:6e_evarobot,4c:5e:0c:6f:20:2e_evarobot,REF_POINT
-34,-20,-51,-58,-55,-62,-62,-74,-66,-67,-80,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-41,-26,-48,-65,-57,-60,-60,-71,-68,-67,-80,-72,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-40,-22,-53,-57,-61,-59,-65,-74,-64,-67,-83,-74,-72,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-33,-34,-48,-60,-61,-61,-60,-74,-62,-60,-83,-74,-75,-71,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-26,-35,-50,-58,-60,-58,-59,-74,-63,-62,-86,-74,-75,-71,-83,-65,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-34,-48,-61,-58,-59,-60,-74,-65,-62,-86,-74,-75,-71,-88,-65,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-53,-58,-58,-61,-58,-74,-65,-60,-81,-74,-75,-71,-84,-67,-80,-77,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-42,-35,-51,-58,-58,-62,-62,-77,-62,-61,-81,NaN,-75,-65,-84,-67,-80,-77,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-40,-35,-51,-58,-68,-58,-60,-77,-65,-62,-81,NaN,NaN,-72,-84,-67,-76,-77,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-44,-35,-52,-61,-60,-56,-59,-72,-64,-59,-81,NaN,-76,-72,-84,-67,-76,-77,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-33,-52,-61,-61,-57,-60,-74,-65,-59,-81,NaN,-75,-72,-84,-68,-76,-77,-76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-38,-34,-51,-59,-59,-55,-60,-73,-62,-60,-82,NaN,-75,-72,NaN,-68,-76,-79,-81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-33,-51,-61,-57,-56,-60,-73,-64,-58,-82,NaN,-75,-72,NaN,-67,-76,-79,-81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-38,-25,-49,-61,-61,-62,-60,-71,-62,-60,-82,NaN,-75,-73,NaN,-67,-77,-79,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-35,-34,-52,-61,-56,-64,-60,-73,-62,-59,-82,NaN,-76,-73,-87,-65,-77,-79,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-38,-35,-52,-58,-57,-65,-60,-73,-62,-60,-82,-81,-76,-73,-85,-66,-76,-81,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-34,-52,-59,-57,-61,-59,-70,-64,-59,-82,-81,-76,-73,-85,-66,-77,-81,-77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-35,-35,-52,-59,-60,-58,-59,-71,-62,-65,-82,-81,-76,-68,-84,-65,-77,-81,-79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-34,-53,-58,-58,-62,-63,-71,-61,-59,-82,-81,-75,-67,-84,-68,-78,-81,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-34,-52,-62,-57,-59,-61,-71,-63,-59,-84,-81,-75,-67,-84,-68,-77,-82,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-35,-52,-60,-58,-60,-63,-71,-62,-61,-81,-73,-75,-70,-84,-67,-77,-82,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-35,-34,-52,-59,-61,-56,-59,-72,-65,-60,-81,-73,-75,-66,-80,-67,-77,-79,-80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-34,-52,-59,-61,-56,-57,-70,-64,-65,-79,-79,-75,-66,-85,-67,-79,-79,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-53,-60,-59,-56,-61,-70,-62,-59,-79,-75,NaN,-72,-85,-65,-78,-79,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-35,-35,-53,-59,-59,-58,-59,-70,-62,-60,-79,-75,-77,-72,-85,-67,-78,-79,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-39,-35,-54,-59,-60,-57,-60,-70,-64,-60,-80,-74,-82,-72,-85,-67,-78,-79,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-50,-59,-58,-55,-60,-70,-62,-60,-80,-74,-82,-70,-85,-67,-78,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-36,-35,-52,-59,-60,-56,-58,-76,-62,-59,-78,-74,-77,-70,-85,-67,-78,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-52,-59,-61,-56,-59,-69,-62,-59,-76,-74,-77,-71,-85,-67,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-26,-53,-59,-62,-60,-59,-71,-63,-59,-76,-74,-77,-71,-85,-67,NaN,NaN,-78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-37,-35,-53,-59,-59,-56,-58,-76,-65,-59,-79,NaN,-77,-71,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
