04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,00:26:5a:52:0b:8c_RFKON_115,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,REF_POINT
-63,-41,-42,-56,-60,-62,-64,-64,-64,-69,-68,-71,-74,-75,-77,NaN,NaN,NaN,NaN,1
-66,-39,-64,-54,-60,-56,-52,-62,-63,-69,-69,NaN,-71,-71,NaN,-77,NaN,NaN,NaN,1
-64,-42,-30,-54,-57,-57,-49,NaN,-63,-69,-66,NaN,-72,-69,NaN,-79,NaN,NaN,NaN,1
-53,-40,-30,-53,-56,-57,-48,NaN,-63,-70,-65,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,1
-63,-41,-30,-54,-56,-58,-50,-87,-61,-69,-66,-71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-65,-41,-30,-52,-55,-59,-48,NaN,-62,-70,NaN,NaN,-71,-71,NaN,-79,-83,-85,NaN,1
-64,-40,-30,-53,-57,-59,-48,NaN,-63,-70,-67,NaN,-71,-70,NaN,NaN,NaN,NaN,NaN,1
-63,-40,-30,-53,-73,-58,-50,-63,-64,-70,-65,NaN,NaN,-70,-78,-78,NaN,NaN,NaN,1
-63,-42,-31,NaN,-57,NaN,-52,-64,-62,-70,-65,NaN,-72,-69,-76,-78,NaN,NaN,NaN,1
-64,-41,-31,-53,-57,-58,-50,-60,-62,-70,NaN,NaN,NaN,-70,NaN,-78,NaN,NaN,NaN,1
-60,-40,-30,NaN,-53,-58,-50,-61,-64,-68,NaN,-68,NaN,-70,NaN,-79,NaN,NaN,NaN,1
-63,-37,-29,-55,NaN,-58,-47,-60,-62,-70,NaN,NaN,-71,-69,-83,-72,NaN,-85,NaN,1
-63,-37,-30,-53,-56,-58,-49,-65,-62,-71,-64,NaN,NaN,-68,NaN,-79,NaN,NaN,-70,1
-63,-38,-31,-54,-58,-58,-52,-63,-62,-70,-65,NaN,-71,NaN,-76,-80,NaN,NaN,NaN,1
-63,-38,-30,-54,-57,-58,-48,NaN,-63,-72,-65,NaN,-72,-68,-75,-80,NaN,-85,-69,1
-63,-38,-31,-54,-57,-58,-49,-63,-61,-73,-65,-72,-71,-68,-77,-79,-83,NaN,-74,1
-62,-38,-31,-54,-56,-58,-49,-64,-63,-70,-65,-72,NaN,NaN,-76,NaN,NaN,NaN,-74,1
-60,-38,-30,-54,NaN,-58,-47,NaN,-64,-71,-65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-63,-38,-30,NaN,-56,-58,-47,-58,-64,-71,-64,NaN,-71,NaN,-77,-79,NaN,NaN,NaN,1
-63,-38,-30,-53,-57,-57,-51,-64,-63,-70,-64,-75,-71,-69,-77,-81,NaN,-83,-70,1
-63,-38,-30,-51,NaN,-58,-47,-63,-62,-71,-65,NaN,NaN,-69,-75,-81,NaN,NaN,-68,1
-63,-38,-30,NaN,-57,-58,-49,-62,-63,-69,NaN,NaN,NaN,-68,NaN,NaN,NaN,NaN,-71,1
-62,-37,-31,-54,-57,-58,NaN,-65,NaN,-73,-65,-70,-71,-69,-76,-82,NaN,NaN,-83,1
-62,-37,-29,-54,-56,-58,-47,NaN,-63,-68,NaN,NaN,-71,-69,NaN,NaN,NaN,NaN,-75,1
-63,-40,-31,-53,-56,-59,-49,-67,-62,-70,NaN,NaN,-71,-69,-76,-78,NaN,NaN,-74,1
-65,-36,-30,-53,-56,-59,-50,NaN,-63,-70,-67,NaN,NaN,-70,NaN,-82,-82,NaN,-69,1
-60,-39,-30,-56,-56,-58,-52,-63,-63,-69,-67,NaN,-70,-69,NaN,-73,NaN,-86,-69,1
-62,-38,-31,-54,-55,-58,-51,-66,-61,-68,-68,NaN,-71,-70,-76,-79,NaN,NaN,NaN,1
-61,-37,-31,-53,-57,-60,-52,-61,-62,-60,NaN,NaN,NaN,-70,NaN,NaN,-82,NaN,NaN,1
-61,-37,-31,-55,-56,-58,-50,-63,-63,-69,-73,NaN,-70,-69,NaN,NaN,-85,NaN,NaN,1
-62,-38,-31,NaN,-60,-57,-51,-85,-63,-71,-66,-71,-72,-68,-74,NaN,-82,NaN,NaN,1
-61,-39,-31,-54,-52,-58,-50,-62,-61,-58,-65,NaN,NaN,-70,-75,-79,NaN,NaN,NaN,1
-61,-38,-31,NaN,-55,-58,NaN,-63,-64,-71,-66,-70,-76,-69,NaN,NaN,-84,NaN,NaN,1
-61,-39,-29,-54,-60,-58,-50,NaN,NaN,-70,-66,NaN,-72,-69,-75,NaN,NaN,NaN,-71,1
-60,-39,-30,NaN,-58,-59,-53,-79,-63,-69,-66,NaN,-73,-69,-74,NaN,NaN,NaN,-69,1
-62,-37,-30,-53,-55,-59,NaN,-59,-62,-71,-67,-73,NaN,NaN,NaN,-78,NaN,NaN,-70,1
-61,-39,-31,-53,-57,-58,-51,-60,-63,-70,-66,-71,NaN,-69,NaN,-79,NaN,NaN,NaN,1
-62,-39,-31,-53,-58,-59,-56,-60,-63,-71,-67,NaN,-72,-69,-75,-81,NaN,NaN,-70,1
-63,-40,-31,-54,-58,-59,-49,-60,-64,-70,-66,NaN,NaN,-70,-75,-79,NaN,NaN,-71,1
-52,-38,-31,-53,-57,-58,-50,-56,-64,-71,-67,NaN,-70,-69,NaN,NaN,NaN,NaN,NaN,1
-62,-39,-30,-54,-58,-58,-50,-71,-63,-70,-68,NaN,-72,-70,-75,NaN,-82,NaN,-73,1
-61,-39,-30,-54,-56,-57,-50,-61,-63,-70,-66,-70,NaN,NaN,-75,-78,NaN,NaN,NaN,1
-60,-37,-30,-55,-58,-59,-53,-60,-62,-72,-66,NaN,-72,-69,NaN,NaN,NaN,NaN,NaN,1
-60,-38,-30,-57,-57,-58,-50,-64,-63,-69,-66,NaN,-72,-69,NaN,NaN,-82,-85,NaN,1
-59,-37,-30,-53,-58,-59,-51,-78,-64,-70,-68,-71,NaN,-69,NaN,-83,NaN,NaN,-70,1
-60,-37,-30,-54,-56,-58,-50,-62,-63,-70,-66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-70,1
-61,-39,-30,-55,-57,-58,-50,-73,-63,-72,-69,-71,-72,-69,-76,-80,NaN,NaN,NaN,1
-62,-39,-31,-53,-54,-57,-49,-59,-63,-69,-68,NaN,NaN,-69,-75,-81,NaN,NaN,NaN,1
-63,-37,-34,-56,-59,-55,-47,-63,-65,-67,-67,-69,-72,-71,NaN,-80,NaN,NaN,-75,1
-62,-39,-31,-56,NaN,NaN,-49,NaN,-63,-71,-67,NaN,NaN,-67,NaN,NaN,NaN,NaN,-76,1
-65,-38,-29,-54,-57,-54,-49,-65,-63,-72,-69,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,1
-65,-40,-30,-54,-60,-56,-50,-63,-63,-67,-67,NaN,NaN,-72,-77,NaN,NaN,NaN,NaN,1
-65,-41,-30,-54,-59,-56,-50,-56,-64,-68,-68,-70,-85,-68,NaN,NaN,NaN,-93,NaN,1
-61,-43,-30,-57,-57,-56,-49,NaN,NaN,-65,-68,NaN,-71,-70,-78,NaN,NaN,NaN,NaN,1
-63,-41,-26,-55,-57,-58,-51,-65,-64,-68,NaN,NaN,NaN,NaN,-77,NaN,NaN,-87,NaN,1
-65,-41,-27,NaN,-59,-58,-51,-57,-63,-68,NaN,-76,-73,-69,NaN,NaN,NaN,NaN,NaN,1
-64,-42,-27,-55,-59,-57,-50,-60,-63,-67,NaN,-73,-84,NaN,-78,-84,NaN,NaN,NaN,1
-63,-42,-29,-55,-59,-58,-51,-70,-65,-65,-69,-73,-73,-68,NaN,-70,-81,NaN,NaN,1
-62,-39,-29,-55,-56,-58,-49,-60,-63,-69,-68,-70,-72,-68,NaN,NaN,NaN,NaN,-70,1
-61,-40,-30,-54,-58,-59,NaN,-61,-64,-65,-66,-68,NaN,-67,NaN,NaN,NaN,NaN,NaN,1
-61,-40,-29,NaN,-58,-61,-48,-59,-84,-63,-69,NaN,NaN,-68,NaN,NaN,NaN,NaN,-88,1
-61,-41,-30,-55,-59,-58,-50,-63,-65,-67,-69,-70,-74,-67,NaN,-78,NaN,NaN,NaN,1
-63,-39,-35,-54,NaN,-61,-49,NaN,-64,-65,NaN,NaN,-79,-67,NaN,NaN,NaN,NaN,NaN,1
-59,-39,-30,-56,-57,-59,-48,-62,-65,-63,-73,-67,-74,NaN,-79,NaN,NaN,NaN,NaN,1
-60,-38,-30,-54,-55,-58,-50,NaN,NaN,-68,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-62,-37,-35,-54,-61,-58,-50,-67,-63,-69,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-63,-38,NaN,-54,-57,-60,-51,-73,-64,-67,NaN,NaN,NaN,-71,-77,NaN,NaN,-85,NaN,1
-61,-37,-29,-54,-59,-62,-50,-58,NaN,-65,-74,-69,-73,-68,NaN,NaN,NaN,NaN,-72,1
-64,-43,-30,-55,-58,-58,-51,-60,-64,-63,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-64,-36,-29,-55,-57,-56,-46,NaN,-64,-63,-69,NaN,NaN,NaN,-81,NaN,NaN,NaN,NaN,1
-62,-37,-30,-56,-57,-57,-48,-63,-68,-70,NaN,NaN,NaN,-70,-76,NaN,NaN,-89,-73,1
-61,-37,-30,-53,-57,NaN,-51,-65,-63,-71,NaN,NaN,-71,NaN,-75,NaN,NaN,NaN,NaN,1
