X,Y,Z,REF_POINT
4.987811089,-31.60235405,-49.02896118,1
4.774089813,-31.4874649,-49.06629562,1
4.887453556,-31.54539108,-49.13801193,1
4.845742226,-31.65714645,-49.53779602,1
4.970023155,-31.66518974,-49.48468018,1
5.002067089,-31.5587616,-49.20597076,1
4.948196888,-31.4336319,-49.32101822,1
4.791891098,-31.51637268,-49.24666214,1
5.163725376,-31.57762527,-49.05576706,1
4.905108929,-31.44960403,-49.04493332,1
4.832625866,-31.21646881,-49.1603775,1
5.209828854,-31.54450989,-49.1391716,1
4.805659771,-31.50901413,-49.31045532,1
5.000955582,-31.56494141,-49.31468964,1
4.872920036,-31.495718,-49.57522964,1
4.869222164,-31.5176239,-49.62661743,1
4.978744507,-31.61044121,-49.39247894,1
5.201912403,-31.54486275,-49.30121613,1
5.016357422,-31.61450958,-49.19197845,1
5.021230221,-31.52177048,-49.16400528,1
4.868886471,-31.49051666,-49.17532349,1
4.774011135,-31.64771271,-49.17324066,1
4.790725231,-31.78095627,-49.08813095,1
5.097103119,-31.66096306,-49.19968033,1
4.974865913,-31.45291138,-49.24011612,1
4.724954128,-31.81097412,-49.31613159,1
5.063075066,-31.81966782,-49.31523895,1
4.933792591,-31.5616703,-49.19363785,1
4.969758511,-31.64853668,-49.29792023,1
5.129517555,-31.67526054,-49.35907364,1
4.732163429,-31.66699028,-49.47162247,1
5.244585037,-31.73020363,-49.31298828,1
4.903192997,-31.42400742,-49.08258438,1
4.915492535,-31.70559311,-49.29825974,1
4.867068291,-31.53266525,-49.25403976,1
4.89785099,-31.63055801,-49.19589996,1
4.753600121,-31.59865189,-49.26052094,1
4.842402935,-31.60430336,-49.05669785,1
4.812187672,-31.61538315,-48.97259521,1
4.865115166,-31.77755928,-49.42533875,1
0.254419804,-32.9729805,-45.21712875,2
0.147377834,-33.11146927,-45.6245079,2
0.387129068,-32.86738205,-45.7604599,2
0.559743822,-32.90763474,-45.46700668,2
0.229870602,-32.94937515,-45.49714661,2
0.251458645,-32.98181152,-45.48041153,2
0.417236596,-33.00466919,-45.38040161,2
0.318860233,-33.0750351,-45.72548294,2
0.30719164,-32.95615768,-45.46981812,2
0.355329692,-33.16651535,-45.5264473,2
0.329157442,-33.08667755,-45.66378784,2
0.427146435,-32.97473526,-45.65434647,2
0.316396862,-33.05412674,-45.53171921,2
0.368069619,-33.30016708,-45.4402504,2
0.333539963,-33.07131195,-45.53878784,2
0.334176034,-32.88713074,-45.32971954,2
0.277329177,-33.01102829,-45.68338394,2
0.504355073,-33.09976959,-45.48474121,2
0.37014395,-32.97331238,-45.58842468,2
0.396813571,-33.13293076,-45.76578903,2
0.535049856,-33.06616592,-45.72105789,2
0.287772715,-33.22714233,-45.71369934,2
0.406544983,-32.88083267,-45.5478096,2
0.564485729,-33.13073349,-45.31856918,2
0.439153939,-33.07612228,-45.20179749,2
0.367391765,-33.02167892,-45.46850967,2
0.28939113,-32.91768265,-45.49443436,2
0.44896847,-33.04589081,-45.41113281,2
0.446561217,-33.08847046,-45.2527771,2
0.527421772,-33.18751144,-45.25691605,2
0.333364546,-33.02714157,-45.4916954,2
0.523121655,-33.10638809,-45.33231735,2
0.445692122,-33.12662506,-45.46173859,2
0.454217523,-33.0812645,-45.08672714,2
0.596016824,-32.99848557,-45.3392067,2
0.445370704,-33.2257843,-45.65831375,2
0.588242769,-32.90436935,-45.35819626,2
0.376957327,-33.1692543,-45.46033478,2
0.576355815,-33.22586441,-45.64585876,2
0.534661591,-33.24970627,-45.38292313,2
7.076347828,-24.74926186,-49.05849075,3
7.177640915,-24.75110245,-49.13111496,3
7.163056374,-25.02145958,-49.26456451,3
7.079336166,-24.93765259,-49.25466919,3
7.181024075,-24.98326683,-49.34676361,3
6.933684349,-24.92968559,-49.17800522,3
7.23865366,-25.02171135,-49.43612671,3
7.260974884,-24.83021545,-49.2665596,3
7.383415699,-24.92071533,-49.11687851,3
7.062097073,-24.74926758,-49.09253311,3
7.173664093,-24.85101509,-49.10103989,3
7.26049757,-24.93029785,-48.9573288,3
7.340453625,-25.00106621,-48.88009644,3
7.20981741,-24.86330032,-49.24227142,3
7.141797543,-24.83048058,-49.28018951,3
7.421499729,-25.13447952,-49.15264511,3
7.316333771,-24.99407959,-49.30693054,3
7.129759312,-24.82894135,-49.0893364,3
7.088696957,-25.06172371,-49.34915161,3
7.369599342,-24.86873817,-49.09143829,3
7.135578632,-24.93686485,-48.96747971,3
7.293212414,-24.90215111,-49.18922043,3
7.010531425,-24.86098289,-49.17039871,3
7.215648651,-25.03847504,-49.06904221,3
7.249369621,-25.02889824,-49.04674149,3
7.002961636,-24.84721184,-48.98911667,3
7.166188717,-25.08646011,-48.93401337,3
7.380625248,-24.89151573,-49.00868607,3
7.331636906,-24.8290329,-49.06660461,3
7.214193344,-24.84658051,-48.82443237,3
7.049957275,-25.08078957,-48.96218491,3
7.200058937,-25.00198746,-49.04189301,3
7.038420677,-24.88139534,-49.15676117,3
7.023674011,-24.77145958,-49.30477524,3
7.079187393,-24.893116,-48.86919785,3
7.196444988,-24.93151665,-48.93907166,3
