04:18:d6:c1:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,4c:5e:0c:70:52:5a_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,e4:8d:8c:20:4d:c1_UPLAT,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:67:ab:cf_evarobot,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:9e:ab:5c_MMD,18:28:61:13:0d:9d_EROGLU,18:28:61:58:78:6a_Dlink_DAP-1360,REF_POINT
-58,-37,-41,-49,-55,-55,-59,-64,-70,-66,-67,-68,-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-55,-38,-33,-50,-56,-51,-58,-65,-69,-65,-69,-69,-73,-72,-72,-85,NaN,NaN,NaN,NaN,NaN,1
-53,-36,-41,-50,-56,-51,-56,-64,-66,-62,NaN,NaN,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-36,-39,-49,-57,-51,-57,-62,-66,-64,NaN,-69,-76,-72,NaN,NaN,-78,-83,NaN,NaN,NaN,1
-53,-33,-35,-51,-58,-47,-56,-62,-68,-64,NaN,-65,-78,-72,-78,NaN,-79,NaN,-71,NaN,NaN,1
-51,-35,-36,-52,NaN,-48,-55,-60,-68,-69,-69,-70,-76,-72,NaN,-90,NaN,NaN,NaN,NaN,NaN,1
-51,-36,-36,-50,NaN,-51,-55,NaN,-69,-64,NaN,-69,NaN,-70,NaN,NaN,NaN,NaN,-69,NaN,NaN,1
-52,-39,-40,-50,-59,-50,-48,-60,-66,-69,NaN,-71,NaN,-72,-70,-87,NaN,-83,NaN,NaN,NaN,1
-52,-36,-38,-51,-58,-52,NaN,-63,-67,-63,NaN,-72,NaN,NaN,NaN,NaN,NaN,-84,NaN,NaN,NaN,1
-51,-34,-39,-52,-57,-50,-54,-64,-68,NaN,-70,-69,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-32,-39,-51,-59,-49,-55,-64,-67,-66,-72,-71,-76,-71,NaN,NaN,-79,-85,-69,-92,NaN,1
-54,NaN,-41,-54,-55,-49,-55,-83,-69,-65,-79,-68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-35,-42,-49,-54,-48,-52,-63,-67,-64,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-35,-39,-52,-57,-49,-54,-62,-67,-66,-69,-75,NaN,-72,NaN,NaN,NaN,NaN,-70,NaN,NaN,1
-52,-34,-37,-52,-64,-48,-55,-64,-67,-65,-80,-67,NaN,NaN,NaN,NaN,-78,NaN,-69,NaN,NaN,1
-52,-35,-40,-48,-59,-51,-55,-65,-68,NaN,-70,-78,-75,-70,NaN,NaN,-72,-82,-69,NaN,NaN,1
-54,-36,-38,-52,-55,-50,NaN,-65,-70,-64,-70,-70,-77,-72,NaN,-87,NaN,NaN,NaN,NaN,NaN,1
-55,-37,-37,-52,-56,-48,-50,-66,-69,-65,NaN,NaN,-76,-72,-71,NaN,-77,NaN,-71,NaN,NaN,1
-55,-37,-37,-52,-55,-48,-54,NaN,-68,-65,-69,-71,NaN,NaN,-72,-84,NaN,-84,-71,NaN,-85,1
-53,-38,-37,-52,-55,-51,-55,-64,-68,-64,-70,-69,-77,-71,-73,-87,-77,NaN,-70,NaN,NaN,1
-54,-35,-36,-50,-54,-49,-53,-61,-65,-87,-68,-68,NaN,-72,NaN,-87,NaN,NaN,NaN,NaN,NaN,1
-50,-34,-33,-48,-54,-48,-54,-66,-66,-60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-37,-35,-51,-63,-50,-56,-63,-68,NaN,-70,NaN,-75,NaN,NaN,NaN,NaN,-82,NaN,NaN,NaN,1
-53,-36,-36,-49,-57,-52,-50,-63,-69,-64,NaN,-73,-74,-71,NaN,NaN,NaN,NaN,-71,NaN,NaN,1
-54,-39,-36,-52,-56,NaN,-56,NaN,-68,-64,NaN,-67,-73,NaN,NaN,-88,NaN,NaN,NaN,NaN,NaN,1
-53,-38,-35,-52,-62,NaN,-48,NaN,-67,-65,NaN,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-39,-35,-49,-61,-54,-55,-60,-67,NaN,-69,-68,-75,-71,NaN,-84,NaN,NaN,NaN,NaN,-84,1
-50,-37,-36,-49,-56,-50,-48,-63,-66,-64,-69,-69,-74,NaN,NaN,NaN,NaN,-81,NaN,NaN,NaN,1
-53,-36,-37,-49,-59,NaN,-54,-59,-67,-64,-68,-69,-72,-72,NaN,-87,-78,-81,-68,NaN,-84,1
-55,-35,-38,-50,-56,-50,-55,-58,-65,-64,NaN,-68,-71,NaN,NaN,NaN,NaN,NaN,-69,NaN,NaN,1
-53,-36,-40,-49,-56,-47,-55,-59,-68,-64,-69,NaN,NaN,-72,NaN,-88,-77,NaN,NaN,NaN,NaN,1
-50,-36,NaN,-50,-53,-51,-54,-64,-66,-67,NaN,NaN,-83,NaN,NaN,NaN,NaN,-84,NaN,NaN,NaN,1
-54,-33,-35,-48,-53,-46,-55,-60,-66,NaN,-67,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,NaN,-84,1
-50,-31,-35,-48,-62,NaN,-55,-63,-65,-64,NaN,-69,-74,-70,-71,NaN,-74,NaN,-67,NaN,NaN,1
-53,-36,-41,-47,-55,-49,-54,-60,-64,-63,-67,-68,-73,-70,NaN,NaN,NaN,NaN,-69,NaN,NaN,1
-53,-36,-38,-50,-53,-48,-55,-70,-64,-63,-68,-79,-74,NaN,-69,NaN,-75,-83,-70,NaN,NaN,1
-52,-39,-34,-50,-54,-49,-57,-63,-65,-63,-68,-68,-75,NaN,NaN,NaN,-75,-82,NaN,NaN,NaN,1
-55,-32,-39,-55,NaN,-48,-56,-68,-68,-70,NaN,-69,-76,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-55,-34,-41,-49,NaN,-48,-52,-63,-67,-67,NaN,-69,NaN,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-33,-42,-52,NaN,-48,-55,-64,-67,-67,-81,-68,-76,NaN,NaN,NaN,-76,-85,NaN,NaN,NaN,1
-55,-36,-43,-49,NaN,-47,-55,-68,-67,-64,-71,-65,NaN,NaN,-70,NaN,-78,-86,NaN,NaN,NaN,1
-55,-37,-37,-52,-58,NaN,-53,-66,-67,NaN,-67,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-54,-38,-38,-49,-56,-52,-50,NaN,-67,-64,NaN,-70,NaN,NaN,NaN,NaN,NaN,-82,NaN,NaN,NaN,1
-56,-35,-37,-52,NaN,-53,-55,-65,-67,-63,-70,-71,NaN,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-56,-37,-35,-50,-58,-53,-56,-65,-67,-64,NaN,NaN,NaN,-69,NaN,NaN,-77,NaN,NaN,NaN,NaN,1
-57,-36,-39,-53,-59,-51,-58,-61,-69,-65,-69,-73,-76,-71,-72,NaN,-78,NaN,NaN,NaN,NaN,1
-56,-36,-44,-53,-61,-48,-57,-67,-69,-65,NaN,-71,-74,NaN,NaN,NaN,NaN,NaN,-65,NaN,NaN,1
-53,-40,-41,-50,-61,NaN,-54,-65,-68,-67,-66,-69,NaN,-70,-73,NaN,NaN,NaN,-69,NaN,NaN,1
-53,-34,-40,-53,-62,-50,-57,-63,-65,-60,-70,NaN,-74,NaN,-71,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-37,-38,-53,-57,-49,-53,-63,-67,-61,-74,NaN,NaN,NaN,-69,NaN,NaN,NaN,NaN,NaN,-86,1
-53,-35,-42,-53,-54,-48,-47,-65,-66,-57,-70,NaN,-72,NaN,NaN,NaN,NaN,-83,-66,NaN,-84,1
-54,-35,-41,-65,-54,-49,-46,-65,-70,-64,NaN,-69,-72,NaN,-70,NaN,NaN,NaN,-69,NaN,NaN,1
-54,-36,-43,-59,-56,-49,-53,NaN,-70,-66,-70,-69,-72,-69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-55,-36,-42,-61,NaN,-49,-55,NaN,-69,-66,NaN,-71,NaN,NaN,NaN,-80,NaN,-82,NaN,NaN,NaN,1
-56,-36,-42,-58,NaN,-49,-56,-64,-67,-65,-80,NaN,NaN,-71,-73,NaN,NaN,NaN,NaN,NaN,NaN,1
-57,-36,-43,-59,-58,-49,-54,-65,-67,-66,-81,-70,-74,-72,-66,NaN,-77,NaN,-70,NaN,NaN,1
-55,-35,-43,-54,-57,-48,-55,-64,-67,-66,-71,-69,-74,NaN,-70,-86,NaN,-84,-69,NaN,NaN,1
-54,-37,-42,-58,-59,-48,-52,-68,-65,-65,-70,-69,-70,-70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-52,-36,-43,-47,NaN,-50,-53,NaN,-67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-53,-36,-42,-53,-58,-48,-53,-66,-67,-63,-69,-69,NaN,NaN,-73,NaN,-78,NaN,NaN,NaN,-82,1
-53,-35,-40,-53,-58,-48,-53,-66,-66,-65,-68,-70,NaN,-69,-73,NaN,NaN,-81,NaN,NaN,NaN,1
-52,-35,-40,-52,-59,-48,-53,-65,-66,-63,-69,-69,-73,-69,NaN,NaN,-78,-82,-67,NaN,-83,1
