04:18:d6:c1:98:24_inonet,06:18:d6:c2:98:24_inonet,4c:5e:0c:71:aa:15_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:67:ab:cf_evarobot,e4:8d:8c:20:4d:c1_UPLAT,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:13:0d:9d_EROGLU,REF_POINT
-57,-68,-49,-61,-31,-64,-63,-66,-63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-59,-67,-49,-68,-31,-64,-67,-64,-63,-51,-73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-62,-67,-43,-65,-31,-65,-68,-67,-69,-51,-75,-75,-75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
-59,-69,-41,-64,-30,-62,-71,-67,-69,NaN,-75,-75,-75,-82,-83,NaN,NaN,NaN,NaN,NaN,1
-60,-69,-41,-63,-30,-61,-69,-65,-67,-54,-73,-75,-76,-82,-83,-75,NaN,NaN,NaN,NaN,1
-61,-67,-48,-59,-31,-60,-68,-65,-73,-50,-73,NaN,-76,NaN,NaN,-75,NaN,NaN,NaN,NaN,1
-64,-68,-45,-64,-31,-69,-63,-65,-73,-50,-71,-74,-77,NaN,NaN,NaN,-80,NaN,NaN,NaN,1
-61,-67,-52,-60,NaN,-65,-63,-65,NaN,-48,-71,-74,-80,NaN,NaN,-79,-80,NaN,NaN,NaN,1
-62,-66,-45,-65,-31,-65,-66,-67,NaN,-48,NaN,-74,-76,NaN,NaN,-73,NaN,-82,NaN,NaN,1
-59,-68,-46,-63,-32,-61,-66,-67,-69,-48,NaN,-74,-76,NaN,NaN,-73,NaN,-82,NaN,NaN,1
-61,-69,-45,-64,-32,-64,-82,-67,-68,-48,-76,NaN,-76,-84,NaN,NaN,NaN,NaN,NaN,NaN,1
-60,-68,-55,-61,-31,-59,-66,-70,-66,-49,-76,-76,-71,-85,NaN,NaN,NaN,NaN,NaN,NaN,1
-61,-68,-52,-60,-31,-65,-66,-68,-68,-50,-77,-75,-72,-85,NaN,-74,NaN,-89,NaN,NaN,1
-60,-69,-48,-62,-66,-63,-62,-69,-69,-53,-77,-76,-72,NaN,NaN,-74,-77,-89,NaN,NaN,1
-61,-69,-51,-64,-31,-69,-60,-63,-67,-49,NaN,-76,-76,-81,NaN,NaN,-77,-87,-89,NaN,1
-59,-68,-49,-63,-30,-67,-60,-64,-66,-49,-73,-74,-72,-81,NaN,-73,-80,-87,-89,NaN,1
-60,-67,-41,-63,-27,-67,-66,-67,-65,-50,-73,-74,-77,NaN,NaN,-73,-80,NaN,NaN,NaN,1
-60,-69,-45,-63,-30,-67,-59,-67,-62,-53,NaN,NaN,-73,NaN,NaN,-73,NaN,NaN,NaN,NaN,1
-60,-67,-44,-63,-31,-66,-74,-64,-65,-51,-74,NaN,-74,NaN,NaN,-72,NaN,NaN,NaN,NaN,1
-62,-67,-45,-64,-30,-66,-70,-64,-67,-49,-75,NaN,-74,-83,NaN,-72,NaN,-88,NaN,NaN,1
-60,-67,-45,-63,-30,-67,-70,-63,-62,-50,-74,NaN,NaN,-83,NaN,-73,NaN,-88,NaN,NaN,1
-61,-67,-49,-64,-29,-66,-63,-67,-62,-50,-77,-77,-75,-82,NaN,-73,-80,NaN,NaN,NaN,1
-61,-67,-46,-63,-29,-66,-66,-64,-64,-50,-74,-77,-79,-82,NaN,-75,-80,NaN,-90,NaN,1
-53,-68,-45,-63,-31,-64,-69,-69,-65,-50,-73,NaN,-78,NaN,NaN,-79,-80,NaN,-90,NaN,1
-62,-68,-45,-60,-30,-62,-66,-66,-65,NaN,-74,-75,-78,NaN,NaN,-79,-80,-89,NaN,NaN,1
-62,-67,-56,-45,-31,-63,-66,-63,-67,-49,-73,-78,-76,NaN,-84,NaN,-79,-89,NaN,NaN,1
-60,-68,-45,-45,-32,-60,-63,-65,-66,-50,-77,-78,-75,NaN,-79,NaN,-79,-89,-90,NaN,1
-64,-70,-47,NaN,-29,-60,-63,-65,-66,-56,-74,NaN,-75,NaN,-79,-74,NaN,-87,-90,NaN,1
-62,-70,-44,-63,-29,NaN,-67,-68,-57,-61,-72,NaN,-77,-84,-84,-74,NaN,-87,NaN,NaN,1
-60,-68,-52,-63,-31,-66,-66,-66,-62,-60,-72,NaN,-76,-84,-84,-79,NaN,NaN,NaN,NaN,1
-61,-69,-45,-66,-30,-63,-65,-66,-59,-52,-72,-72,-81,-84,NaN,-79,-80,-87,NaN,NaN,1
-57,-68,-44,-62,-30,-63,-68,-70,-59,-53,-73,-72,-77,-84,-81,-73,-80,-87,NaN,NaN,1
-59,-68,-50,-59,-30,-61,-63,-66,-57,-53,-73,NaN,-75,-84,-81,-72,NaN,NaN,NaN,NaN,1
-60,-69,-48,-63,-29,-65,-63,-69,-58,-57,-73,NaN,-79,-82,-80,-73,NaN,NaN,NaN,NaN,1
-62,-69,-45,-65,-29,-66,-63,-66,-58,-56,-73,NaN,-75,-82,-80,-72,NaN,NaN,NaN,-91,1
-60,-69,-45,-55,-29,-63,-65,-68,-58,-55,-73,NaN,-79,NaN,NaN,-72,NaN,NaN,NaN,-91,1
-60,-69,-46,-61,-29,-63,-65,-67,-56,-56,-71,NaN,-80,NaN,-76,NaN,NaN,-86,NaN,NaN,1
-61,-68,-47,-65,-29,NaN,-69,-67,-56,-56,-71,NaN,-80,NaN,-76,-75,-78,-86,NaN,NaN,1
-61,-68,-47,-65,-28,-63,-64,-65,-59,-57,-73,NaN,-84,-81,-83,-75,-77,-87,NaN,NaN,1
-60,-68,-47,-67,-29,-61,-64,-69,-60,-66,-69,NaN,-73,-81,-83,-70,-77,-87,NaN,NaN,1
-61,-67,-46,-64,-29,-68,-63,-64,-58,-53,-72,NaN,-73,-82,NaN,-70,-81,NaN,NaN,NaN,1
-62,-67,-47,-65,-30,-64,-64,-63,-58,-52,-68,NaN,-78,-81,NaN,-53,-81,-86,-91,-88,1
-61,-68,-46,-64,-29,-65,-64,-73,-58,-56,-70,-73,-79,-81,NaN,-69,-80,-86,-91,-88,1
-61,-69,-47,-66,-64,-64,-63,-64,-60,-56,-69,-73,-79,-79,NaN,-69,-80,-85,NaN,NaN,1
-60,-69,-47,-66,-29,-64,-63,-63,-58,-52,-70,NaN,-79,-81,NaN,-70,NaN,-85,NaN,NaN,1
-58,-69,-47,-65,-29,-67,-62,-63,-57,-53,-71,-73,-80,-82,-77,-70,-80,NaN,NaN,NaN,1
-59,-67,-48,-64,-33,-67,-63,-63,-57,-54,-71,-73,-80,-82,-77,NaN,-80,NaN,NaN,NaN,1
-62,-68,-48,-65,-29,-66,-60,NaN,-57,-54,-73,-74,-81,-78,-79,-73,-81,-87,-83,NaN,1
-60,-68,-46,-65,-29,-65,-72,-65,-57,-53,-74,-74,-81,-80,-79,-69,-81,-87,-83,NaN,1
-61,-70,-48,-65,-29,-63,-64,-65,-58,-58,-71,-73,-81,-80,NaN,-69,-79,NaN,-88,NaN,1
-60,-63,-47,-67,-28,-67,-66,-63,-57,-58,-71,-71,-78,NaN,NaN,-71,-79,NaN,-88,NaN,1
-61,-68,-50,-66,-29,-66,-66,-65,-58,-51,-71,-71,-78,NaN,NaN,-69,NaN,-86,-89,NaN,1
-63,-68,-49,-62,-30,-66,-67,-64,-60,-54,-71,NaN,-78,NaN,NaN,-69,NaN,-86,-89,NaN,1
-60,-66,-51,-64,-29,-64,-67,-63,-58,-54,-71,-73,-78,-82,-83,-71,-81,-87,NaN,-87,1
-61,-68,-49,-65,-29,-64,-64,-63,-58,-56,-71,-73,NaN,-83,-80,-70,-81,-86,NaN,-87,1
-58,-68,-50,-64,-29,-63,-67,-67,-58,-55,-71,-72,-76,-83,-80,-69,NaN,-81,NaN,NaN,1
-61,-69,-50,-65,-29,-64,-64,-73,-59,-56,-71,-72,-77,-83,NaN,-67,-81,-88,NaN,NaN,1
-59,-69,-49,-66,-29,-64,-64,-73,-59,-57,-70,-72,-75,-83,NaN,-70,-81,-88,NaN,NaN,1
-60,-68,-49,-59,-29,-66,-64,-63,-58,-56,-70,NaN,-75,NaN,-80,-68,-80,NaN,-88,NaN,1
-60,-67,-49,-67,-29,-64,-65,-64,-60,-57,-74,-77,NaN,-84,-80,-69,-80,NaN,-88,NaN,1
-62,-67,-50,-65,-29,-63,-66,-65,-58,-58,-69,-74,-74,-83,-82,-70,NaN,-87,NaN,NaN,1
-59,-67,-49,-61,-29,-65,-65,-69,-58,-59,-71,-74,-74,-81,-82,-70,NaN,-87,NaN,NaN,1
-59,-68,-50,-65,-29,-63,-64,-66,-81,-60,-72,-78,-71,-81,-81,-70,NaN,-85,NaN,NaN,1
-60,-68,-50,-66,-30,-64,-63,-69,-59,-54,-72,-78,-71,-83,-81,-70,NaN,-86,NaN,NaN,1
-61,-67,-50,-59,-65,-62,-68,-69,-60,-57,-71,-79,-75,-83,-81,-69,NaN,-86,NaN,NaN,1
-61,-69,-49,-64,-29,-65,-65,-68,-60,-55,-71,-74,-72,NaN,-81,-69,-82,NaN,NaN,NaN,1
-61,-67,-49,-65,-29,-64,-65,-67,-58,-55,-71,-75,-74,NaN,-81,NaN,-82,NaN,NaN,NaN,1
-60,-67,-50,-64,-29,-64,-65,-66,-58,-56,-71,-75,-78,-81,NaN,-70,-84,NaN,-88,NaN,1
-61,-69,-50,-64,-29,-64,-83,-66,-60,-51,NaN,NaN,-78,-81,NaN,-70,-84,NaN,-88,NaN,1
-60,-68,-50,-64,-29,-64,-64,-69,-61,-53,-73,-76,-74,-80,-82,-70,NaN,-86,-89,-90,1
-61,-67,-50,-64,-29,-65,-65,-64,-60,-55,-73,-73,-75,-80,-82,-69,NaN,-86,-89,-88,1
-65,-68,-51,-64,-30,-63,-66,-64,-60,-58,-73,-72,-74,-82,-81,-69,NaN,NaN,NaN,-88,1
-61,-67,-50,-64,-30,-65,-61,-68,-59,-53,-72,-72,-77,-85,-83,-70,-80,-87,-88,NaN,1
-60,-67,-50,-65,-29,-63,-64,-65,-60,-54,-72,NaN,-76,-82,-83,-69,-80,-87,-88,NaN,1
-61,-68,-50,-63,-28,-65,-65,-64,-58,-55,NaN,-74,-76,-84,-83,-70,-81,NaN,-88,NaN,1
-61,-67,-51,-63,-29,-64,-65,-65,-60,-55,NaN,-74,-75,-82,-84,-70,-81,-87,-88,NaN,1
-60,-67,-50,-64,-29,-63,-65,-66,-60,-55,-71,-73,-76,-82,-84,-69,-80,-87,-89,-90,1
-60,-67,-50,-63,-29,-63,-64,-69,-58,-54,-72,-73,-76,-83,NaN,-69,-82,-85,-87,-90,1
-61,-68,-51,-64,-33,NaN,-64,-69,-58,-54,-72,NaN,-78,-83,NaN,NaN,-82,-85,-87,NaN,1
-61,-65,-50,-64,-29,NaN,-65,-69,-59,-53,NaN,NaN,-77,NaN,NaN,-70,NaN,NaN,NaN,NaN,1
-58,-72,-38,-53,-35,-60,-64,-65,-71,-57,-76,-76,-72,-82,NaN,-85,-80,-87,-88,NaN,2
-59,-74,-42,-64,-43,-56,-67,-64,-67,-56,NaN,-74,-77,-80,-84,-69,-80,NaN,-89,NaN,2
-59,-76,-41,-65,-43,-59,-68,-65,-68,-56,-76,-72,-77,-80,-84,-69,-79,NaN,-86,NaN,2
-59,-74,-42,-65,-43,-61,-66,-64,-66,-55,-77,-72,-81,NaN,NaN,-70,-79,NaN,-86,NaN,2
-58,-64,-41,-65,-42,-58,-67,-66,-72,-54,-77,NaN,-79,-83,NaN,-71,NaN,NaN,NaN,NaN,2
-59,-74,-40,-65,-44,-58,-68,-65,-69,-56,-75,-72,-80,-83,-81,-71,NaN,NaN,NaN,NaN,2
-59,-75,-41,-65,-43,-61,-68,-68,-68,-54,-76,-71,-77,-83,-81,-70,-82,NaN,-89,NaN,2
