@relation RFKON_train

@attribute 4c:5e:0c:71:a8:bf numeric
@attribute d4:ca:6d:bc:1d:73 numeric
@attribute 18:28:61:13:0d:9d numeric
@attribute 00:26:5a:52:0b:8c numeric
@attribute 18:28:61:58:78:6a numeric
@attribute 4c:5e:0c:6f:20:b2 numeric
@attribute 64:66:b3:d0:4a:8d numeric
@attribute dc:02:8e:c2:23:52 numeric
@attribute 4c:5e:0c:70:52:5a numeric
@attribute 18:28:61:9e:ab:5c numeric
@attribute 4c:5e:0c:6f:20:fa numeric
@attribute c8:6c:87:46:62:1c numeric
@attribute e4:8d:8c:20:4d:c1 numeric
@attribute 18:28:61:c7:6b:67 numeric
@attribute d4:ca:6d:c9:f1:c5 numeric
@attribute 4c:5e:0c:71:aa:15 numeric
@attribute 04:18:d6:3e:4d:9f numeric
@attribute 18:28:61:1c:0b:69 numeric
@attribute 18:28:61:c7:6b:40 numeric
@attribute 98:fc:11:d7:73:e4 numeric
@attribute 18:28:61:72:86:cc numeric
@attribute c0:4a:00:0f:03:51 numeric
@attribute 4c:5e:0c:23:44:33 numeric
@attribute 08:37:3d:c7:8d:ea numeric
@attribute 06:18:d6:c2:98:24 numeric
@attribute 04:18:d6:c1:98:24 numeric
@attribute 88:e3:ab:57:c1:14 numeric
@attribute 4c:5e:0c:6f:73:41 numeric
@attribute 64:70:02:a4:35:04 numeric
@attribute ba:b4:2e:cd:29:8a numeric
@attribute e8:37:7a:6c:7f:55 numeric
@attribute c8:d7:19:bc:98:31 numeric
@attribute 38:2d:d1:3e:15:9d numeric
@attribute 3c:33:00:50:6c:77 numeric
@attribute e4:8d:8c:95:5c:60 numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
100,-67,100,-82,100,-64,100,-71,-32,-70,-68,100,-72,100,-58,-28,100,-45,100,100,100,-51,100,100,-65,-50,100,100,100,100,-59,100,-53,100,100,5
-70,-63,100,-67,100,-56,-82,-64,-32,-70,-68,100,-71,100,100,-31,100,-45,100,100,100,-51,-83,100,-64,-57,100,100,100,100,-60,-77,-63,100,100,5
-70,-64,100,-83,100,-58,100,-67,-29,-70,-68,100,100,100,-57,-31,100,-44,100,100,100,-52,-82,100,-65,-48,100,100,100,100,-59,100,-65,100,100,5
100,-65,100,100,100,-63,100,-71,-32,-69,-68,100,-72,100,100,-31,100,-45,100,100,100,-51,100,100,-64,-47,100,100,100,100,-58,100,-64,100,100,5
-70,100,100,-84,100,-61,100,-67,-32,100,-69,100,100,100,-57,-31,100,-44,100,100,100,-52,100,100,-64,-48,100,100,100,100,-59,100,-64,100,100,5
100,100,100,-84,100,-59,-81,-67,-32,-72,100,100,-69,100,-53,-31,100,-44,100,100,100,-51,100,100,-65,-48,100,100,100,100,-57,-77,-62,100,100,5
100,-65,100,-81,100,-66,-82,-66,-32,-72,-70,100,-71,100,-56,-37,100,-44,100,100,100,-52,100,100,-64,-47,100,100,100,100,-58,100,-55,100,100,5
100,-66,100,-83,100,-67,100,-68,-32,-69,-69,100,-69,100,-56,-31,100,-44,100,100,100,-51,100,100,-65,-47,100,100,100,100,-58,-78,-55,100,100,5
-71,-66,-91,-82,-87,-64,-81,100,-32,-68,-68,100,-72,100,-57,-31,100,-44,100,100,100,-51,100,100,-65,-45,100,100,100,100,-57,-77,-69,100,100,5
-69,-66,100,-83,100,100,100,-69,-36,100,100,100,-72,100,-55,-87,100,-44,100,100,100,-51,-77,100,-65,-46,100,100,100,100,-57,-76,-66,100,100,5
100,100,100,100,100,-66,100,100,-32,-67,-68,100,-72,100,-57,-31,100,-44,100,100,100,-50,100,100,-58,-46,100,100,100,100,-58,100,-57,100,100,5
-70,-64,100,-84,100,-62,100,-69,-32,100,-73,100,-73,100,-57,-31,100,-44,100,100,100,-51,100,100,-65,-46,100,100,100,100,-58,-75,-56,100,100,5
100,100,100,100,100,-67,100,-68,-32,-69,-69,100,-73,100,-56,-30,100,-44,100,100,100,100,-82,100,-66,-47,100,100,100,100,-58,-74,-56,100,100,5
100,-65,-89,-66,100,-62,-66,-68,-32,-66,-73,100,-70,100,-56,-31,100,-45,100,100,100,-52,100,100,-66,-49,100,100,100,100,-58,100,-56,100,100,5
-69,-65,100,100,100,-66,100,-69,-32,-68,-67,100,-70,100,-57,-31,100,-44,100,100,100,-51,100,100,-67,-51,100,100,100,100,-58,-75,-58,100,100,5
-69,-63,100,100,100,-64,-67,-67,-32,-69,-67,100,-72,100,-56,-29,100,-44,100,100,100,-50,100,100,-64,-49,100,100,100,100,-59,-77,100,100,100,5
-70,-62,100,-84,100,-65,-81,-68,-31,-70,-68,100,-72,100,-57,-32,100,-44,100,100,100,-51,100,100,-67,-50,100,100,100,100,-58,-77,100,100,100,5
100,100,100,-79,100,-67,100,100,-32,-70,100,100,-72,100,-57,-31,100,-44,100,100,100,-51,100,100,-66,-47,100,100,100,100,-57,100,100,100,100,5
100,-67,100,100,100,-62,100,-69,-32,100,-68,100,100,100,-58,-31,100,-44,100,100,100,-51,100,100,-64,-47,100,100,100,100,100,100,100,100,100,5
-72,-66,100,100,100,-65,100,-65,-36,100,-73,100,100,100,100,-32,100,-44,100,100,100,-51,100,100,-65,-47,100,100,100,100,-59,100,100,100,100,5
100,-64,100,-82,100,-67,100,-68,-32,100,-65,100,-72,100,-63,-32,100,-44,100,100,100,-51,-78,100,-66,-46,100,100,100,100,-57,-75,100,100,100,5
100,-65,100,100,100,-64,100,-70,-32,100,-68,100,100,100,100,-31,100,-44,100,100,100,-51,100,100,-64,-47,100,100,100,100,-58,100,100,100,100,5
-69,-65,100,100,100,-67,100,-67,-32,100,100,100,-67,100,100,-32,100,-45,100,100,100,-51,-78,100,-66,-45,100,100,100,100,-58,100,100,100,100,5
-69,-64,100,-82,100,-60,100,-69,-33,-73,-68,100,-71,100,-58,-31,100,-44,100,100,100,-51,100,100,-64,-49,100,100,100,100,-58,-76,100,100,100,5
-69,-64,100,-84,100,-63,100,-68,-32,-73,100,100,-69,100,-56,-28,100,-44,100,100,100,-52,100,100,-67,-46,100,100,100,100,-58,100,100,100,100,5
100,-63,100,100,100,-62,-81,-68,-32,100,100,100,-71,100,-54,-26,100,-44,100,100,100,-51,100,100,-58,-46,100,100,100,100,100,100,100,100,100,5
-69,-63,100,-83,100,-55,100,-70,-32,100,-75,100,-71,100,-58,-31,100,-45,100,100,100,-52,-78,100,-64,-48,100,100,100,100,-59,-75,100,100,100,5
100,100,100,100,100,-58,100,-69,-32,100,100,100,-70,100,-59,-31,100,-44,100,100,100,-52,-79,100,-68,-47,100,100,100,100,100,-76,100,100,100,5
100,-63,100,-81,100,-64,-81,100,100,-72,100,100,100,100,-56,-30,100,-44,100,100,100,-50,100,100,-67,-49,100,100,100,100,100,100,100,100,100,5
100,-63,100,100,100,100,100,100,-33,100,-74,100,-69,100,-56,-31,100,-45,100,100,100,-52,-79,100,-68,-46,100,100,100,100,-58,100,100,100,100,5
100,-62,100,100,100,-63,100,-69,-50,-72,100,100,100,100,-57,-31,100,-44,100,100,100,-52,100,100,-68,-47,100,100,100,100,100,100,100,100,100,5
100,-67,100,-82,-86,100,100,100,-33,-74,100,100,-72,100,-57,-31,100,-44,100,100,100,-52,100,100,-68,-49,100,100,100,100,-58,-78,100,100,100,5
100,-63,100,100,100,-64,100,-68,-32,-76,100,100,-70,100,-56,-31,100,-45,100,100,100,-51,-79,100,-68,-48,100,100,100,100,-58,-84,100,100,100,5
-69,-63,100,100,100,-66,100,-69,-30,-76,-74,100,100,100,-56,-31,100,-44,100,100,100,-51,100,100,-55,-47,100,100,100,100,-58,100,100,100,100,5
