@relation RFKON_train
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute c8:6c:87:46:62:1c_ZyXEL8908bS3 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 18:28:61:c7:6b:67_inonet numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 04:18:d6:3e:4d:9f_ESOGU-WIFI numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 18:28:61:c7:6b:40_evarobot_wifi numeric
@attribute 98:fc:11:d7:73:e4_inonet-104 numeric
@attribute 18:28:61:72:86:cc_isimbulamadimp numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 08:37:3d:c7:8d:ea_B.B. numeric
@attribute 06:18:d6:c2:98:24_inonet-alt numeric
@attribute 04:18:d6:c1:98:24_inonet-alt numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 88:e3:ab:57:c1:14_VINNWiFi-c114 numeric
@attribute 4c:5e:0c:6f:73:41_feniks-2 numeric
@attribute 64:70:02:a4:35:04_regulateurrestaurant numeric
@attribute 'ba:b4:2e:cd:29:8a_BLU LIFE PLAY' numeric
@attribute e8:37:7a:6c:7f:55_TTNET_ZyXEL_CA3E numeric
@attribute c8:d7:19:bc:98:31_ numeric
@attribute 38:2d:d1:3e:15:9d_isimbulamadimxx numeric
@attribute '3c:33:00:50:6c:77_RC Leading-506c77' numeric
@attribute e4:8d:8c:95:5c:60_evarobot_wifi numeric
@attribute REF_POINT {1,6,7,8,9,10,11,12,50,51,52,53,54}

@data
-76,100,100,100,100,100,100,-67,-37,-58,100,100,100,100,-54,-24,100,-61,100,100,100,-57,-71,100,100,100,-53,-65,100,100,100,100,-64,-65,-57,100,100,12
100,100,100,100,100,-54,100,-69,-41,-60,100,100,100,100,-52,-25,100,-59,100,100,100,-54,-73,100,100,100,-55,-64,100,100,100,100,-63,100,-56,100,100,12
100,-69,100,100,100,-57,100,100,-38,-62,-72,100,-74,100,-51,-25,100,-62,100,100,100,-58,-73,100,100,100,-54,-65,100,100,100,100,-65,100,-57,100,100,12
-77,100,100,100,100,-54,-86,-71,-48,-59,100,100,100,100,-51,-25,100,-59,100,100,100,100,-73,100,100,100,-54,-65,100,100,100,100,100,-66,-56,100,100,12
100,-69,100,100,100,100,-67,-70,-39,-61,-74,100,100,100,-52,-24,100,-51,100,100,100,-56,-70,100,100,100,-54,-64,100,100,100,100,-61,-66,-57,100,100,12
100,-69,100,100,100,-52,100,-67,100,-63,-73,100,-73,100,-51,-24,100,-48,100,100,100,-56,-72,100,100,100,-53,-65,100,100,100,100,-64,-70,-56,100,100,12
100,-67,100,100,100,-55,100,-74,-41,-68,100,100,100,100,-53,-25,100,-49,100,100,100,-53,-71,100,100,100,-55,-67,100,100,100,100,-58,-67,-57,100,100,12
100,-67,100,100,100,-57,100,-67,-38,-66,100,100,100,100,-50,-25,100,-49,100,100,100,-59,-71,100,100,100,-51,-67,100,100,100,100,-57,-66,-56,100,100,12
100,-69,100,-80,100,-59,100,-68,-38,-72,100,100,100,100,-50,-25,100,-49,100,100,100,-58,100,100,100,100,-52,-67,100,100,100,100,-57,100,-57,100,100,12
-75,-73,100,100,100,-59,100,-75,-38,-69,100,100,100,100,-52,-25,100,-49,100,100,100,-67,-76,100,100,100,-52,-68,100,100,100,100,-57,-66,-56,100,100,12
-75,100,100,100,100,100,100,-68,-38,100,100,100,100,100,-49,-25,100,-48,100,100,100,-60,100,100,100,100,-53,-68,100,100,100,100,-58,100,-57,100,100,12
100,-70,100,100,100,-58,100,-72,-38,100,-71,100,100,100,-50,-26,100,-49,100,100,100,-61,-76,100,100,100,-55,-68,100,100,100,100,-57,100,-55,100,100,12
-76,-71,100,-77,100,-65,100,100,-38,100,-71,100,100,100,-50,-25,100,-49,100,100,100,100,100,100,100,100,-51,-67,100,100,100,100,-58,100,-57,100,100,12
100,-74,100,100,100,-60,100,-65,-38,-69,-70,100,-76,100,-52,-25,100,-49,100,100,100,-56,100,100,100,100,-53,-67,100,100,100,100,-58,-64,-57,100,100,12
100,-71,100,-67,100,-58,100,-67,-38,-68,100,100,100,100,-50,-25,100,-49,100,100,100,-62,100,100,100,100,-50,-67,100,100,100,100,-58,-67,-57,100,100,12
-75,-68,100,-68,100,-61,-79,-68,-39,-69,-75,100,-76,100,-50,-25,100,-49,100,100,100,-61,-77,100,100,100,-51,-67,100,100,100,100,-57,-66,-57,100,100,12
-76,-70,100,100,100,100,100,100,-39,-68,100,100,100,100,100,-25,100,-49,100,100,100,-60,-77,100,100,100,-52,-65,100,100,100,100,-58,100,-57,100,100,12
100,-70,100,100,-88,-61,100,-66,-38,-68,100,100,100,100,-49,-25,100,-48,100,100,100,-61,-76,100,100,100,-53,-56,100,100,100,100,-58,-66,-57,100,100,12
100,-74,100,-76,100,-55,-87,-70,-39,-70,100,100,100,100,-50,-25,100,-52,100,100,100,-54,-76,100,100,100,-53,-65,100,100,100,100,-57,100,-58,100,100,12
100,100,100,-77,100,-54,100,-69,-38,-70,-72,100,-77,100,-50,-24,100,-51,100,100,100,-57,-75,100,100,100,-51,-64,100,100,100,100,-59,-66,-59,100,100,12
