@relation RFKON_MF_Train

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data

-3.42,-19.859999,-21.84,3
-3.18,-19.74,-21.42,3
-3.9,-20.039999,-20.879999,3
-3.78,-19.859999,-21.539999,3
-3.96,-19.5,-21.359999,3
-4.02,-19.92,-21.18,3
-3.54,-20.16,-21.48,3
-3.6,-20.4,-21.6,3
-3.42,-20.4,-21.24,3
-3.66,-20.1,-21.48,3
-3.72,-19.859999,-21.24,3
-4.2,-20.039999,-21.48,3
-4.2,-20.34,-21.359999,3
-3.66,-20.699999,-21.539999,3
-3.42,-20.279999,-21.24,3
-3.54,-19.98,-21.299999,3
-3.54,-20.219999,-21.539999,3
-3.12,-20.219999,-21.6,3
-3.42,-19.859999,-21.42,3
-3.54,-20.039999,-21.359999,3
-3.66,-20.1,-21.18,3
-3.3,-19.92,-21.24,3
-3.9,-19.98,-21.18,3
-3.42,-19.98,-21.18,3
-3,-19.68,-20.879999,3
-3.24,-19.68,-21.24,3
-3.66,-20.039999,-21.119999,3
-3.6,-20.039999,-21.059999,3
-3.54,-19.799999,-21,3
-3.6,-20.039999,-21.299999,3
-2.82,-19.799999,-21.18,3
-3.24,-19.619999,-21.24,3
-3.18,-19.68,-21.719999,3
-3.54,-19.26,-21.24,3
-3.84,-19.619999,-20.939999,3
-0.96,-18.6,-25.019999,4
-0.66,-19.02,-25.139999,4
-0.66,-19.26,-25.139999,4
-0.72,-18.779999,-25.019999,4
-0.66,-19.559999,-24.66,4
-1.08,-19.439999,-24.719999,4
-0.9,-19.139999,-24.6,4
-0.48,-19.139999,-24.779999,4
-0.6,-19.08,-25.019999,4
-0.48,-19.08,-25.08,4
-0.42,-19.139999,-25.08,4
-0.24,-18.959999,-24.48,4
-0.42,-19.08,-24.719999,4
-0.36,-19.02,-24.9,4
-0.06,-19.199999,-24.959999,4
-0.36,-18.9,-24.539999,4
-0.24,-18.18,-24.779999,4
0.12,-18.42,-24.719999,4
-0.36,-18.299999,-24.779999,4
-0.66,-18.299999,-24.84,4
0.42,-17.58,-25.139999,4
-0.12,-17.76,-24.959999,4
-0.36,-18.24,-24.9,4
-0.84,-19.08,-25.199999,4
-1.08,-19.32,-25.199999,4
-0.3,-18.9,-24.779999,4
-0.36,-18.48,-24.84,4
-0.12,-17.879999,-25.08,4
-0.24,-18.66,-25.139999,4
-0.36,-18.66,-24.6,4
-0.42,-18.719999,-24.779999,4
-0.06,-19.439999,-25.019999,4
-0.48,-19.02,-24.959999,4
-0.66,-18.719999,-25.26,4
-0.24,-18.9,-25.439999,4
2.04,-22.379999,-24.059999,13
2.16,-23.519999,-24.359999,13
1.86,-23.4,-24.66,13
1.44,-24.24,-24.299999,13
1.08,-24.299999,-24.18,13
0.9,-23.939999,-24.84,13
0.9,-24.059999,-24.779999,13
1.8,-23.459999,-24.66,13
1.92,-23.639999,-24.359999,13
1.68,-24,-24.359999,13
1.44,-24,-24.42,13
1.44,-24.359999,-24.18,13
1.26,-23.879999,-24.48,13
1.5,-24,-24.48,13
1.74,-23.939999,-24.48,13
1.74,-23.82,-24.18,13
1.8,-23.639999,-24.24,13
1.38,-23.699999,-24,13
1.68,-23.58,-24.48,13
1.74,-23.699999,-24.48,13
1.56,-23.699999,-24.359999,13
1.8,-23.4,-24.779999,13
1.68,-23.1,-25.26,13
1.74,-22.74,-24.779999,13
1.98,-22.98,-24.6,13
1.2,-23.639999,-24.42,13
1.44,-23.76,-24.539999,13
1.14,-23.639999,-24.299999,13
1.26,-24,-24.24,13
1.08,-24.6,-24.539999,13
1.08,-24.059999,-24.84,13
1.8,-24.059999,-24.9,13
1.5,-23.459999,-24.539999,13
1.32,-23.459999,-24.18,13
1.08,-24.059999,-24.119999,13
-1.5,-23.699999,-22.139999,2
-1.38,-23.459999,-21.18,2
-1.8,-23.039999,-21.42,2
-2.28,-23.039999,-21.719999,2
-1.86,-23.039999,-21.42,2
-1.86,-22.68,-21.66,2
-1.98,-23.519999,-22.08,2
-1.32,-23.4,-21.959999,2
-1.44,-22.92,-21.66,2
-1.62,-22.92,-21.24,2
-0.84,-22.859999,-21.6,2
-1.14,-22.98,-21.779999,2
-1.08,-22.92,-21.48,2
-1.14,-23.279999,-21.359999,2
-1.14,-23.219999,-21.779999,2
-2.1,-23.699999,-21.779999,2
-1.32,-23.639999,-21.539999,2
-1.08,-23.519999,-21.539999,2
-0.9,-23.219999,-21.66,2
-1.2,-23.459999,-21.359999,2
-1.14,-23.219999,-21.24,2
-1.26,-22.799999,-21.779999,2
-1.32,-22.859999,-21.66,2
-1.56,-23.279999,-21.779999,2
-1.26,-22.98,-21.48,2
-1.26,-22.92,-21.719999,2
-1.5,-23.219999,-21.48,2
-1.74,-23.039999,-21.359999,2
-1.44,-23.219999,-22.02,2
-0.96,-23.459999,-22.02,2
-1.44,-23.519999,-21.359999,2
-1.26,-23.519999,-21,2
-1.56,-23.16,-21.42,2
-1.32,-22.559999,-21.66,2
-1.62,-22.5,-21.66,2
-0.54,-21,-23.16,5
-0.96,-20.879999,-23.219999,5
-0.54,-21.18,-23.34,5
-0.72,-21.539999,-23.519999,5
-1.08,-20.939999,-23.459999,5
-1.2,-21.42,-23.16,5
-1.02,-21.6,-23.1,5
-1.14,-21.66,-22.859999,5
-1.32,-22.08,-22.619999,5
-0.84,-21.779999,-22.74,5
-0.48,-21.18,-22.68,5
-0.48,-21.6,-23.219999,5
-0.54,-21.6,-23.16,5
-0.54,-21.359999,-22.619999,5
-0.12,-21.779999,-22.74,5
-0.78,-22.08,-23.34,5
-0.9,-21.9,-23.58,5
-1.14,-21.48,-22.74,5
-1.26,-21.9,-22.98,5
-0.78,-21.9,-23.34,5
-0.6,-21.18,-23.459999,5
-0.6,-21.059999,-23.1,5
-0.42,-20.76,-23.219999,5
-0.3,-21.18,-23.459999,5
-0.9,-21.18,-22.859999,5
-0.84,-21.119999,-22.859999,5
-0.66,-20.939999,-23.219999,5
-0.3,-21.059999,-23.1,5
-0.42,-20.879999,-22.92,5
-0.96,-21.66,-23.039999,5
-0.6,-21.48,-23.459999,5
-0.36,-20.879999,-23.4,5
-1.26,-21.84,-23.16,5
