@relation SamsungTablet_Train

@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute c8:d7:19:bc:98:31_ numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 04:18:d6:3e:4d:9f_ESOGU-WIFI numeric
@attribute e4:8d:8c:95:5c:60_evarobot_wifi numeric
@attribute c8:6c:87:46:62:1c_ZyXEL8908bS3 numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-68,-37,-38,-53,100,-62,-36,100,-75,-64,100,100,-62,-64,100,100,100,100,100,100,100,100,100,100,3
-68,-37,-38,-55,100,-62,100,-52,-80,-63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3
-68,-36,-38,-54,-71,-64,-36,-56,100,-63,100,-67,-63,-65,-71,-73,-76,100,100,100,100,100,100,100,3
-69,-36,-38,-55,100,-60,-36,-50,100,-57,-70,100,-59,100,100,-73,100,100,100,100,100,100,100,100,3
-68,-36,-37,-54,100,-64,-36,-51,100,100,100,-67,-62,-62,-74,100,100,-81,100,100,100,100,100,100,3
-69,-37,-38,-56,-73,-64,-36,-51,100,100,-70,100,-62,-63,-70,100,-71,100,100,100,100,100,100,100,3
-68,-37,-38,-54,-74,-64,-38,-57,100,-61,100,-67,-61,-63,-74,-72,-71,100,100,100,100,100,100,100,3
-68,-37,-38,-54,100,100,-36,-51,100,100,-70,100,-63,-60,-70,100,100,100,100,100,100,100,100,100,3
-69,-36,-38,-57,-74,100,-37,100,100,100,100,-67,-63,-63,100,-72,100,100,100,100,100,100,100,100,3
-69,-37,-36,-57,100,-65,-36,-51,-82,100,100,-67,-63,-60,100,100,-76,100,100,100,100,100,100,100,3
-69,-37,-38,-53,-74,-64,-36,-52,100,-59,100,-67,-62,-62,-72,100,-73,100,100,100,100,100,100,100,3
-69,-37,-38,-54,100,-66,-37,-52,100,-63,100,100,-63,-68,100,100,100,100,100,100,100,100,100,100,3
-69,100,-38,-54,100,-64,-37,-51,-81,-56,100,-68,-62,-63,-70,100,100,100,100,100,100,100,100,100,3
-70,-37,-36,-55,-74,-63,-37,-58,-81,-60,100,100,-62,-63,-71,100,100,-80,100,100,100,100,100,100,3
-69,-37,-38,-54,100,100,-37,-52,100,-64,-70,-67,-62,-63,100,100,-74,-81,-78,100,100,100,100,100,3
-69,-37,-38,-54,100,-64,-38,-52,100,-57,100,-67,-63,-63,-70,100,100,100,100,100,100,100,100,100,3
-67,-37,-38,-53,100,-63,-36,-51,100,-59,-73,100,-63,100,100,-71,-73,100,100,-84,100,100,100,100,3
-68,-36,-42,-53,100,-64,-36,-51,100,100,100,100,-62,-63,100,-70,100,100,100,100,100,100,100,100,3
-68,100,100,-54,100,-64,-37,-52,100,-57,100,100,100,-63,100,100,100,100,100,100,100,100,100,100,3
-68,-36,-38,-56,100,100,-38,-62,100,100,100,100,-63,-60,100,100,100,100,100,100,100,100,100,100,3
-67,-36,-37,-53,-72,-67,-36,-55,100,-69,100,100,-63,-62,100,-74,100,100,100,100,100,100,100,100,3
-66,100,-38,-53,100,-63,-37,-52,100,-61,100,100,-57,-62,100,100,-72,100,-77,100,100,100,100,100,3
-68,-36,-37,-57,100,-62,-36,-53,100,100,100,-67,-63,-62,-72,100,-75,100,100,100,100,100,100,100,3
-68,-36,-37,-54,-71,-64,-36,-53,100,100,100,-68,-60,-63,100,100,-74,100,100,100,100,100,100,100,3
-68,-36,-37,-53,100,-63,100,-52,100,-59,100,100,-61,-61,100,-73,100,100,100,100,100,100,100,100,3
-68,-37,-38,100,-71,-61,-36,-51,-80,100,100,-64,-62,-62,-68,-71,100,100,100,100,100,100,100,100,3
-68,-36,-37,-53,-71,-63,-36,-53,100,-60,100,100,-60,100,100,100,100,100,100,100,100,100,100,100,3
-67,-37,-38,-53,-71,-62,-36,-51,-80,-58,100,-67,-61,100,-68,100,100,100,100,100,100,100,100,100,3
-67,100,-36,-53,100,-62,-36,-58,100,-61,100,-66,-58,-63,-67,-75,100,100,100,100,100,100,100,100,3
-67,-37,-37,-54,100,100,-38,-58,100,-61,100,-67,-62,100,100,100,100,100,100,100,100,100,100,100,3
-67,-37,-38,-55,100,-65,-36,-55,100,-60,100,-69,100,-62,-68,100,100,100,100,100,100,100,100,100,3
-66,-36,-37,-53,-71,-63,-36,-55,-80,-61,-70,100,100,100,-69,-75,-75,-80,100,100,100,100,100,100,3
-68,-37,-38,-53,100,-64,-35,-59,100,-59,100,100,-61,-63,-72,-75,100,100,100,100,100,100,100,100,3
-67,-36,-38,-53,100,100,-35,-52,100,-59,100,-69,-60,100,-72,100,-74,-80,100,100,100,100,100,100,3
-67,-36,-38,-54,-65,-62,-36,-55,-78,100,100,100,-62,100,-76,-77,100,-79,100,100,100,100,100,100,3
-68,-42,-37,-53,100,-63,-36,-53,-78,100,100,100,100,-64,100,100,100,-80,100,100,100,100,100,100,3
-69,-36,-38,-55,100,-64,-36,-55,100,-62,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3
-69,-37,-37,-54,100,-64,-36,-55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3
-69,-36,-38,-57,100,-65,-37,-54,100,-67,100,-67,-59,-63,100,100,-74,100,100,100,100,100,100,100,3
-67,-37,-36,-54,100,-63,-36,-52,100,-64,-70,-67,-62,100,-72,100,-73,100,100,100,100,100,100,100,3
-68,-36,-37,-54,100,-68,100,-56,100,-62,100,100,-61,-63,100,100,100,100,100,100,100,100,100,100,3
-68,100,-38,-54,100,-65,-36,-53,100,-63,100,-67,-64,-64,100,100,100,100,100,100,100,100,100,100,3
-68,-36,-37,-53,-69,-65,-36,-56,100,100,100,100,-60,-65,100,100,100,100,100,100,100,100,100,100,3
-69,-37,-38,-56,100,-65,-36,-54,-73,-64,100,-66,100,100,100,100,100,100,100,100,100,100,100,100,3
-69,-36,-38,-54,-70,-64,-36,-51,100,-63,-70,-66,-60,-66,-71,100,100,100,-78,100,100,100,100,100,3
-69,-36,-37,-54,100,-63,-35,-53,-79,-64,-71,-67,-61,100,-75,100,100,100,100,100,100,100,100,100,3
-68,-37,-38,-54,100,-65,-36,-52,100,100,100,-67,-61,100,100,100,100,100,100,100,100,100,100,100,3
-69,100,-37,-56,-71,-64,-36,-53,100,-63,100,-67,-61,100,100,100,-76,100,100,100,100,100,100,100,3
-68,-37,-38,-55,-71,-65,-36,-53,-78,-66,100,-66,-61,100,100,100,100,-79,-77,100,100,100,100,100,3
-68,-36,-36,-58,-71,-63,-36,-51,100,-60,100,-66,-61,100,100,100,100,100,100,100,100,100,100,100,3
-69,-37,-38,-54,100,-65,-80,-51,100,100,100,100,100,-64,100,100,100,100,100,100,100,100,100,100,3
-68,-36,-37,-54,100,-65,-36,-52,-57,100,-69,-67,-61,-63,-72,-77,100,100,-77,100,100,100,100,100,3
-68,-36,-38,-54,-72,-64,-36,-53,100,-56,100,-67,-60,-64,100,100,100,100,-77,100,100,100,100,100,3
-69,-36,-38,-55,100,-58,-36,-60,-78,100,100,100,-61,-68,100,100,100,-79,100,100,100,100,100,100,3
-67,-37,-37,-55,100,-64,-38,-51,100,100,100,100,-59,-66,100,100,-72,100,100,100,100,100,100,100,3
-69,-38,-37,-57,100,-64,-36,-56,-80,-59,-70,100,-62,-64,100,100,100,100,100,100,100,100,100,100,3
-69,-37,-38,-54,-73,-64,-53,-55,100,-59,-71,-67,100,-64,-70,100,100,-80,-75,100,100,100,100,100,3
-69,-37,-36,-54,100,-66,-36,-54,100,-63,100,-67,-62,-64,-70,100,100,100,100,100,100,100,100,100,3
-69,-36,-38,-54,100,-64,-36,-53,-82,100,100,-67,-62,100,100,100,100,100,100,100,100,100,100,100,3
-69,-37,-38,-54,-73,-62,-37,-53,100,-57,100,100,-62,100,100,100,100,100,100,100,100,100,100,100,3
-69,-37,-38,-54,-71,100,-38,100,100,-61,100,-68,-62,-64,100,100,100,100,100,100,100,100,100,100,3
-68,-37,-38,-54,-71,-65,-37,-58,100,-57,100,100,-62,-64,-73,-75,-71,100,100,100,100,100,100,100,3
-68,-37,-38,-57,100,-63,-37,-54,100,-57,100,-66,100,100,-74,-76,100,100,100,100,100,100,100,100,3
-69,100,-38,-54,100,-62,-36,100,100,-58,100,-67,-61,100,100,100,100,100,100,100,100,100,100,100,3
-69,-36,-38,-53,100,-64,100,-60,-75,100,100,100,-61,-63,100,-74,100,100,-79,100,100,100,100,100,3
-69,-36,-38,-55,100,100,-36,-55,100,-59,100,-67,-62,-62,100,100,100,100,100,100,100,100,100,100,3
