@relation 'LogDosyasi_Samsung_Tablet_Train_WiFi-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute 04:18:d6:c1:98:24_inonet numeric
@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute 18:28:61:1c:0b:69_EVOSOFT numeric
@attribute 'c0:4a:00:0f:03:51_BilTAY Teknoloji' numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute e8:37:7a:6c:7f:55_PYR numeric
@attribute dc:02:8e:c2:23:52_ILKSEM numeric
@attribute 06:18:d6:c2:98:24_inonet numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 18:28:61:9e:ab:5c_MMD numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute 64:66:b3:d0:4a:8d_Cisco_KRD numeric
@attribute 18:28:61:13:0d:9d_EROGLU numeric
@attribute 00:26:5a:52:0b:8c_RFKON_115 numeric
@attribute 18:28:61:58:78:6a_Dlink_DAP-1360 numeric
@attribute e4:8d:8c:20:4d:c1_UPLAT numeric
@attribute 00:66:4b:1f:08:23_TeknoTAM numeric
@attribute 1c:87:2c:7e:23:9d_EROGLU-PUB numeric
@attribute 1c:87:2c:7e:23:9c_EROGLU-PRI numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-55,-33,-40,-61,-50,-57,-53,-59,?,-66,-74,-66,-72,?,?,?,?,?,?,?,-91,?,?,1
-54,-31,-36,-65,-50,-57,-52,-58,-64,-62,?,-64,-72,-73,-76,?,?,?,?,-75,?,?,?,1
-58,-32,-36,-59,-49,-56,-48,?,?,-63,-73,?,?,?,?,?,?,?,?,?,?,?,?,1
-58,?,-42,-68,-51,-59,-47,-59,-63,-63,?,-66,-71,-66,?,?,?,?,?,?,?,?,?,1
-58,-32,-41,-69,-52,?,-47,-58,-69,-62,-67,-67,?,-68,?,?,?,?,?,-73,?,?,?,1
-57,-34,-41,-67,-51,-57,-48,-60,?,-62,-68,?,-74,?,?,?,?,?,?,?,?,-91,?,1
-51,-32,-38,-61,-50,-59,?,-56,-67,-63,?,?,-71,-68,?,?,?,?,?,?,?,?,?,1
-55,-33,-36,?,-51,-56,-48,-57,-60,-64,?,?,-71,?,?,?,?,?,?,?,?,?,?,1
-52,-32,-41,-60,-50,-58,-48,-58,-68,-65,-71,-66,?,?,?,?,?,?,?,-72,?,?,?,1
-63,-33,-36,-62,-52,-61,?,-57,?,-64,?,-74,-74,-71,?,?,?,?,?,-74,-89,?,?,1
-57,-35,-30,-64,-51,-62,-49,-64,-63,-65,-72,-69,-73,?,?,-83,?,-76,?,-77,-85,?,?,1
-52,-34,-30,-62,-51,-61,?,-65,?,-64,-72,-69,-73,-73,?,?,?,?,?,-75,?,?,?,1
-57,-33,-30,-61,-51,-57,-48,-66,?,-64,?,-69,?,-71,-78,-84,?,-87,?,?,-90,?,?,1
-56,-33,-31,-62,-49,-63,-52,-66,-70,-65,-79,?,-74,?,?,-80,?,?,?,-74,?,?,?,1
-51,-34,-32,-61,-52,-65,-52,-65,-64,-65,-70,?,-74,?,?,?,?,?,?,-76,?,?,?,1
