06:18:d6:c2:98:24_inonet,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,4c:5e:0c:70:52:5a_RFKON2014-Mesh,c0:4a:00:0f:03:51_BilTAY Teknoloji,dc:02:8e:c2:23:52_ILKSEM,4c:5e:0c:71:aa:15_RFKON2014-Mesh,c4:6e:1f:58:40:d2_DLink_D01,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,e4:8d:8c:20:4d:c1_UPLAT,18:28:61:13:0d:9d_EROGLU,00:26:5a:52:0b:8c_RFKON_115,18:28:61:58:78:6a_Dlink_DAP-1360,REF_POINT
-71,-58,-53,-63,-76,-36,-59,-69,-38,-81,-78,-79,-76,-72,-55,NaN,NaN,NaN,NaN,1
-71,-60,-47,-64,-76,-31,-62,-69,-35,-81,-70,-74,-76,-73,-64,-81,NaN,NaN,NaN,1
-71,-61,-47,-66,-76,-31,-63,-63,-35,-81,-69,-74,-78,-75,-57,-80,NaN,NaN,NaN,1
-72,-60,-46,-63,-74,-31,-62,-61,-35,-82,-72,-74,-78,-75,-58,-80,NaN,NaN,NaN,1
-72,-60,-47,-64,-74,-31,-60,-84,-34,-82,-69,-74,-77,-72,-65,-76,NaN,NaN,NaN,1
-71,-62,-44,-65,-79,-31,-63,-61,-35,-84,-70,-72,-77,-74,-57,-80,NaN,NaN,NaN,1
-71,-62,-46,-88,-79,-32,-59,-64,-34,-80,-71,-69,-79,-74,-59,-79,NaN,NaN,NaN,1
-71,-59,-47,-68,NaN,-31,-64,-78,-35,-84,-69,-75,-79,-75,-57,-79,NaN,NaN,NaN,1
-71,-58,-47,-73,-81,-32,-64,-63,-35,-84,-69,-75,-78,-74,-58,NaN,NaN,NaN,NaN,1
-71,-57,-47,-69,-82,-32,-64,-62,-36,-84,-69,NaN,-78,-74,-55,NaN,-88,NaN,NaN,1
-72,-71,-48,-70,-82,-32,-65,-62,-35,-86,-68,NaN,NaN,-75,-57,NaN,-88,NaN,NaN,1
-71,-71,-47,-70,NaN,-32,-65,-62,-36,-86,-69,-75,NaN,-80,-55,NaN,NaN,NaN,NaN,1
-71,-60,-48,-68,-79,-32,-63,-61,-35,-83,-68,-75,NaN,-74,-57,NaN,NaN,NaN,NaN,1
-72,-60,-47,-68,-79,-32,-63,-62,-35,-84,-67,-76,NaN,-75,-57,-80,NaN,-88,NaN,1
-71,-60,-87,-69,-78,-33,-63,-63,-36,-83,-70,-76,-79,-75,-56,-80,NaN,-88,NaN,1
-71,NaN,-46,-68,-80,-30,-63,-59,-35,-85,-70,-76,-79,-75,-57,-80,NaN,NaN,NaN,1
-72,NaN,-46,-68,-80,-31,-63,-59,-36,-85,-69,-74,-78,-74,-61,NaN,NaN,NaN,NaN,1
-73,-72,-46,-70,NaN,-32,-63,NaN,-35,-84,-69,-70,-78,-74,-60,NaN,NaN,NaN,NaN,1
-72,-59,-46,-69,NaN,-32,-63,-77,-36,-86,-68,-75,NaN,-79,-58,NaN,NaN,NaN,NaN,1
-74,-60,-46,-66,-86,-32,-59,-79,-36,-83,-69,-74,-78,-74,-60,-79,NaN,NaN,NaN,1
-74,-60,-46,-69,-83,-32,-59,-62,-35,-84,-70,-75,-80,-74,-59,-77,NaN,NaN,NaN,1
-73,-60,-47,-67,-83,-32,-59,-60,-35,-80,-70,-75,-80,-74,-60,-77,NaN,NaN,NaN,1
-74,-60,-46,-62,NaN,-32,-63,-62,-35,-80,-70,NaN,NaN,-75,-59,NaN,NaN,NaN,NaN,1
-74,-60,-46,-62,NaN,-32,-59,-64,-36,NaN,-70,NaN,NaN,-75,-59,NaN,NaN,NaN,NaN,1
-73,-62,-46,-67,NaN,-32,-59,-61,-35,NaN,-70,-74,-79,-75,-59,NaN,NaN,NaN,NaN,1
-71,-65,-45,-68,-84,-32,-57,-60,-35,-84,-70,-75,-78,-74,-59,-78,NaN,NaN,-87,1
-72,-61,-46,-67,-84,-32,-57,-65,-36,-84,-67,-74,-77,-74,-59,-78,NaN,NaN,-88,1
-72,-60,-46,-67,NaN,-33,-58,-63,-36,-84,-69,-75,-77,-74,-60,-80,NaN,NaN,-88,1
-72,-62,-46,-67,-84,-30,-63,-63,-36,-83,-69,-75,-77,-75,-60,-86,NaN,NaN,NaN,1
-72,-64,-46,-67,-87,-31,-59,-62,-35,-78,-70,-74,-77,-74,-59,-86,-89,NaN,NaN,1
-72,-60,-46,-67,-87,-28,-56,-62,-36,-84,-70,-75,NaN,-74,-59,-78,-89,NaN,NaN,1
-71,-60,-46,-67,NaN,-31,-65,-62,-36,-79,-71,-75,-75,-74,-61,-78,NaN,NaN,NaN,1
-72,-61,-46,-67,NaN,-32,-64,-63,-36,-84,-66,-74,-76,-74,-60,NaN,NaN,NaN,NaN,1
-73,-63,-46,-67,NaN,-32,-60,-64,-35,-79,-70,-74,-75,-74,-59,NaN,-89,-90,NaN,1
-71,-60,-46,-67,-84,-31,-60,-63,-36,-84,-70,-73,-78,-76,-60,-79,-88,-90,NaN,1
-71,-60,-46,-68,-83,-33,-58,-63,-36,-84,-70,-74,-77,-75,-59,-75,-88,-88,-87,1
-71,-62,-46,-67,-83,-32,-65,-61,-36,-79,-70,-74,-79,-73,-60,-78,NaN,-88,-87,1
-72,-62,-46,-67,NaN,-31,-63,-61,-36,-85,-70,-75,-74,-75,-59,-78,NaN,-89,NaN,1
-72,-63,-46,-66,NaN,-32,-57,-63,-35,-84,-70,-74,-77,-75,-60,-83,NaN,-89,NaN,1
-71,-62,-46,-68,NaN,-32,-59,-63,-36,-83,-71,-74,-77,-74,-59,-80,NaN,NaN,NaN,1
-71,-60,-46,-69,-84,-32,-57,-63,-36,-83,-71,-75,NaN,-74,-60,-80,NaN,NaN,NaN,1
-72,-62,-47,-69,-84,-31,-57,-79,-35,-84,-71,-75,NaN,NaN,-59,NaN,NaN,NaN,NaN,1
-71,-61,-46,-68,NaN,-30,-63,-79,-36,-87,-70,-75,-79,-75,-59,-78,NaN,NaN,-88,1
-72,-63,-46,-69,NaN,-32,-62,NaN,-35,-87,-71,-75,-78,-74,-59,-78,NaN,NaN,-88,1
-73,-65,-46,-69,NaN,-32,-63,-61,-36,-84,-71,-74,-78,-75,-58,-78,NaN,NaN,NaN,1
-71,-67,-47,-68,-88,-32,-63,-62,-35,-83,-71,-74,-78,-75,-60,-79,NaN,NaN,NaN,1
-71,-60,-46,-69,-88,-31,-63,-62,-35,-84,-70,-76,-78,-72,-60,-79,NaN,NaN,NaN,1
-73,-61,-46,-72,NaN,-33,-63,NaN,-36,-84,-70,-74,-78,-72,-60,-79,NaN,NaN,NaN,1
-72,-60,-46,-69,NaN,-33,-63,-79,-35,-83,-72,-75,-79,-75,-57,-79,NaN,NaN,NaN,1
-72,-60,-46,-68,NaN,-33,-57,-79,-36,-85,-73,-75,-79,-80,-60,-76,NaN,NaN,NaN,1
-72,-62,-46,-68,-85,-32,-61,-60,-35,-84,-70,-75,-79,-75,-58,-79,NaN,NaN,-87,1
-72,-61,-46,-69,-85,-33,-64,-61,-36,-85,-71,NaN,-78,-75,-60,-79,NaN,NaN,-87,1
-71,-61,-47,-67,-79,-32,-58,-62,-34,-84,-68,-76,-79,-74,-62,NaN,NaN,NaN,NaN,1
-72,-61,-49,-65,-79,-31,-63,-77,-38,-75,-71,-86,-79,-72,-62,NaN,NaN,NaN,NaN,1
-70,NaN,-48,-62,NaN,-33,-63,-77,-41,-76,-66,-77,-81,-73,-59,NaN,NaN,NaN,NaN,1
-71,-59,-46,-67,NaN,-33,-63,NaN,-37,-85,-68,-75,-79,-75,-57,-80,NaN,NaN,NaN,1
-70,-59,-46,-66,-83,-33,-63,-81,-38,-86,-69,-76,-77,-74,-57,-80,NaN,NaN,NaN,1
-71,-59,-46,-66,-83,-32,NaN,-62,-37,-85,-71,-77,-78,-73,-57,-80,NaN,NaN,NaN,1
-72,-60,-46,-67,-84,-33,-64,-62,-38,-85,-71,-77,-78,-73,-58,-80,NaN,NaN,NaN,1
-72,-58,-46,-68,-84,-33,-64,-62,-37,-85,-68,-77,-78,-73,-56,-80,NaN,NaN,NaN,1
-72,-64,-46,-67,-87,-33,-64,-62,-38,NaN,-71,-75,-78,-73,-59,-80,NaN,NaN,NaN,1
-71,-59,-46,-66,-87,-33,NaN,-61,-37,-85,-71,-74,-74,-73,-58,-80,NaN,NaN,NaN,1
-71,-62,-46,-66,-87,-32,-63,-61,-37,-84,-70,-74,-74,-74,-57,-80,NaN,NaN,-87,1
-70,-66,-46,-68,NaN,-33,-63,-67,-37,-83,-70,-81,-79,-73,-55,-63,NaN,NaN,-86,1
-71,-66,-46,-64,NaN,-33,-64,-60,-38,-83,-69,-71,-74,-73,-57,-63,NaN,NaN,-86,1
-72,-62,-46,-67,NaN,-33,-64,-62,-37,-82,-71,-76,-77,-74,-57,-79,NaN,NaN,-88,1
-71,-60,-45,-67,NaN,-32,-63,-62,-37,-84,-69,-76,-77,-74,-55,-79,NaN,NaN,-89,1
-72,-61,-47,-67,NaN,-32,-64,NaN,-37,-85,-69,-76,NaN,-73,-57,-80,NaN,NaN,-89,1
-71,-59,-46,-66,-88,-33,-70,-62,-37,-81,-71,-76,NaN,-73,-55,-80,NaN,NaN,NaN,1
-70,-59,-46,-67,-87,-32,-70,-62,-38,-83,-69,-76,-78,-72,-58,NaN,NaN,NaN,NaN,1
-70,NaN,-46,-66,-87,-32,-66,-63,-37,-83,-68,-76,-78,-73,-58,NaN,NaN,NaN,NaN,1
-70,-60,-45,-66,-84,-32,-66,-62,-38,-83,-70,-76,-77,-72,-57,NaN,NaN,NaN,NaN,1
-71,-59,-45,-67,-86,-32,-65,-60,-37,-86,-70,NaN,-77,-74,-56,-81,NaN,NaN,NaN,1
-70,-63,-46,-66,-86,-33,-66,-72,-37,-82,-68,-73,-77,-74,-57,-81,NaN,NaN,NaN,1
-71,-62,-45,-66,-85,-31,-66,-61,-37,-83,-69,-72,-77,-73,-57,-81,-89,-92,NaN,1
-70,-60,-45,-66,-84,-33,-66,-61,-37,-83,-70,-72,-80,-73,-57,-80,-89,-80,NaN,1
-69,-60,-45,-65,-84,-31,-64,-62,-37,-83,-69,-72,-80,-73,-57,-80,NaN,-80,NaN,1
-71,-60,-45,-66,-86,-32,-63,-63,-37,-82,-69,-73,-79,-73,-58,-80,NaN,NaN,-87,1
-70,-65,-45,-65,-85,-32,-61,-62,-37,-82,-69,-73,-79,-73,-57,-82,NaN,NaN,-87,1
-69,-67,-45,-65,-84,-33,-61,-62,-37,-84,-67,-75,-74,-73,-55,-81,NaN,NaN,NaN,1
-71,-66,-55,-62,-81,-30,-66,-65,-42,-71,-76,-77,-77,-84,-57,-74,NaN,-90,NaN,2
-72,-59,-54,-64,-77,-31,-65,-68,-41,-69,-72,-74,-79,-71,-60,-83,NaN,NaN,NaN,2
-73,-63,-57,-66,-76,-33,-66,-69,-43,-70,-72,-75,-79,-72,-58,-83,-83,NaN,NaN,2
-74,-63,-57,-66,-76,-33,-66,-75,-42,-70,-71,-75,-80,-72,-56,NaN,-83,NaN,NaN,2
-73,-60,-58,-65,NaN,-32,-66,-76,-42,-70,-71,-76,-80,-72,-58,NaN,NaN,NaN,NaN,2
-73,-65,-58,-67,NaN,-33,-66,-68,-43,-67,NaN,-76,-84,-72,-59,NaN,NaN,NaN,NaN,2
-72,-57,-57,-64,-75,-32,-66,-70,-45,-67,NaN,-75,-80,-73,-60,NaN,NaN,NaN,NaN,2
-72,-66,-57,-65,-75,-32,-66,-70,-46,-69,-73,-75,-80,-71,-59,-76,NaN,NaN,NaN,2
-72,-70,-56,-65,NaN,-33,-63,-69,-45,-71,-71,-75,NaN,-73,-58,-81,NaN,NaN,NaN,2
-71,-70,-57,-64,NaN,-33,-66,-69,-45,-70,-72,-75,NaN,-73,-59,-81,NaN,NaN,NaN,2
-71,-66,-57,-65,NaN,-33,-65,NaN,-45,-70,-72,-77,NaN,NaN,-60,-81,NaN,NaN,NaN,2
-72,-64,-57,-65,NaN,-32,-65,NaN,-45,-70,-72,-74,NaN,-77,-59,-81,-84,NaN,NaN,2
-72,-63,-57,-64,NaN,-32,-67,NaN,-44,-70,-72,-74,NaN,-72,-59,-81,-90,NaN,NaN,2
-72,-66,-58,-64,NaN,-32,-67,-70,-43,-70,-72,-75,-82,-72,-59,NaN,-90,NaN,NaN,2
-72,-64,-56,-63,-73,-32,-66,-72,-45,-70,-71,-75,-82,-72,-59,-81,NaN,NaN,NaN,2
-71,-69,-56,-64,-73,-32,-69,-75,-45,-70,-72,-75,-85,-72,-58,-82,NaN,NaN,NaN,2
-71,-63,-56,-64,-73,-33,-71,-68,-43,-70,-73,-74,-85,-72,-57,-82,NaN,-88,NaN,2
-70,-64,-58,-64,-74,-32,-71,-70,-44,-70,-71,-73,-81,-74,-57,NaN,NaN,-90,NaN,2
-70,-59,-57,-65,-74,-32,-67,-69,-45,-69,-68,-73,-80,-72,-60,NaN,NaN,-90,NaN,2
-71,-72,-58,-65,-75,-33,-66,-69,-44,-70,-70,-74,-80,-73,-58,-82,-84,NaN,NaN,2
-71,-72,-56,-63,-76,-32,-66,-69,-45,-70,-72,-74,-80,-72,-59,-82,-84,NaN,NaN,2
-72,NaN,-57,-64,-76,-33,-64,-68,-44,-70,-71,NaN,-79,-72,-59,NaN,NaN,NaN,NaN,2
-72,-67,-57,-64,NaN,-33,-66,-67,-44,-70,-72,-73,-79,-73,-56,-80,NaN,NaN,NaN,2
-72,-64,-56,-64,-76,-33,-67,-67,-45,-70,-71,-72,-80,-73,-59,-80,NaN,NaN,NaN,2
-72,-62,-56,-65,-76,-33,-67,-69,-44,-70,-72,-74,-81,-73,-59,NaN,NaN,NaN,NaN,2
-71,-65,-56,-64,-76,-33,-66,-69,-44,-70,-72,-72,-81,-73,-58,-82,NaN,NaN,NaN,2
-72,-67,-57,-63,NaN,-33,-66,-69,-44,-70,-72,-72,-81,-72,-59,-82,NaN,NaN,-88,2
-73,-67,-57,-64,-75,-33,-68,-68,-44,-70,-72,-73,-81,-72,-59,-82,NaN,NaN,-87,2
-73,-60,-57,-63,-75,-32,-66,-69,-44,-70,-73,-72,-81,-73,-58,NaN,NaN,NaN,-89,2
-73,-63,-56,-63,-74,-33,-66,-68,-44,-71,-71,-72,-80,-73,-60,-83,NaN,NaN,-88,2
-72,-58,-57,-63,-74,-33,-68,-68,-44,-70,-74,-72,-82,-73,-60,-83,NaN,NaN,-88,2
-72,-63,-60,-65,NaN,-32,-66,NaN,-44,-70,-74,-72,-82,-74,-60,NaN,-84,NaN,NaN,2
-72,-63,-58,-65,-75,-33,-64,-70,-44,-70,-73,-75,-81,-75,-59,NaN,-85,NaN,NaN,2
-72,-58,-58,-66,-73,-33,-68,-73,-44,-70,-74,-75,-81,-76,-59,NaN,-85,NaN,NaN,2
-72,-59,-56,-64,-75,-34,-66,-65,-44,-70,-72,NaN,NaN,-73,-59,NaN,-85,NaN,NaN,2
-72,-63,-59,-68,-75,-33,-65,-69,-44,-70,-72,NaN,NaN,-73,-59,NaN,-84,NaN,NaN,2
-72,-62,-61,-64,-75,-33,-65,-67,-45,-69,-73,-75,-82,-73,-60,NaN,-84,-91,NaN,2
-72,-59,-61,-64,NaN,-33,-67,-67,-44,-69,-73,-75,-79,-73,-58,NaN,NaN,-91,-89,2
-72,-62,-60,-65,-76,-33,-60,-68,-44,-70,-73,-75,-79,-74,-59,-81,-85,NaN,-89,2
-72,-59,-58,-64,-79,-33,-65,-66,-44,-71,-71,-75,-79,-74,-59,-81,-85,-89,NaN,2
-73,-58,-58,-64,-79,-33,-63,-68,-44,-71,-73,-75,NaN,-74,-59,NaN,NaN,-89,NaN,2
-72,-62,-58,-66,-75,-33,-63,-67,-44,-72,-73,-75,NaN,-73,-60,NaN,NaN,NaN,NaN,2
-71,-63,-60,-65,-76,-33,-68,-69,-44,-70,-74,-74,-81,-75,-60,-82,-83,NaN,NaN,2
-72,-58,-57,-73,-76,-33,-63,-69,-44,-71,-72,-74,-79,-75,-60,-82,-83,NaN,-87,2
-72,-63,-58,-67,NaN,-32,-67,NaN,-44,-71,-72,NaN,-79,-73,-57,NaN,NaN,NaN,-87,2
-72,-58,-58,-65,NaN,-33,-63,-66,-44,-71,-69,-75,-76,-75,-58,NaN,-86,NaN,NaN,2
-73,-60,-57,-68,NaN,-34,-66,-68,-44,-71,-72,-75,-80,-73,-59,-77,-86,NaN,NaN,2
-73,-61,-57,-67,NaN,-33,-59,-68,-44,-71,-71,-75,-80,-74,-59,-77,NaN,NaN,NaN,2
