LOCAL MAGNETIC FIELD X,LOCAL MAGNETIC FIELD Y,LOCAL MAGNETIC FIELD Z,ORIENTATION X,ORIENTATION Y,ORIENTATION Z,GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
-14.08615112,1.187896729,-19.96383667,-1.289900435,-1.336175927,83.11466639,-7.15301E-07,13.71570983,-20.2549952,1
-13.9093399,0.915527344,-19.5098877,-1.293191412,-1.344511212,84.21316571,-6.41489E-07,13.51661243,-19.80517188,1
-13.82083893,0.279998779,-20.14579773,-1.325721148,-1.342569731,86.76883808,1.14823E-08,13.36627533,-20.45213529,1
-13.82083893,0.007629395,-20.05500793,-1.331611546,-1.333223364,87.93647258,6.36513E-07,13.35914,-20.36547001,1
-14.35146332,0.370788574,-19.87323761,-1.311629934,-1.349020631,86.56461543,-5.41741E-07,13.90460274,-20.19181961,1
-14.79377747,0.733947754,-19.87323761,-1.299050434,-1.346516726,85.24231812,-1.89296E-08,14.37221239,-20.1935538,1
-14.08615112,0.824928284,-20.0548172,-1.308531803,-1.345176835,84.58560227,5.29018E-07,13.67247282,-20.35581833,1
-13.82083893,0.824928284,-20.69034576,-1.311733028,-1.332939698,84.40850229,-1.13329E-07,13.3995552,-20.98185939,1
-13.73233795,1.006317139,-20.59955597,-1.319622536,-1.355298535,83.58909133,2.91036E-07,13.32459415,-20.88987019,1
-13.82045746,0.643157959,-19.69146729,-1.296443542,-1.342450629,85.30974575,5.73381E-07,13.4002048,-19.99017488,1
-13.73233795,0.643157959,-19.05593872,-1.295047302,-1.340823977,85.34805628,3.34515E-07,13.32657642,-19.3525688,1
-13.82102966,0.552368164,-18.69277954,-1.295478992,-1.336604841,85.80272832,-8.14485E-07,13.41722603,-18.99273609,1
-13.9093399,0.552368164,-19.4190979,-1.303390699,-1.332271086,85.74420726,3.05173E-08,13.49127728,-19.71957524,1
-13.9093399,1.369476318,-19.60067749,-1.321347586,-1.337911008,82.25716346,3.81957E-07,13.57163105,-19.88322385,1
-14.08634186,1.460266113,-19.5098877,-1.287814452,-1.328934432,82.04115189,4.72894E-07,13.76264068,-19.79350508,1
-14.1746521,1.460456848,-19.78225708,-1.290356883,-1.335866647,82.05687499,4.42384E-07,13.84242064,-20.06934932,1
-14.43958282,1.187896729,-19.14672852,-1.274685761,-1.325771521,83.39257312,8.0778E-07,14.08628246,-19.44444677,1
-14.08596039,0.824737549,-19.32830811,-1.286040631,-1.331580597,84.6964016,5.87022E-07,13.69161335,-19.62696334,1
-13.99765015,1.187896729,-19.5098877,-1.291346194,-1.336282862,83.11614171,7.11132E-07,13.63717302,-19.7992055,1
-13.73233795,0.824737549,-19.87304688,-1.290899777,-1.321074272,84.49381135,7.76478E-07,13.3320299,-20.16066141,1
-13.64402771,0.552368164,-20.05462646,-1.322557704,-1.325443458,85.56375366,2.42537E-07,13.21608285,-20.34669014,1
-14.52846527,0.643157959,-19.5098877,-1.2996437,-1.330399188,85.55838513,-1.82464E-08,14.11396048,-19.82225499,1
-14.43977356,0.461578369,-19.78225708,-1.306874629,-1.338001828,86.23242235,8.00168E-07,14.00417825,-20.09827858,1
-14.08615112,0.098419189,-19.69146729,-1.308511099,-1.338153693,87.66506136,-6.67898E-07,13.63377303,-20.00758498,1
-13.90895844,0.915718079,-20.23658752,-1.315067761,-1.33591147,84.10412857,6.48709E-07,13.50482085,-20.52892965,1
-13.37852478,0.643157959,-20.23639679,-1.301338013,-1.343024152,85.08411728,-1.00027E-07,12.94817679,-20.52449878,1
-14.43996429,0.279998779,-20.05500793,-1.302835852,-1.324685841,86.9545441,-6.25595E-07,13.99223323,-20.37183646,1
-14.52827454,0.189208984,-20.78170776,-1.314520599,-1.339290066,87.25307801,4.92141E-07,14.05472646,-21.10570072,1
-14.43996429,1.187896729,-19.87323761,-1.31930568,-1.326194352,83.25592836,1.94106E-07,14.07352248,-20.16941262,1
-14.26315308,1.006317139,-19.78225708,-1.285152279,-1.334074363,83.97220347,7.28566E-07,13.87543507,-20.08133976,1
-13.90953064,1.278686523,-19.5098877,-1.273356543,-1.343814106,82.71547598,3.36157E-07,13.55758954,-19.7974131,1
-14.61696625,0.733947754,-19.78225708,-1.293826833,-1.341250757,85.20065397,4.8112E-07,14.19970293,-20.09727627,1
-14.70508575,0.643157959,-19.69146729,-1.294835353,-1.333896671,85.60134019,-5.88571E-07,14.28478253,-20.00879984,1
-14.52827454,0.915527344,-19.5098877,-1.3024619,-1.324878901,84.45494758,-4.34741E-07,14.13945913,-19.81465026,1
-14.35146332,1.006507874,-20.05462646,-1.324217119,-1.329234747,83.92583331,-3.16694E-07,13.96076447,-20.35344333,1
-14.52827454,0.824737549,-19.78225708,-1.299677744,-1.328128897,84.79739277,-4.25284E-07,14.12404263,-20.0898001,1
-14.17446136,1.097106934,-19.60067749,-1.304325154,-1.323051078,83.55220831,-4.918E-07,13.80543666,-19.89259851,1
-14.5280838,0.552368164,-20.14560699,-1.294634183,-1.328112568,85.87064089,2.66414E-07,14.09383625,-20.45921774,1
-13.99784088,0.733947754,-20.0548172,-1.300776017,-1.329781162,84.94676218,1.38231E-07,13.58144657,-20.35235197,1
-14.43977356,1.006317139,-20.41816711,-1.291163379,-1.328601887,83.97543415,3.15355E-07,14.04001098,-20.71954089,1
-16.87469482,-0.730705261,-20.93849182,-1.302963065,-1.463248608,90.85844117,1.34804E-07,16.33634603,-21.37366355,2
-16.57238007,-0.687408447,-21.02966309,-1.293571661,-1.421707611,90.72608576,1.61399E-07,16.04680139,-21.44442133,2
-17.00592041,-0.44631958,-21.68998718,-1.282855948,-1.391727243,89.83133781,6.08051E-07,16.47417235,-22.1010796,2
-17.00592041,-0.628089905,-21.05407715,-1.272714825,-1.366768664,90.52582462,-6.14305E-07,16.49958769,-21.4623763,2
-16.82891846,-0.900268555,-20.87230682,-1.271851873,-1.367914215,91.50164691,9.7024E-07,16.33146034,-21.28284697,2
-17.09442139,-0.99105835,-20.59955597,-1.267576068,-1.376575642,91.8160815,9.3536E-07,16.60295467,-21.02106185,2
-16.82891846,-0.7188797,-21.05388641,-1.272965621,-1.381972879,90.85008102,7.36842E-07,16.31804936,-21.46431184,2
-17.18292236,-0.537109375,-20.96309662,-1.281503784,-1.391762141,90.2026269,8.0472E-07,16.66879652,-21.3809249,2
