06:18:d6:c2:98:24(inonet),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),18:28:61:9e:ab:5c(MMD),04:18:d6:c1:98:24(inonet),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),4c:5e:0c:71:aa:15(RFKON2014-Mesh),18:28:61:1c:0b:69(EVOSOFT),dc:02:8e:c2:23:52(ILKSEM),e8:37:7a:6c:7f:55(PYR),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),c4:6e:1f:58:40:d2(DLink_D01),18:28:61:58:78:6a(Dlink_DAP-1360),4c:5e:0c:23:44:33(RFKON2014-Mesh),e4:8d:8c:20:4d:c1(UPLAT),00:26:5a:52:0b:8c(RFKON_115),18:28:61:13:0d:9d(EROGLU),REF_POINT
-72,-78,-75,-76,-63,-55,-48,-61,-63,-44,-58,-68,-53,-67,-89,-89,-76,NaN,NaN,NaN,1
-73,-75,-71,NaN,-66,-65,-38,-58,-63,-45,-56,-65,-53,NaN,NaN,NaN,-74,-78,NaN,NaN,1
-72,-75,-91,-77,-66,-56,-38,-59,-63,-46,-54,-64,-70,NaN,NaN,NaN,-74,-77,NaN,NaN,1
-71,NaN,-91,-76,-58,-54,-38,-59,-63,-49,-57,-64,-66,-72,NaN,NaN,-74,-77,-78,NaN,1
-72,NaN,NaN,-76,-64,-54,-38,NaN,NaN,-48,-57,-64,-64,-72,NaN,NaN,NaN,NaN,-78,NaN,1
-71,NaN,NaN,NaN,-64,-56,-38,NaN,-63,-48,-55,-64,-66,-72,NaN,NaN,NaN,-76,NaN,NaN,1
-71,NaN,-73,-76,NaN,-54,-38,NaN,-62,-48,-55,NaN,-64,-73,NaN,NaN,NaN,-76,NaN,NaN,1
-72,NaN,-73,-74,-63,-53,-38,NaN,-63,-48,-56,-64,-65,-71,NaN,NaN,NaN,NaN,NaN,NaN,1
-71,NaN,NaN,-74,-63,-53,-38,NaN,-62,-48,-55,-65,-64,-72,-92,NaN,NaN,NaN,NaN,NaN,1
-70,NaN,-75,-77,NaN,-55,-39,-58,-65,-48,-55,-65,-66,-72,-92,NaN,NaN,NaN,NaN,NaN,1
-72,NaN,-75,-77,-91,-55,-52,-58,-65,-48,-57,-65,-66,-71,NaN,NaN,NaN,NaN,NaN,NaN,1
-71,NaN,NaN,NaN,-64,-54,-38,-57,NaN,-49,-55,-65,-65,-72,NaN,NaN,NaN,NaN,NaN,NaN,1
-72,NaN,NaN,NaN,-64,-54,-38,-57,-63,-48,-55,-64,-64,-72,NaN,NaN,NaN,NaN,NaN,NaN,1
-72,NaN,NaN,-74,-62,-53,-38,NaN,-63,-48,-55,-64,-66,-72,NaN,NaN,-74,NaN,NaN,NaN,1
-71,NaN,NaN,-75,-64,-54,-38,NaN,-63,-51,-54,-64,-66,-72,NaN,NaN,-74,NaN,NaN,NaN,1
-71,NaN,NaN,-75,-64,-54,-38,NaN,NaN,-48,-55,-72,-66,-72,NaN,NaN,NaN,NaN,NaN,NaN,1
-69,NaN,NaN,NaN,NaN,-53,-38,NaN,NaN,-48,-55,-64,-65,-72,NaN,NaN,-74,NaN,NaN,NaN,1
-72,NaN,NaN,NaN,NaN,-56,-38,-58,NaN,-48,-55,-65,-65,-72,NaN,NaN,-74,NaN,NaN,NaN,1
-71,NaN,-73,-75,-60,-56,-38,-58,-65,-48,-57,-72,-63,-71,NaN,NaN,NaN,NaN,NaN,NaN,1
-71,NaN,-75,-76,-64,-53,-37,NaN,-66,-47,-58,-72,-67,-72,NaN,NaN,-74,-76,NaN,NaN,1
-71,NaN,-77,-74,-62,-58,-37,-57,-61,-47,-56,-66,-65,-72,NaN,NaN,-73,-76,NaN,-90,1
