GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
1.25E-06,13.7440504689,-19.3743145397,1
1.03E-06,13.7059954402,-19.27984338,1
-5.18E-08,13.8790548207,-19.099727167,1
2.04E-08,13.6793153243,-19.2833690624,1
-3.44E-07,13.536645933,-19.1864281063,1
1.20E-07,13.5968811187,-19.4607186536,1
-1.41E-07,13.4424005946,-19.4639822018,1
-1.14E-06,13.4260901656,-19.5494567363,1
7.34E-08,13.5008177773,-19.9221216333,1
-5.97E-07,13.4810798749,-19.5609073284,1
-2.89E-07,13.2719751221,-19.1070448779,1
4.90E-08,13.5335204398,-19.0181199221,1
3.21E-07,13.2016340076,-19.6497942771,1
2.51E-07,13.5204508821,-19.9222286841,1
-3.96E-07,13.737508223,-19.926719798,1
8.61E-08,13.806932793,-19.3847435419,1
-5.22E-07,13.6348358028,-19.4654176989,1
1.66E-07,13.6320642508,-19.6552598317,1
8.48E-08,13.571834869,-19.2876278581,1
1.70E-07,13.9948649636,-19.3915377777,1
-2.39E-07,13.9305431552,-19.746474155,1
8.73E-08,13.2449735267,-19.5561070106,1
-3.39E-07,13.8079528338,-19.4665220005,1
-6.81E-07,13.9357644521,-19.4720967096,1
-5.44E-07,13.5763833475,-19.1888490413,1
4.38E-07,14.0898638114,-19.3760665158,1
-4.00E-07,13.2035534026,-19.6483412662,1
3.71E-08,13.4239731909,-19.2016445805,1
2.48E-07,13.7175494004,-19.1189749711,1
3.71E-07,13.4937958564,-18.9317482369,1
-5.57E-07,13.4855777804,-19.1964676331,1
-3.73E-07,13.3378562588,-19.6405989303,1
-3.88E-08,13.3216986036,-18.9133368373,1
2.54E-07,13.4834399583,-19.1978855625,1
1.49E-07,13.4029790826,-19.188608456,1
-1.40E-07,13.2683077246,-19.2899658502,1
8.20E-07,13.3202206951,-18.4665242106,1
9.16E-07,13.7374770675,-18.9116900913,1
-7.89E-07,13.6721089074,-19.1841667599,1
7.41E-07,14.0374701094,-19.5484768782,1
-5.67E-07,15.674166715,-20.4543507613,2
-8.10E-07,16.1073713144,-20.7347366986,2
3.29E-08,16.1140497287,-20.279759775,2
1.12E-07,16.1049041521,-20.5604171051,2
-4.50E-07,16.0169849223,-20.6486724371,2
3.99E-08,16.4588518226,-20.4714007732,2
-3.86E-07,16.2838859823,-20.5581653483,2
-7.55E-07,15.9258806073,-21.0071047721,2
1.36E-08,16.1018313054,-20.9199131027,2
8.77E-08,16.3694730498,-20.8307934733,2
-7.00E-07,16.1399350915,-20.7220483498,2
7.20E-07,16.6403596008,-20.3797790258,2
6.67E-07,16.4567106407,-20.6537037555,2
2.76E-07,16.2871663473,-20.5556342036,2
-2.54E-07,16.0917533205,-21.1098999689,2
2.72E-07,15.9220789399,-20.8322419662,2
-1.73E-07,16.2819196904,-20.3824344341,2
5.70E-07,16.2817953022,-20.564310177,2
-7.82E-07,15.8477363399,-20.3675381865,2
1.64E-07,15.5890124887,-20.0000815356,2
-3.38E-07,15.4134338679,-20.6294254854,2
5.95E-09,16.4881393672,-21.1800532125,2
5.89E-07,16.5567928683,-20.8262209752,2
-8.81E-07,15.9372530058,-20.4577333243,2
-6.83E-07,15.9343691695,-20.2800073261,2
-7.27E-07,15.9277478573,-20.6500122935,2
