06:18:d6:c2:98:24(inonet),04:18:d6:c1:98:24(inonet),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),18:28:61:9e:ab:5c(MMD),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),4c:5e:0c:71:aa:15(RFKON2014-Mesh),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),e8:37:7a:6c:7f:55(PYR),dc:02:8e:c2:23:52(ILKSEM),04:bf:6d:d8:e8:a4(Evosoft),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),64:66:b3:d0:4a:8d(DLINK_D04A8D),e4:8d:8c:20:4d:c1(UPLAT),00:0f:f7:2e:0a:d0(ESOGU-WIFI),18:28:61:58:78:6a(Dlink_DAP-1360),4c:5e:0c:23:44:33(RFKON2014-Mesh),00:26:5a:52:0b:8c(RFKON_115),c4:6e:1f:58:40:d2(DLink_D01),18:28:61:13:0d:9d(EROGLU),REF_POINT
-73,-52,-63,-32,-81,-70,-41,-61,-65,-60,-72,-55,-67,-82,-89,-73,-87,NaN,NaN,NaN,NaN,NaN,1
-72,-52,-58,-35,-83,-68,-39,-54,-66,-59,-64,-57,-67,-82,-89,-73,-87,-85,NaN,NaN,NaN,NaN,1
-73,-53,-58,-37,-83,-66,-40,-51,-65,-59,-64,-58,-67,NaN,-86,NaN,NaN,-85,NaN,NaN,NaN,NaN,1
-73,-52,-58,-37,NaN,-70,-41,-52,-65,-59,-65,-58,-66,-80,-86,NaN,NaN,NaN,-73,NaN,NaN,NaN,1
-74,-52,-58,-37,NaN,-66,-40,-53,-65,-57,-65,-58,-66,-80,-86,NaN,NaN,-84,-73,-86,NaN,NaN,1
-73,-53,-58,-37,NaN,-67,-40,-53,-65,-58,-65,-58,-66,-80,NaN,NaN,NaN,-84,-73,-86,NaN,NaN,1
-74,-52,-58,-38,-77,-67,-40,-54,-63,-57,-61,-57,-68,-79,-86,NaN,-86,-85,-78,NaN,NaN,NaN,1
-74,-52,-58,-38,-75,-67,-87,-54,-64,-59,-65,-57,-68,-80,-86,-82,-86,-78,-78,NaN,-85,NaN,1
-74,-53,-58,-36,-76,-68,-41,-53,-62,-58,-65,-58,-63,-79,-87,-82,NaN,-87,NaN,-80,-86,NaN,1
-74,-52,-57,-40,-76,-67,-39,-52,-62,-57,-65,-57,-63,-80,-87,-82,NaN,-84,-73,-80,-86,NaN,1
-72,-55,-57,-37,-75,-67,-40,-55,-63,-57,-65,-58,-70,-78,NaN,-82,-86,-84,-73,NaN,NaN,NaN,1
-56,-52,-57,-38,-75,-67,-40,-54,-63,-58,-86,-57,-68,-80,NaN,-81,-86,NaN,-73,NaN,NaN,NaN,1
-72,-52,-57,-38,-76,-67,-40,-54,-64,-59,-65,-58,-68,-79,NaN,-71,NaN,NaN,-73,-86,NaN,NaN,1
-73,-52,-57,-73,-76,-67,-39,-54,-63,-59,-64,-58,-62,-79,NaN,-71,-84,NaN,NaN,-86,NaN,NaN,1
-74,-55,NaN,-37,-76,-67,-39,-54,-63,-57,-74,-58,-67,NaN,NaN,-81,-84,NaN,-73,NaN,NaN,NaN,1
-73,-53,-58,-38,NaN,-67,NaN,-54,-63,-58,-74,-58,-67,-80,-86,-81,-84,NaN,-73,NaN,NaN,-88,1
-73,-52,-58,-37,NaN,-62,-40,-55,-63,-58,-65,-58,-67,-78,-86,-81,-86,NaN,-74,NaN,NaN,-88,1
-74,-52,-58,-37,NaN,-62,-40,-55,-63,-57,-65,-58,-67,-78,-86,-81,-87,NaN,-78,-81,-87,NaN,1
-73,-52,-57,-39,-76,-67,-41,-55,-63,-67,-65,-57,-67,NaN,-87,-82,-85,NaN,-78,-85,-87,NaN,1
-73,-52,-57,-38,-76,-68,-40,-55,-63,-58,-65,-66,-68,NaN,-85,-82,-76,NaN,-78,-85,NaN,NaN,1
-74,-52,-57,-35,-76,-68,-40,-55,-63,-67,-73,-57,-67,-79,-85,-81,-85,NaN,-78,NaN,NaN,NaN,1
-73,-54,-54,-37,-76,-68,-41,-56,-63,-58,-65,-66,-68,-79,NaN,-83,-85,NaN,NaN,NaN,NaN,NaN,1
-73,-53,-54,-38,-74,-68,-41,-55,-63,-57,-65,-57,-68,NaN,NaN,-83,-85,NaN,-79,NaN,NaN,NaN,1
-73,-52,-58,-37,-76,-68,-41,-55,-64,-57,-65,-61,-67,NaN,NaN,-82,-85,NaN,-74,-86,NaN,NaN,1
-74,-53,-58,-38,-76,-68,-41,-55,-64,-67,-65,-57,-67,NaN,NaN,-82,-85,NaN,-74,-86,NaN,NaN,1
-74,-55,-57,-37,-76,-68,-39,-53,-63,-58,-63,-57,-64,NaN,NaN,-82,NaN,NaN,NaN,-85,NaN,NaN,1
-73,-53,-63,-37,-77,-68,-40,-53,-65,-67,-63,-58,-67,-79,NaN,-82,-85,NaN,-74,-85,NaN,NaN,1
-73,-55,-57,-37,-75,-67,-40,-54,-65,-58,-74,-58,-67,-79,NaN,-82,-85,NaN,-74,NaN,NaN,NaN,1
-56,-53,-57,-38,-75,-67,-40,-54,-65,-58,-65,-66,-67,NaN,NaN,-82,-88,NaN,-73,-87,NaN,NaN,1
-73,-54,-57,-37,-76,-67,-40,-54,-66,-58,-65,-57,-67,-79,NaN,-82,-88,NaN,-79,-87,NaN,NaN,1
