GLOBAL MAGNETIC FIELD X,GLOBAL MAGNETIC FIELD Y,GLOBAL MAGNETIC FIELD Z,REF_POINT
6.01E-07,13.2505372309,-19.7119828527,1
-6.19E-07,13.1978399713,-19.8937999447,1
-2.58E-07,13.3338768194,-20.0752311032,1
-3.12E-07,13.3099480972,-19.4377183866,1
1.92E-07,13.323197188,-19.4408890078,1
-8.03E-07,13.6861717933,-19.7168090641,1
6.81E-08,13.2816392016,-19.1646833319,1
6.88E-07,13.3025125812,-19.3418667614,1
-2.15E-07,13.4716964687,-19.2573640842,1
-1.13E-07,13.6906460412,-18.3566958008,1
-2.51E-07,13.7075529114,-18.5393396466,1
-5.44E-07,13.2264522045,-18.8989065955,1
-6.48E-07,13.7943613754,-19.3558007224,1
9.81E-07,13.6751073759,-19.2667048125,1
-1.57E-07,12.7722859468,-19.0742033598,1
-1.80E-09,13.3344467011,-18.8988429296,1
7.53E-07,13.844466153,-18.3581091395,1
3.91E-07,13.0696064837,-19.0729169282,1
6.77E-07,13.042329524,-19.8935621456,1
-1.26E-07,13.7596143732,-19.2692175309,1
-5.81E-07,13.845241299,-19.5405888909,1
5.76E-07,13.9970892874,-18.9105979177,1
-2.99E-08,13.2345038484,-18.6235101724,1
-2.70E-07,13.2505694112,-18.6278043192,1
4.97E-07,13.1712697281,-19.1664022008,1
-7.02E-07,13.5753933334,-18.9012765435,1
5.05E-07,13.4243039085,-18.8082304958,1
3.92E-07,12.9849683275,-18.9804734844,1
-4.29E-07,13.1296672204,-19.8037831445,1
-6.30E-07,13.1080012809,-19.4431928262,1
8.29E-07,13.2206677122,-19.5282033192,1
7.69E-07,13.4975912368,-19.6225342271,1
-4.98E-07,13.5460318202,-18.8064507512,1
3.41E-07,13.5884013863,-19.0812351494,1
-6.48E-07,13.5732288192,-19.1722077633,1
7.86E-07,13.2065218942,-19.2565695308,1
-6.22E-07,13.5135427004,-19.2643380519,1
-6.47E-07,13.5673137787,-19.266542212,1
-5.11E-07,13.5860094055,-19.4426773184,1
2.22E-07,13.4501247152,-19.2596603909,1
9.78E-07,15.9774502959,-21.3137712113,2
-6.65E-07,15.9673114264,-20.9553483951,2
-3.11E-07,16.3193169335,-20.4174185729,2
-2.48E-07,15.7889764834,-20.688457011,2
5.57E-07,15.9617209053,-20.8669695395,2
1.41E-07,15.7862291404,-20.6839641878,2
8.97E-07,16.1394918798,-20.5979440898,2
-8.70E-07,15.8761109561,-20.7746810548,2
-7.45E-07,15.426947805,-21.3183516969,2
-7.52E-07,16.3118107824,-21.1454966133,2
6.14E-07,15.9700052594,-20.5092342855,2
-2.12E-07,16.1456779599,-20.5094677729,2
-9.18E-07,16.3294727034,-20.2382930315,2
3.51E-07,15.8870335423,-20.0537485063,2
-5.68E-07,16.1359541129,-20.7812688293,2
-7.22E-07,16.4944734603,-20.6908466162,2
6.91E-07,16.6677109848,-20.8762196541,2
4.75E-09,16.3198336457,-20.5070873091,2
-3.89E-07,16.4977562384,-20.5990402899,2
6.12E-07,16.5005903061,-20.4166179195,2
4.57E-07,15.9586310793,-20.9601079554,2
-3.34E-07,15.9673135259,-20.3225960775,2
-1.65E-07,16.3329151929,-19.6865743515,2
5.63E-07,16.5859233299,-20.3287932862,2
1.95E-07,16.3147338434,-20.9614958655,2
3.17E-07,16.3283501165,-20.9563903238,2
-6.42E-07,16.1526727231,-20.9560013607,2
-9.31E-07,16.0532131361,-20.5956340998,2
1.15E-07,15.6051776042,-20.8655814135,2
4.46E-08,15.7863167178,-20.596417999,2
-2.58E-07,15.7864263487,-20.5040408082,2
-7.25E-07,15.258288845,-20.4065262458,2
7.09E-07,15.2577473243,-20.5912692421,2
-5.21E-07,15.8754493917,-20.5943752027,2
-7.98E-07,15.7962175398,-19.9562939765,2
-1.93E-07,16.0585631904,-19.9603774938,2
-3.67E-07,16.0506236486,-20.6875363038,2
7.23E-07,16.4061430079,-21.1413533418,2
2.61E-07,15.9677484723,-20.9535530923,2
6.45E-07,15.5365159883,-20.3108226751,2
1.29E-07,17.4491787471,-22.2065019696,3
8.73E-07,17.3914547523,-22.3851380577,3
2.59E-08,17.2592330866,-21.8851888551,3
4.10E-08,17.704911174,-21.9763108922,3
1.39E-06,17.5767512712,-21.6025470833,3
-3.52E-07,17.4719740137,-21.8787604654,3
1.73E-06,17.6684439399,-21.4208221358,3
7.26E-08,17.0028191679,-21.8811298374,3
-1.37E-06,17.0821018852,-22.0610611449,3
9.76E-07,17.2601263936,-22.1461879434,3
5.22E-07,17.4275810732,-21.7883010762,3
8.45E-07,17.077137327,-22.3364490782,3
9.44E-07,17.0873624878,-22.7012657598,3
7.36E-07,17.0463141144,-22.064275358,3
-8.48E-07,17.4072353029,-21.6064360297,3
-9.63E-07,17.7187825926,-21.2426353552,3
-3.56E-07,18.0323852082,-21.7021962155,3
-3.31E-09,17.1560664927,-21.9640776401,3
-1.18E-06,17.0744769203,-22.4196727592,3
5.01E-07,16.993653024,-22.2410989739,3
5.75E-07,17.1081868199,-22.5184147219,3
-1.30E-06,17.4936550337,-22.2498719594,3
