06:18:d6:c2:98:24(inonet),04:18:d6:c1:98:24(inonet),4c:5e:0c:6f:20:b2(RFKON2014-Mesh),d4:ca:6d:c9:f1:c5(RFKON2014-Mesh),4c:5e:0c:70:52:5a(RFKON2014-Mesh),e8:37:7a:6c:7f:55(PYR),dc:02:8e:c2:23:52(ILKSEM),d4:ca:6d:bc:1d:73(RFKON2014-Mesh),4c:5e:0c:71:aa:15(RFKON2014-Mesh),c0:4a:00:0f:03:51(BilTAY Teknoloji),18:28:61:9e:ab:5c(MMD),04:bf:6d:d8:e8:a4(Evosoft),4c:5e:0c:6f:20:fa(RFKON2014-Mesh),00:0f:f7:2e:0a:d0(ESOGU-WIFI),4c:5e:0c:71:a8:bf(RFKON2014-Mesh),e4:8d:8c:20:4d:c1(UPLAT),c4:6e:1f:58:40:d2(DLink_D01),00:26:5a:52:0b:8c(RFKON_115),4c:5e:0c:23:44:33(RFKON2014-Mesh),18:28:61:58:78:6a(Dlink_DAP-1360),1c:87:2c:7e:23:9c(EROGLU-PRI),1c:87:2c:7e:23:9d(EROGLU-PUB),REF_POINT
-74,-58,-54,-61,-41,-60,-66,-70,-54,-61,-70,-55,-73,-84,-81,-78,-88,-88,NaN,NaN,NaN,NaN,1
-74,-59,-51,-59,-37,-59,-68,-70,-52,-64,-70,-55,-73,-88,-81,NaN,-88,-88,NaN,NaN,NaN,NaN,1
-75,-57,-53,-59,-38,-57,-66,NaN,-48,-59,-71,-55,-72,-88,-81,-76,-88,-85,-77,NaN,NaN,NaN,1
-75,-57,-51,-61,-36,-58,-67,-70,-81,-63,-71,-54,-74,NaN,-80,-77,-89,-88,-77,NaN,NaN,NaN,1
-75,-56,-51,-57,-36,-59,-67,-69,-45,-64,-70,-55,-72,-87,-81,-76,-89,-88,NaN,NaN,NaN,NaN,1
-75,-58,-50,-59,-36,-68,NaN,-72,-48,-64,-73,-55,-71,-89,-81,-76,NaN,NaN,NaN,NaN,NaN,NaN,1
-75,-58,-50,-59,-38,-58,-67,-72,-48,-64,-70,-55,-72,-91,-81,-76,NaN,NaN,NaN,NaN,NaN,NaN,1
-75,-60,-52,-57,-36,-57,-68,-72,-49,-64,-71,-55,-72,-91,-82,-75,-88,-88,NaN,NaN,NaN,NaN,1
-75,-59,-51,-58,-38,-58,-68,-71,-48,-63,-72,-55,-72,-89,-82,-75,-88,-88,NaN,NaN,NaN,NaN,1
-76,-60,-50,-58,-36,-57,-67,-72,-47,-64,-72,-55,-72,-83,-81,-76,NaN,-86,NaN,NaN,NaN,NaN,1
-75,-56,-50,-58,-38,-67,-68,-72,-48,-64,-72,-55,-72,-85,-81,-76,-89,-87,-78,NaN,NaN,NaN,1
-74,-57,-50,-58,-37,-57,-67,-79,-48,-63,-71,-54,-72,-83,-81,-76,-89,-87,-78,-90,NaN,NaN,1
-74,-59,-50,-58,-38,-58,-78,-74,-48,-63,-72,-55,-72,-88,NaN,-76,-89,-88,-79,-90,NaN,NaN,1
-75,-55,-51,-57,-37,-57,-68,-74,-44,-64,-73,-55,NaN,-87,NaN,-75,-89,-87,-79,NaN,NaN,NaN,1
-75,-59,-50,-61,-41,-68,-68,-72,-48,-65,-72,-55,-72,-87,-83,-76,-89,-87,-77,NaN,NaN,NaN,1
-75,-58,-51,-60,-36,-57,-86,-71,-46,-65,-72,-56,-71,-86,-83,-76,-89,NaN,-76,NaN,NaN,NaN,1
-73,-57,-52,-59,-37,-59,-67,-72,-48,-63,-72,-56,-72,-88,NaN,-77,NaN,NaN,-77,NaN,NaN,NaN,1
-63,-56,-51,-59,-37,-58,-67,-72,-51,-62,-71,-56,-72,-88,NaN,-77,NaN,NaN,-77,NaN,NaN,NaN,1
-73,-58,-52,-58,-37,-57,-67,-71,-49,-64,-72,-56,-72,-86,-81,-75,NaN,-56,NaN,NaN,NaN,NaN,1
