@relation '20.01.2016.train-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1'

@attribute 4c:5e:0c:71:aa:15_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:70:52:5a_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:b2_RFKON2014-Mesh numeric
@attribute d4:ca:6d:c9:f1:c5_RFKON2014-Mesh numeric
@attribute d4:ca:6d:bc:1d:73_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:6f:20:fa_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:23:44:33_RFKON2014-Mesh numeric
@attribute 4c:5e:0c:71:a8:bf_RFKON2014-Mesh numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-29,-38,-49,-59,?,-66,-74,-69,3
-29,-38,-49,-59,-65,-65,?,?,3
-29,-39,-50,-59,-66,-66,?,?,3
-29,-39,-49,-59,-65,?,-73,?,3
-29,-39,-50,-60,-66,?,-72,?,3
-29,-39,-52,-60,-66,?,?,?,3
-29,-40,-51,-60,?,?,-75,?,3
-29,-39,-52,-60,-67,-66,-72,?,3
-29,-40,-51,-62,-66,?,?,-70,3
-33,-40,-53,-60,-67,?,?,?,3
-33,-39,-53,-61,-67,-64,?,?,3
-30,-40,-54,-60,-67,-64,-72,?,3
-29,-39,-53,-59,-70,-70,-73,?,3
-29,-39,-53,-60,-66,-65,?,?,3
-30,-38,-53,-61,-66,-66,-74,?,3
-29,-39,-52,-59,?,-66,-72,-70,3
-29,-39,-53,-60,-70,-66,-76,-69,3
-29,-39,-54,-60,?,-65,?,?,3
-29,-39,-53,-60,-66,?,-75,-69,3
-29,-39,-55,-59,-67,-67,-74,-69,3
-29,-40,-53,-60,-67,-65,?,?,3
-30,-39,-53,-60,?,?,-74,?,3
-30,-39,-52,-62,?,?,-72,-70,3
-29,-38,-53,-59,-66,-65,-74,-70,3
-29,-38,-54,-62,-65,-65,?,?,3
-30,-38,-53,-60,?,-65,?,?,3
-29,-38,-53,-62,?,?,-76,?,3
-30,-38,-52,-60,-67,?,?,?,3
-29,-38,-52,-62,-67,-65,?,-70,3
-29,-38,-51,-61,?,-65,?,?,3
-29,-38,-52,-61,-67,-65,?,?,3
-30,-38,-52,-60,?,?,?,?,3
-33,-38,-52,-60,?,?,?,?,3
-29,-38,-52,-59,-66,-65,?,-69,3
-29,-38,-51,-60,-66,-65,-74,-70,3
-29,-38,-51,-60,-66,-65,?,?,3
-29,-38,-52,-62,-66,?,-74,?,3
-49,-39,-48,?,-68,-68,?,-71,4
-42,-40,-46,-50,?,?,?,-73,4
-41,-38,-45,-50,?,-68,?,-72,4
-41,-41,-45,-50,-69,?,-73,?,4
-42,-40,-46,-51,-68,-68,?,-73,4
-42,-40,-45,-51,-73,-67,-74,?,4
-42,-41,-44,-50,?,?,?,?,4
-43,-41,-45,-50,-67,?,?,?,4
-42,-41,-46,-51,?,-68,-74,-72,4
-42,-40,-46,-51,-70,-67,?,-72,4
-41,-40,-45,-51,-74,-68,-74,-72,4
-42,-40,-46,-51,-73,-67,?,-71,4
-42,-40,-46,-51,?,-67,?,?,4
-40,-42,-46,-50,-68,?,-74,-72,4
-43,-55,-46,-50,-73,-66,?,-70,4
-43,-42,-45,-52,-74,-66,-73,-71,4
-42,-39,-46,-51,-67,-67,?,?,4
-42,-37,-46,-50,-73,-71,?,-71,4
-42,-39,-45,-50,-69,-65,?,?,4
-42,-39,-45,-50,-69,-66,?,-71,4
-42,-40,-44,-50,-74,?,?,-71,4
-42,-40,-44,-50,-69,?,-73,-72,4
-42,-40,-44,?,-67,-66,-74,-71,4
-42,-39,-45,-50,-69,-64,?,?,4
-42,-38,-45,-51,?,-71,-74,?,4
