@relation 'LogDosyasi_Samsung_Tablet_Train_MF-weka.filters.unsupervised.attribute.Reorder-R2,3,4,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
2.94,-26.16,-23.34,1
2.16,-27.18,-23.4,1
2.4,-26.76,-22.859999,1
2.64,-27,-22.68,1
2.28,-27.18,-22.859999,1
2.46,-27.059999,-23.039999,1
2.22,-27.42,-22.799999,1
2.34,-27.84,-22.859999,1
2.64,-27,-22.799999,1
2.94,-26.519999,-22.98,1
2.52,-26.16,-22.859999,1
2.46,-27,-23.58,1
2.28,-27.299999,-23.939999,1
2.1,-27.959999,-23.82,1
2.28,-27.9,-23.4,1
2.16,-28.5,-22.92,1
2.16,-28.559999,-22.799999,1
2.1,-28.019999,-23.039999,1
1.98,-28.139999,-22.859999,1
1.8,-28.019999,-23.039999,1
2.16,-27.9,-22.859999,1
2.52,-27.84,-22.859999,1
2.52,-27.779999,-23.16,1
2.04,-27.959999,-23.279999,1
1.5,-27.84,-22.859999,1
2.16,-27.959999,-22.74,1
2.04,-27.66,-22.08,1
2.52,-27.24,-22.68,1
3.12,-27.059999,-22.98,1
2.52,-26.639999,-23.639999,1
2.4,-26.34,-23.459999,1
2.16,-26.82,-23.1,1
1.8,-27.24,-23.16,1
2.34,-27.599998,-23.1,1
1.92,-28.08,-22.92,1
2.34,-27.48,-22.92,1
2.04,-27.599998,-23.1,1
1.74,-27.539999,-23.1,1
1.98,-27.359999,-23.219999,1
1.8,-27.66,-23.34,1
1.8,-27.719999,-23.1,2
1.02,-30.119999,-22.799999,2
1.2,-29.699999,-22.92,2
1.5,-28.439999,-23.16,2
1.26,-28.559999,-22.92,2
0.96,-29.34,-22.799999,2
1.14,-29.58,-22.379999,2
1.02,-29.76,-22.439999,2
1.08,-29.939999,-22.799999,2
0.9,-29.76,-22.26,2
0.6,-29.279999,-22.439999,2
0.42,-29.16,-22.08,2
0.42,-28.98,-21.6,2
1.2,-28.5,-21.779999,2
0.72,-29.099998,-21.9,2
0.36,-29.459999,-22.02,2
0.78,-28.98,-22.32,2
1.32,-28.74,-22.139999,2
1.02,-29.039999,-22.379999,2
0.96,-28.98,-22.32,2
0.9,-28.98,-21.6,2
1.26,-29.099998,-21.539999,2
1.14,-28.859999,-22.199999,2
1.32,-28.559999,-22.439999,2
1.14,-28.619999,-22.379999,2
0.72,-28.92,-22.439999,2
1.08,-28.98,-22.02,2
0.36,-29.58,-22.32,2
1.2,-28.32,-21.959999,2
0.78,-28.92,-22.199999,2
0.72,-29.82,-22.5,2
1.26,-29.82,-22.02,2
1.32,-28.74,-22.139999,2
0.78,-28.98,-22.5,2
0.84,-29.879999,-22.32,2
0.78,-29.459999,-22.379999,2
0.9,-28.799999,-22.559999,2
0.6,-29.34,-21.959999,2
0.9,-29.4,-22.68,2
0.9,-29.459999,-22.199999,2
-4.26,-26.939999,-25.139999,3
-5.04,-27.779999,-25.559999,3
-5.16,-27.9,-25.5,3
-4.62,-28.139999,-25.379999,3
-4.68,-28.199999,-25.799999,3
-4.98,-28.32,-25.379999,3
-5.64,-27.9,-25.26,3
-5.64,-28.559999,-25.559999,3
-5.1,-29.219999,-25.5,3
-4.98,-28.559999,-25.26,3
-5.16,-28.199999,-24.779999,3
-5.16,-28.439999,-25.139999,3
-5.46,-28.559999,-25.139999,3
-5.28,-27.959999,-25.559999,3
-5.28,-27.9,-25.32,3
-4.68,-28.439999,-25.5,3
-5.16,-28.74,-25.74,3
-5.64,-28.74,-25.619999,3
-4.68,-28.199999,-25.019999,3
-4.92,-28.08,-24.66,3
-5.22,-27.959999,-25.139999,3
-5.1,-28.139999,-25.74,3
-5.04,-27.48,-25.92,3
-5.16,-27.959999,-25.799999,3
-4.68,-28.859999,-25.139999,3
-4.38,-27.9,-25.08,3
-4.62,-28.08,-25.5,3
-4.8,-27.66,-24.779999,3
