@relation Sony_Xperia_Train_MF-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
-17.16938,-7.31945,-15.919495,1
-16.943932,-7.769012,-15.537262,1
-16.625595,-7.259941,-15.074921,1
-16.921997,-6.969452,-15.919495,1
-16.833496,-7.332611,-15.283966,1
-17.010498,-6.878662,-15.102386,1
-16.833496,-7.514191,-15.737915,1
-17.010307,-7.60498,-15.465546,1
-16.479492,-7.423401,-15.283966,1
-17.010307,-7.423401,-15.465546,1
-16.833496,-7.60498,-15.102386,1
-16.567802,-7.96833,-15.011597,1
-16.30249,-7.514191,-15.193176,1
-17.010498,-7.69577,-15.193176,1
-17.098999,-7.423592,-15.374756,1
-16.744995,-7.423782,-15.465546,1
-17.098808,-7.514381,-15.283966,1
-16.833305,-7.786751,-15.193176,1
-16.213989,-7.605171,-15.193176,1
-16.744995,-7.514381,-15.828705,1
-17.364311,-7.514381,-15.919495,1
-17.717934,-7.151031,-16.191864,1
-17.540932,-7.241821,-15.556335,1
-17.098999,-6.606293,-15.374756,1
-17.098999,-7.242012,-15.647125,1
-17.010498,-8.059502,-16.192055,1
-17.010307,-7.605171,-15.374756,1
-17.27581,-7.241821,-15.737915,1
-17.364311,-7.060242,-15.556335,1
-17.010498,-7.060242,-15.647125,1
-17.452812,-6.969452,-15.556335,1
-17.36412,-6.878853,-15.647125,1
-16.921806,-7.423592,-15.465546,1
-17.098618,-7.060242,-15.283966,1
-17.452431,-6.787872,-15.283966,1
-17.27581,-7.332802,-15.556335,1
-17.098999,-7.605171,-15.737915,1
-17.1875,-7.877541,-15.919495,1
-16.833496,-7.96814,-15.828705,1
-16.833305,-7.423401,-15.556335,1
-17.983246,-2.973175,-16.373634,2
-17.717934,-3.245544,-16.464233,2
-17.806244,-3.427124,-16.464233,2
-17.36412,-2.882576,-16.101074,2
-17.629433,-2.610397,-15.919495,2
-17.187309,-3.427315,-16.191864,2
-17.452621,-3.608894,-16.373634,2
-17.806435,-3.154755,-16.373825,2
-17.718124,-2.610016,-16.192055,2
-17.452621,-2.973366,-16.464424,2
-17.36412,-2.791786,-16.191864,2
-18.071556,-3.063965,-15.919495,2
-17.894745,-3.063965,-16.282654,2
-17.894745,-3.336716,-16.555023,2
-17.717743,-2.882385,-16.464424,2
-17.540932,-2.882576,-16.282654,2
-17.629623,-2.882576,-16.010284,2
-18.160439,-2.610016,-15.919495,2
-17.717743,-2.882385,-16.010284,2
-18.160057,-2.610016,-16.282654,2
-18.33725,-3.154945,-16.464233,2
-17.717934,-3.518295,-15.919495,2
-17.629623,-3.245735,-15.919495,2
-18.248558,-3.427505,-16.464424,2
-18.248558,-3.155136,-16.282845,2
-17.541122,-2.337646,-16.282654,2
-17.452621,-2.882576,-16.646004,2
-17.806244,-3.064156,-16.373825,2
-18.071556,-2.973175,-15.919495,2
-17.894745,-3.154755,-15.919495,2
-17.452812,-2.791595,-15.828705,2
-17.718124,-3.245735,-16.646194,2
-17.983246,-3.336525,-16.464424,2
-17.36412,-2.973366,-16.555023,2
-17.717934,-2.791595,-16.827583,2
-18.514252,-2.973175,-16.827774,2
-17.718124,-3.336334,-16.373634,2
-17.36412,-3.154755,-16.373444,2
-17.629433,-2.973175,-16.191864,2
-17.894936,-3.154755,-16.101074,2
-10.832024,7.087898,-21.272278,3
-11.009026,7.269478,-20.636559,3
-10.47802,7.178497,-20.636559,3
-11.274338,7.360077,-20.999908,3
-11.362839,6.996918,-20.454979,3
-10.47802,7.723618,-20.999718,3
-10.389519,7.360268,-20.817947,3
-10.566521,6.906128,-20.818138,3
-10.389709,6.452179,-21.181488,3
-10.301208,7.087708,-20.545769,3
-10.47802,7.178497,-20.727539,3
-10.389519,6.996918,-21.181488,3
-10.47821,7.178497,-21.453857,3
-10.655212,6.542969,-21.090698,3
-10.920525,6.633759,-20.727348,3
-11.097527,6.815529,-20.999527,3
-11.362648,7.087898,-20.636559,3
-11.185837,7.087708,-20.999908,3
-10.566711,7.269478,-20.818329,3
-10.389709,6.906128,-21.272278,3
-10.389709,6.996918,-21.453857,3
-10.566711,7.269287,-20.727539,3
-10.655022,6.996918,-20.727348,3
-10.301208,6.815338,-20.364189,3
