X,Y,Z,REF_POINT
-1.70E-07,16.37150742,-19.28640286,1
6.11E-07,15.76718295,-19.38729679,1
4.00E-07,15.94923061,-19.30964208,1
-7.07E-07,16.04787366,-19.3174377,1
-6.25E-07,16.37251636,-19.20934071,1
1.05E-06,16.75906374,-19.38678743,1
-6.35E-07,15.9034145,-19.74175292,1
-9.08E-07,16.02336275,-19.39144845,1
3.39E-08,16.46171769,-18.57279825,1
-7.38E-07,16.66966189,-19.20750566,1
4.28E-08,15.92434457,-19.21594749,1
7.27E-07,15.34458054,-19.30325174,1
2.43E-07,15.47110971,-19.02538993,1
5.99E-07,15.98617614,-19.3043618,1
-4.20E-08,16.79180374,-19.66374815,1
-2.77E-07,15.99791748,-18.7492172,1
1.21E-06,16.00683954,-18.19667006,1
4.86E-07,16.53481998,-18.84117908,1
7.85E-07,16.34928338,-19.65291882,1
3.36E-07,15.86554553,-19.66942667,1
3.36E-07,15.87233542,-19.22668606,1
4.29E-07,16.39927347,-19.1178106,1
7.76E-07,16.35277833,-18.93914889,1
-1.57E-07,16.10588807,-19.10941562,1
-5.96E-07,15.80436023,-19.2973135,1
7.45E-07,16.4461127,-19.49322821,1
-4.23E-07,15.9733891,-18.92662032,1
-5.22E-07,16.11319149,-18.75387511,1
9.29E-07,16.02453499,-19.12599258,1
-1.13E-08,15.83372389,-19.49046153,1
-9.94E-08,16.4734701,-19.49201583,1
-1.27E-07,16.42695255,-19.02525863,1
8.04E-08,16.24345678,-19.29030316,1
8.05E-07,16.52809413,-19.28534785,1
-8.71E-07,16.19124234,-19.48742485,1
5.02E-07,16.00014698,-19.57822644,1
-6.81E-07,15.79309653,-19.66939228,1
8.16E-07,15.5488078,-19.84885493,1
-8.01E-07,15.85053084,-19.39724437,1
-7.08E-07,16.36907737,-19.22239074,1
5.26E-07,17.78308508,-20.49685848,2
-2.66E-07,17.80202068,-20.23293417,2
-7.37E-07,18.2101341,-20.23716944,2
9.03E-07,18.18458989,-20.4338337,2
2.71E-07,18.1918775,-20.70334876,2
-7.95E-07,18.03334672,-20.42074843,2
-8.07E-07,18.15961091,-19.956893,2
4.07E-07,17.77959929,-19.69312117,2
-3.23E-07,17.69692916,-20.05037911,2
-5.06E-07,17.91197324,-20.03720541,2
5.01E-07,17.63561753,-20.31860762,2
6.93E-07,17.4062137,-20.15448129,2
-7.49E-07,17.72115552,-20.26631572,2
-1.00E-06,18.36232134,-20.06771601,2
-8.48E-07,17.76205377,-19.79501675,2
-1.13E-07,17.60204024,-20.78025611,2
-3.10E-07,17.41958395,-20.41480936,2
-1.39E-07,17.8770062,-20.41508155,2
-6.25E-08,18.01747641,-20.79123592,2
-7.98E-07,18.03344844,-20.51542514,2
-3.07E-07,18.07545961,-20.32142587,2
1.03E-06,18.04152176,-20.33093831,2
-2.09E-07,17.97877928,-20.05082724,2
-6.21E-07,18.40528226,-20.33732223,2
8.10E-07,18.05742298,-20.32623576,2
-1.09E-06,17.63376011,-20.68295292,2
3.41E-07,17.76746867,-20.42432816,2
5.41E-07,18.00323729,-19.80325958,2
-8.33E-07,18.02765169,-20.24145045,2
5.16E-07,17.76810058,-20.1522093,2
1.90E-07,18.10175755,-20.06630211,2
5.46E-07,17.91312061,-20.25700974,2
8.59E-07,17.9003002,-20.59170385,2
