X,Y,Z,REF_POINT
-14.79187012,1.727874756,-18.29833984,1
-14.70336914,2.000434875,-18.4797287,1
-15.05737305,1.909645081,-18.29814911,1
-14.88037109,2.00062561,-17.93479919,1
-14.70336914,2.182014465,-17.84420013,1
-14.96887207,1.909454346,-17.57164001,1
-15.41137695,1.637275696,-17.57144928,1
-15.234375,2.091415405,-17.48065948,1
-15.234375,2.000434875,-18.20735931,1
-14.96887207,2.091415405,-18.20735931,1
-14.96887207,2.27318573,-18.02558899,1
-14.88037109,2.00062561,-17.57106781,1
-15.05737305,1.455505371,-17.6618576,1
-14.88037109,1.728065491,-17.48046875,1
-15.05737305,2.272994995,-17.57164001,1
-15.14587402,2.09122467,-17.38986969,1
-14.79187012,1.637084961,-17.48046875,1
-14.70336914,2.091415405,-17.48065948,1
-14.88037109,2.908905029,-17.66223907,1
-14.61486816,2.272994995,-17.48046875,1
-15.234375,2.091415405,-17.38986969,1
-15.05737305,2.36416626,-17.66242981,1
-14.96887207,2.545555115,-18.38912964,1
-14.43786621,2.45476532,-17.93498993,1
-14.43786621,1.728065491,-18.29795837,1
-14.96887207,2.363975525,-17.93460846,1
-14.88037109,2.1822052,-18.02558899,1
-14.79187012,1.364524841,-18.02577972,1
-15.05737305,1.637084961,-17.84420013,1
-14.70336914,1.818855286,-18.02577972,1
-14.43786621,2.000816345,-17.48065948,1
-14.52636719,2.09160614,-17.93479919,1
-14.34936523,2.1822052,-18.38912964,1
-14.61486816,2.363975525,-18.38912964,1
-14.61486816,2.727516174,-18.29814911,1
-15.234375,1.909835815,-17.84420013,1
-15.14587402,2.091415405,-17.66242981,1
-14.79187012,2.36378479,-17.93479919,1
-14.70336914,2.54536438,-17.8440094,1
-15.05737305,2.18182373,-17.84381866,1
-17.0042038,-0.542442322,-19.47860718,2
-17.09270477,-0.905601501,-19.47860718,2
-17.26951599,-0.905601501,-19.47860718,2
-17.26932526,-1.177970886,-19.38781738,2
-17.0042038,-0.814811707,-19.66018677,2
-17.44632721,-0.542442322,-19.29702759,2
-17.09270477,-0.270072937,-19.84176636,2
-16.82739258,-0.633232117,-19.29702759,2
-16.7388916,-0.633232117,-19.38781738,2
-17.62332916,-0.451652527,-19.20623779,2
-17.7116394,-0.360862732,-19.75097656,2
-17.44651794,-0.996391296,-19.84176636,2
-17.35801697,-0.724021912,-19.56939697,2
-17.26951599,-0.270072937,-19.75097656,2
-16.7388916,-0.451652527,-19.38781738,2
-17.0042038,-0.905601501,-18.66149902,2
-16.73870087,-0.542442322,-19.29702759,2
-16.56188965,-0.905601501,-19.66018677,2
-16.91570282,-0.814811707,-19.29702759,2
-17.18101501,-0.996582031,-19.115448,2
-17.09251404,-0.814811707,-19.66018677,2
-16.73851013,-0.360862732,-19.20623779,2
-16.82720184,-0.905792236,-19.29702759,2
-16.56188965,-0.542442322,-19.7511673,2
-16.91551208,-0.633232117,-19.7511673,2
-16.73851013,-0.814811707,-19.75097656,2
-16.82720184,-0.814811707,-19.75097656,2
-17.35801697,-0.451652527,-20.02334595,2
-17.09251404,-0.451652527,-19.66018677,2
-17.18101501,-0.905601501,-18.93386841,2
-17.26970673,-0.360862732,-19.47860718,2
-16.7388916,0.093086243,-20.02334595,2
-16.47338867,0.093086243,-19.75097656,2
-16.82720184,-0.270072937,-20.20511627,2
-17.53463745,-0.451652527,-20.02353668,2
-17.53463745,-0.451652527,-19.75097656,2
-17.0042038,-0.905601501,-19.20623779,2
-16.20788574,-0.905601501,-19.75097656,2
-16.29638672,-0.814811707,-19.84176636,2
-17.0923233,-0.724021912,-19.38781738,2
-14.43786621,8.811958313,-20.02372742,3
-14.43786621,8.176429749,-20.84083557,3
-14.43786621,7.904060364,-21.38557434,3
-14.17236328,7.177742004,-21.47655487,3
