4c:5e:0c:70:52:5a_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,04:18:d6:c1:98:24_inonet,4c:5e:0c:6f:20:b2_RFKON2014-Mesh,06:18:d6:c2:98:24_inonet,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,dc:02:8e:c2:23:52_ILKSEM,c0:4a:00:0f:03:51_BilTAY Teknoloji,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,18:28:61:9e:ab:5c_MMD,00:26:5a:52:0b:8c_RFKON_115,4c:5e:0c:23:44:33_RFKON2014-Mesh,64:66:b3:d0:4a:8d_Cisco_KRD,18:28:61:58:78:6a_Dlink_DAP-1360,e4:8d:8c:20:4d:c1_UPLAT,REF_POINT
-34,-40,-59,-50,-68,-70,-63,-64,-78,-63,-63,-80,-73,-89,-78,-86,NaN,NaN,1
-33,-45,-55,-50,-69,-67,-70,-59,-75,-64,-63,-80,-69,NaN,-76,-85,-88,NaN,1
-31,-35,-58,-52,-67,-69,-70,-59,-75,-74,-64,-79,-68,NaN,-76,-85,-88,NaN,1
-32,-39,-55,-49,-68,-70,-70,-63,-76,-61,-64,-77,-68,NaN,-76,-84,-87,NaN,1
-31,-37,-55,-50,-68,-70,-78,-62,-74,-63,-64,-77,NaN,NaN,-81,-86,-87,NaN,1
-31,-34,-55,-52,-69,-70,-76,-61,-72,-63,-64,-78,-69,NaN,-76,-84,NaN,NaN,1
-31,-39,-55,-52,-67,-70,-76,-62,-72,-62,-63,-78,-70,NaN,-78,-87,NaN,-77,1
-31,-37,-54,-51,-68,-70,-72,-61,NaN,-62,-62,-78,-70,NaN,-78,-87,NaN,-77,1
-32,-38,-54,-51,-68,-74,-71,-62,NaN,-62,-62,NaN,-69,NaN,NaN,NaN,NaN,NaN,1
-31,-38,-55,-50,-68,-74,-71,-63,-73,-62,-63,NaN,-70,NaN,NaN,NaN,NaN,NaN,1
-32,-38,-55,-50,-68,NaN,-70,-61,-74,-76,-60,-78,-70,NaN,-78,NaN,NaN,NaN,1
