4c:5e:0c:6f:20:b2_RFKON2014-Mesh,4c:5e:0c:71:aa:15_RFKON2014-Mesh,e8:37:7a:6c:7f:55_PYR,e4:8d:8c:20:4d:c1_UPLAT,dc:02:8e:c2:23:52_ILKSEM,06:18:d6:c2:98:24_inonet,04:18:d6:c1:98:24_inonet,c0:4a:00:0f:03:51_BilTAY Teknoloji,4c:5e:0c:70:52:5a_RFKON2014-Mesh,d4:ca:6d:c9:f1:c5_RFKON2014-Mesh,18:28:61:1c:0b:69_EVOSOFT,64:66:b3:d0:4a:8d_DLink_D01,d4:ca:6d:bc:1d:73_RFKON2014-Mesh,4c:5e:0c:71:a8:bf_RFKON2014-Mesh,c4:6e:1f:58:40:d2_DLink_D01,4c:5e:0c:6f:20:fa_RFKON2014-Mesh,4c:5e:0c:23:44:33_RFKON2014-Mesh,00:26:5a:52:0b:8c_RFKON_115,18:28:61:9e:ab:5c_MMD,18:28:61:58:78:6a_Dlink_DAP-1360,18:28:61:13:0d:9d_EROGLU,REF_POINT
-55,-44,-63,-74,-67,-68,-60,-53,-43,-60,-61,-78,-70,-80,-76,-73,-72,-90,NaN,NaN,NaN,1
-59,-39,-63,-76,-70,-68,-60,-53,-40,-61,-57,-78,-68,-80,-73,-74,NaN,-90,NaN,NaN,NaN,1
-59,-39,NaN,-76,-70,-70,-58,-54,-40,-60,-58,-73,-67,-80,-70,-74,NaN,NaN,-76,NaN,NaN,1
NaN,-40,NaN,NaN,-69,-70,-58,-54,-39,-59,-58,-72,-68,-83,-70,-76,NaN,NaN,-76,NaN,NaN,1
-59,-38,-62,-77,-69,-71,-58,-53,-39,-59,-58,-75,-68,-83,-72,-76,NaN,NaN,-77,NaN,NaN,1
-59,-41,-63,-77,-68,-71,-55,-54,-39,-59,-58,-77,-68,NaN,-74,-74,-76,NaN,-77,NaN,NaN,1
-59,-44,-63,-77,-68,-69,-56,-54,-40,-61,-55,-76,-68,NaN,-73,-75,-76,NaN,NaN,NaN,NaN,1
-60,-38,-63,-77,-69,-69,-62,-53,-41,-59,-58,-77,-67,NaN,-73,-74,-75,NaN,-76,NaN,NaN,1
-59,-39,-65,-79,-69,-71,-56,-54,-83,-59,-56,-75,-68,NaN,-72,-74,-75,-91,-76,NaN,NaN,1
-62,-39,-62,-80,-69,-72,-62,-53,-39,-59,-57,-76,-67,NaN,-72,NaN,NaN,-91,-77,NaN,NaN,1
-61,-42,-65,-78,-70,-72,-62,-54,-40,-59,-57,-76,-67,NaN,-74,-73,NaN,NaN,-77,NaN,NaN,1
-61,-41,-65,-78,-69,-71,-58,-54,-37,-59,-57,-75,NaN,-84,-73,-73,-82,NaN,NaN,NaN,NaN,1
-59,-42,-64,-77,-70,-70,-57,-54,-39,-57,NaN,-76,NaN,-84,-74,-75,-82,NaN,NaN,NaN,NaN,1
-61,-39,-62,-77,-70,-70,-57,-54,-36,-57,-59,-74,-67,-84,-74,-73,NaN,NaN,NaN,NaN,NaN,1
-58,-40,-62,NaN,-69,-70,-60,-54,-38,-58,-58,-75,-67,-84,NaN,-73,NaN,NaN,NaN,NaN,NaN,1
-61,-40,-61,-76,-70,-70,-60,-54,-37,-58,-58,-75,-69,NaN,-74,NaN,NaN,NaN,NaN,NaN,NaN,1
-55,-42,-61,-76,-70,-70,-67,-54,-40,-59,-58,-75,-66,NaN,-74,-73,NaN,NaN,NaN,-89,NaN,1
-59,-41,NaN,NaN,NaN,-71,-60,-54,-39,-57,-59,-76,-67,-82,-74,-73,-82,NaN,NaN,-89,NaN,1
-58,-42,-60,-76,-69,-70,-57,-55,-39,-60,-59,-76,-68,-82,-74,-72,-82,NaN,NaN,NaN,NaN,1
-57,-41,-60,-76,-69,-71,-58,-54,-39,-59,-58,-76,-66,-81,-71,-73,NaN,-90,-79,-86,NaN,1
-59,-41,-64,-76,-69,-70,-57,-54,-39,-58,-57,-76,-69,-81,-69,-72,NaN,-90,-75,-86,NaN,1
-57,-41,-60,-76,-70,-71,-66,-54,-36,-58,-57,-76,-69,NaN,-69,-72,NaN,NaN,-75,NaN,NaN,1
-56,-42,-62,NaN,-70,-70,-58,-55,-39,-60,-57,-76,NaN,NaN,NaN,-72,NaN,NaN,NaN,NaN,NaN,1
-57,-42,-62,NaN,-70,-70,-59,-54,-37,-61,-57,-73,-68,NaN,-74,NaN,NaN,-89,NaN,NaN,NaN,1
-54,-40,-60,-76,-72,-69,-57,-54,-39,-59,-59,-76,-68,NaN,-73,-72,-83,-89,NaN,NaN,NaN,1
-56,-41,-61,-75,-72,-69,-59,-54,-39,-60,-56,-76,-70,NaN,-73,-72,-83,NaN,-75,NaN,NaN,1
-56,-41,-67,-77,-69,-69,-64,-55,-39,-62,-56,-76,-67,NaN,NaN,-72,NaN,NaN,-75,NaN,NaN,1
-57,-42,-61,-77,-68,-70,-58,-55,-38,-60,-58,-76,-68,-82,NaN,-72,NaN,NaN,-73,NaN,NaN,1
-58,-42,-61,-77,-68,-71,-67,-55,-39,-61,-59,-75,-68,-82,-74,-73,NaN,NaN,-73,-88,NaN,1
-58,-42,-66,-77,-68,-70,-60,-55,-76,-63,-61,-75,-67,NaN,-74,-58,NaN,NaN,-76,-88,NaN,1
-59,-40,-61,NaN,-72,-69,-60,-55,-76,-63,-57,-75,-67,NaN,NaN,-58,NaN,NaN,-76,NaN,NaN,1
-59,-42,-60,NaN,-69,-70,-60,-53,-39,-62,-60,NaN,-70,NaN,-78,NaN,NaN,-89,NaN,NaN,NaN,1
-57,-41,-60,-80,-69,-68,-60,-53,-39,-62,-56,NaN,-70,NaN,-78,NaN,-82,-89,NaN,NaN,NaN,1
-57,-40,-83,-80,-68,-69,-59,-55,-39,-62,-59,-72,-68,NaN,-74,-73,-82,NaN,NaN,NaN,NaN,1
-57,-41,-65,-76,-68,-69,-58,-54,-39,-61,-59,-75,-68,NaN,-74,-72,-85,NaN,NaN,NaN,NaN,1
-55,-42,-61,-77,-69,-68,-58,-55,-36,-62,-59,-75,-68,NaN,-74,-72,-85,NaN,NaN,-89,NaN,1
-55,-40,-60,-77,-69,-69,-60,-54,-35,-62,-59,-76,-68,NaN,-74,-72,NaN,NaN,NaN,-89,NaN,1
-72,-41,-60,NaN,-69,-70,-59,-54,-39,-62,-57,-76,-68,NaN,-74,NaN,NaN,NaN,-74,NaN,NaN,1
-55,-41,-60,NaN,-68,-70,-59,-54,-39,-62,-58,-76,-67,NaN,-74,-71,NaN,NaN,-73,NaN,NaN,1
-57,-40,-62,NaN,-68,-69,-59,-54,-39,-61,-59,-76,-70,-82,-74,-71,NaN,NaN,-73,NaN,-92,1
-55,-41,-62,-77,-68,-70,-57,-54,-39,-60,-59,-76,-67,-82,NaN,-74,-83,-88,NaN,NaN,-92,1
-57,-42,-61,-77,-68,-70,-91,-54,-40,-60,-57,-76,-66,-81,-74,-72,-83,-88,-75,NaN,NaN,1
